account,id,name,full_name,owner_login,html_url,clone_url,ssh_url,description,homepage,topics,private,visibility,fork,archived,disabled,is_template,created_at,updated_at,pushed_at,size_kb,language,default_branch,stargazers_count,watchers_count,forks_count,open_issues_count,license_spdx_id,license_name,latest_commit_sha,latest_commit_date,latest_commit_message,latest_commit_author
airbnb,35507603,aerosolve,airbnb/aerosolve,airbnb,https://github.com/airbnb/aerosolve,https://github.com/airbnb/aerosolve.git,git@github.com:airbnb/aerosolve.git,A machine learning package built for humans.,http://airbnb.github.io/aerosolve/,,False,public,False,False,False,False,2015-05-12T19:11:57Z,2026-01-27T01:35:48Z,2025-11-06T00:53:40Z,6891,Scala,master,4800,4800,563,10,Apache-2.0,Apache License 2.0,1eabbbc078de4b384e26445a06632189b71424bb,2025-07-14T20:50:12Z,Update Hadoop client version,Tiberiu Popa
airbnb,10089669,billow,airbnb/billow,airbnb,https://github.com/airbnb/billow,https://github.com/airbnb/billow.git,git@github.com:airbnb/billow.git,Query AWS data without API credentials. Don't wait for a response.,,,False,public,False,False,False,False,2013-05-15T23:02:42Z,2026-01-22T13:13:46Z,2026-01-20T18:04:16Z,113,Java,master,40,40,26,11,Apache-2.0,Apache License 2.0,a571055655582d58764045a86e441cd0e072645f,2026-01-12T18:32:01Z,Add configurationEndpoint field to EC response (#69),Jonathan Silva
airbnb,300087031,chronon,airbnb/chronon,airbnb,https://github.com/airbnb/chronon,https://github.com/airbnb/chronon.git,git@github.com:airbnb/chronon.git,Chronon is a data platform for serving for AI/ML applications.,,ai;ml,False,public,False,False,False,False,2020-09-30T23:20:42Z,2026-01-26T19:02:52Z,2026-01-26T19:02:49Z,13553,Scala,main,960,960,87,80,Apache-2.0,Apache License 2.0,0fa77c2f7f71ddfeddb694a9479539d7be085858,2026-01-26T19:02:47Z,Add Claude Code customizations for Chronon OSS (#1084),camweston-stripe
airbnb,37286678,DeepLinkDispatch,airbnb/DeepLinkDispatch,airbnb,https://github.com/airbnb/DeepLinkDispatch,https://github.com/airbnb/DeepLinkDispatch.git,git@github.com:airbnb/DeepLinkDispatch.git,"A simple, annotation-based library for making deep link handling better on Android",http://nerds.airbnb.com/deeplinkdispatch/,android;annotation-processor;deep-links,False,public,False,False,False,False,2015-06-11T21:16:48Z,2026-01-26T19:23:12Z,2026-01-26T19:23:08Z,2952,Kotlin,master,4410,4410,415,53,,,f8a3c5acf3a4f6d81cdf26e81cd3170f5d0781c8,2026-01-26T19:23:08Z,Upgrade GitHub Actions for Node 24 compatibility (#390),Salman Chishti
airbnb,65245890,epoxy,airbnb/epoxy,airbnb,https://github.com/airbnb/epoxy,https://github.com/airbnb/epoxy.git,git@github.com:airbnb/epoxy.git,Epoxy is an Android library for building complex screens in a RecyclerView,https://goo.gl/eIK82p,,False,public,False,False,False,False,2016-08-08T23:05:11Z,2026-01-26T13:53:36Z,2026-01-23T23:35:25Z,34179,Java,master,8564,8564,734,312,Apache-2.0,Apache License 2.0,e45bd3a61fe3a1f130e184f5b8dcf172ab99025a,2026-01-23T23:34:55Z,Prepare for release 5.2.1 (#1397),Eli Hart
airbnb,152341224,epoxy-ios,airbnb/epoxy-ios,airbnb,https://github.com/airbnb/epoxy-ios,https://github.com/airbnb/epoxy-ios.git,git@github.com:airbnb/epoxy-ios.git,Epoxy is a suite of declarative UI APIs for building UIKit applications in Swift,,ios;swift;uicollectionview;uikit;uinavigationcontroller,False,public,False,False,False,False,2018-10-10T00:54:13Z,2026-01-17T14:14:07Z,2025-06-18T21:11:40Z,6726,Swift,master,1310,1310,76,10,Apache-2.0,Apache License 2.0,a2b0450e79e98f689aab27f39b4ce821943d3d76,2025-06-18T21:11:40Z,Update CHANGELOG.md (#179),Bryn Bodayle
airbnb,190083192,eslint-plugin-miniprogram,airbnb/eslint-plugin-miniprogram,airbnb,https://github.com/airbnb/eslint-plugin-miniprogram,https://github.com/airbnb/eslint-plugin-miniprogram.git,git@github.com:airbnb/eslint-plugin-miniprogram.git,,,,False,public,False,False,False,False,2019-06-03T21:14:20Z,2026-01-25T02:52:56Z,2026-01-25T02:52:52Z,572,TypeScript,master,34,34,9,1,MIT,MIT License,0a64ff750a6b7c9120ecda5791ae4ef8cbdb6efc,2026-01-25T02:52:52Z,Merge pull request #51 from salmanmkc/upgrade-github-actions-node24,Jiayu Liu
airbnb,265662387,goji-js,airbnb/goji-js,airbnb,https://github.com/airbnb/goji-js,https://github.com/airbnb/goji-js.git,git@github.com:airbnb/goji-js.git,React ❤️ Mini Program,https://goji.js.org,miniapp;react;wechat-mini-program,False,public,False,False,False,False,2020-05-20T19:06:19Z,2026-01-25T14:43:41Z,2026-01-25T14:43:36Z,9204,TypeScript,main,239,239,29,12,MIT,MIT License,fe57861551c2f6a2d760d31571b227cd34f36263,2026-01-25T14:43:36Z,Merge pull request #276 from salmanmkc/upgrade-github-actions-node24-general,Malash
airbnb,272846197,HorizonCalendar,airbnb/HorizonCalendar,airbnb,https://github.com/airbnb/HorizonCalendar,https://github.com/airbnb/HorizonCalendar.git,git@github.com:airbnb/HorizonCalendar.git,"A declarative, performant, iOS calendar UI component that supports use cases ranging from simple date pickers all the way up to fully-featured calendar apps.",,,False,public,False,False,False,False,2020-06-17T01:06:23Z,2026-01-26T04:22:42Z,2025-12-21T16:35:09Z,20358,Swift,master,3095,3095,254,62,Apache-2.0,Apache License 2.0,9ad043fd3f44841ea40f4409fd835a2650762f31,2025-12-21T16:35:09Z,Update to latest version of Airbnb Swift Style Guide (#342),Cal Stephens
airbnb,6498492,javascript,airbnb/javascript,airbnb,https://github.com/airbnb/javascript,https://github.com/airbnb/javascript.git,git@github.com:airbnb/javascript.git,JavaScript Style Guide,,arrow-functions;es2015;es2016;es2017;es2018;es6;eslint;javascript;linting;naming-conventions;style-guide;style-linter;styleguide;tc39,False,public,False,False,False,False,2012-11-01T23:13:50Z,2026-01-27T05:48:56Z,2025-11-06T00:54:14Z,3724,JavaScript,master,148070,148070,26769,184,MIT,MIT License,0e2ef178a26ba9ac3495402a182891ad8096d3a0,2025-09-17T18:12:44Z,Add code of conduct,Christian Vuerings
