project,technologies
javascript_latest,"['github-action', 'markdownlint', 'npm']"
lottie-ios_latest,"['github', 'github funding', 'github-action', 'npm']"
visx_latest,"['eslint', 'github-action', 'lerna', 'npm', 'tsconfig', 'vercel', 'yarn']"
MagazineLayout_latest,"['github-action', 'travis']"
epoxy-ios_latest,"['github', 'github-action']"
eslint-plugin-miniprogram_latest,"['github-action', 'npm', 'travis', 'tsconfig']"
chronon_latest,"['circleci', 'docker', 'docker-compose', 'log4j', 'pre-commit', 'tox']"
omniduct_latest,"['github-action', 'poetry']"
mavericks_latest,"['android', 'github-action', 'gradle', 'gradle-wrapper']"
lottie-spm_latest,"['github', 'github-action']"
lottie-android_latest,"['android', 'github funding', 'github-action', 'gradle', 'gradle-wrapper']"
epoxy_latest,"['android', 'gradle', 'gradle-wrapper']"
ruby_latest,"['github-action', 'rubocop']"
DeepLinkDispatch_latest,"['android', 'github-action', 'gradle', 'gradle-wrapper']"
Showkase_latest,"['android', 'github-action', 'gradle', 'gradle-wrapper']"
paris_latest,"['android', 'gradle', 'gradle-wrapper']"
goji-js_latest,"['crowdin', 'github-action', 'npm', 'tsconfig']"
viaduct_latest,"['github', 'github-action', 'gradle', 'gradle-wrapper', 'spring']"
swift_latest,"['ansible-playbook', 'github', 'github-action', 'jekyll']"
labelbox-custom-ui_latest,"['nodejs', 'npm']"
lottie_latest,"['github funding', 'vscode']"
aerosolve_latest,"['gradle', 'gradle-wrapper', 'log4j', 'travis']"
