project_name,total_contributors,config_contributors,non_config_contributors,config_contributors_percentage,total_commits,total_config_commits,total_non_config_commits,config_commits_percentage,avg_commits_per_contributor,avg_config_commits_per_contributor,avg_config_commits_per_config_contributor,unique_config_files_count
1Panel,89,33,56,37.08,3672,707,2965,19.25,41.26,7.94,21.42,186
3x-ui,132,76,56,57.58,1832,451,1381,24.62,13.88,3.42,5.93,34
APIJSON,92,19,73,20.65,3320,298,3022,8.98,36.09,3.24,15.68,122
AdGuardHome,118,50,68,42.37,4293,1145,3148,26.67,36.38,9.70,22.90,93
AdminLTE,128,26,102,20.31,2708,992,1716,36.63,21.16,7.75,38.15,83
Aerial,65,12,53,18.46,1384,271,1113,19.58,21.29,4.17,22.58,29
AgentGPT,86,44,42,51.16,1500,391,1109,26.07,17.44,4.55,8.89,469
Alamofire,291,19,272,6.53,1657,193,1464,11.65,5.69,0.66,10.16,32
AnotherRedisDesktopManager,45,7,38,15.56,868,220,648,25.35,19.29,4.89,31.43,17
Anuken_Mindustry,1087,898,189,82.61,19550,9064,10486,46.36,17.99,8.34,10.09,447
Apktool,142,39,103,27.46,2241,472,1769,21.06,15.78,3.32,12.10,30
Apollo-11,212,4,208,1.89,574,31,543,5.40,2.71,0.15,7.75,9
AppFlowy-IO_AppFlowy,424,287,137,67.69,7202,3114,4088,43.24,16.99,7.34,10.85,810
ArchiveBox,159,41,118,25.79,4645,959,3686,20.65,29.21,6.03,23.39,202
Avalonia,699,126,573,18.03,27197,1781,25416,6.55,38.91,2.55,14.13,71
BabylonJS_Babylon.js,898,289,609,32.18,46130,7318,38812,15.86,51.37,8.15,25.32,487
Bend,59,19,40,32.20,2133,289,1844,13.55,36.15,4.90,15.21,10
Bilibili-Evolved,86,24,62,27.91,8440,1979,6461,23.45,98.14,23.01,82.46,58
BitNet,25,2,23,8.00,76,2,74,2.63,3.04,0.08,1.00,6
Budibase_budibase,174,105,69,60.34,46987,16308,30679,34.71,270.04,93.72,155.31,3243
CasaOS,34,17,17,50.00,682,187,495,27.42,20.06,5.50,11.00,29
Catch2,444,21,423,4.73,4594,144,4450,3.13,10.35,0.32,6.86,16
Chart.js,553,62,491,11.21,4567,605,3962,13.25,8.26,1.09,9.76,37
Charts,208,18,190,8.65,1856,93,1763,5.01,8.92,0.45,5.17,18
Chat2DB,74,36,38,48.65,3877,1103,2774,28.45,52.39,14.91,30.64,130
ChatTTS,57,4,53,7.02,421,38,383,9.03,7.39,0.67,9.50,7
ChromeAppHeroes,7,5,2,71.43,844,145,699,17.18,120.57,20.71,29.00,452
Clash-for-Windows_Chinese,4,3,1,75.00,592,35,557,5.91,148.00,8.75,11.67,261
CodeEdit,166,36,130,21.69,2146,266,1880,12.40,12.93,1.60,7.39,63
ColossalAI,264,67,197,25.38,3840,418,3422,10.89,14.55,1.58,6.24,153
ComfyUI,253,23,230,9.09,3645,216,3429,5.93,14.41,0.85,9.39,90
CopilotKit_CopilotKit,142,44,98,30.99,3859,1552,2307,40.22,27.18,10.93,35.27,703
CyberChef,239,134,105,56.07,4172,1616,2556,38.73,17.46,6.76,12.06,20
CymChad_BaseRecyclerViewAdapterHelper,70,39,31,55.71,1568,328,1240,20.92,22.40,4.69,8.41,10
Dapper,263,20,243,7.60,1610,225,1385,13.98,6.12,0.86,11.25,18
Deep-Live-Cam,59,12,47,20.34,461,27,434,5.86,7.81,0.46,2.25,12
DeepSeek-V3,29,4,25,13.79,68,4,64,5.88,2.34,0.14,1.00,4
DeepSpeech,186,31,155,16.67,3467,722,2745,20.82,18.64,3.88,23.29,151
DeepSpeed,442,61,381,13.80,2851,431,2420,15.12,6.45,0.98,7.07,56
DoKit,188,83,105,44.15,2349,600,1749,25.54,12.49,3.19,7.23,391
Docker-OSX,57,18,39,31.58,500,236,264,47.20,8.77,4.14,13.11,16
Dokploy_dokploy,268,129,139,48.13,4312,1597,2715,37.04,16.09,5.96,12.38,474
Ehviewer_CN_SXJ,19,16,3,84.21,821,186,635,22.66,43.21,9.79,11.62,83
ExplorerPatcher,15,7,8,46.67,948,42,906,4.43,63.20,2.80,6.00,13
FFmpeg,2604,28,2576,1.08,120055,83,119972,0.07,46.10,0.03,2.96,2
FastChat,253,37,216,14.62,890,137,753,15.39,3.52,0.54,3.70,26
FastGPT,161,63,98,39.13,2397,936,1461,39.05,14.89,5.81,14.86,467
Files,348,43,305,12.36,6360,301,6059,4.73,18.28,0.86,7.00,56
