account,id,name,full_name,owner_login,html_url,clone_url,ssh_url,description,homepage,topics,private,visibility,fork,archived,disabled,is_template,created_at,updated_at,pushed_at,size_kb,language,default_branch,stargazers_count,watchers_count,forks_count,open_issues_count,license_spdx_id,license_name,latest_commit_sha,latest_commit_date,latest_commit_message,latest_commit_author
disney,217587837,chrony,disney/chrony,disney,https://github.com/disney/chrony,https://github.com/disney/chrony.git,git@github.com:disney/chrony.git,A chef cookbook for managing the chrony time keeping daemon,,,False,public,True,False,False,False,2019-10-25T17:56:42Z,2023-07-19T02:42:56Z,2019-10-25T19:27:08Z,33,,master,3,3,2,0,Apache-2.0,Apache License 2.0,3f81930e89a4eaefa4c474b6f29762e1dbb5ea25,2019-02-11T21:51:49Z,Switch testing to use the docker ChefDK container,Tim Smith
disney,6869748,couchbase,disney/couchbase,disney,https://github.com/disney/couchbase,https://github.com/disney/couchbase.git,git@github.com:disney/couchbase.git,Chef cookbook to install and configure Couchbase Server,,,False,public,True,False,False,False,2012-11-26T17:53:22Z,2022-03-31T18:17:59Z,2018-09-27T22:36:25Z,273,Ruby,master,24,24,59,11,,,22ca9c32b8abde7b0b97c9594ad03c30a66a7577,2017-04-14T08:19:31Z,Merge pull request #80 from nickm4062/release-1.5.0,CP
disney,60796317,delivery-truck,disney/delivery-truck,disney,https://github.com/disney/delivery-truck,https://github.com/disney/delivery-truck.git,git@github.com:disney/delivery-truck.git,Delivery build cookbook for cookbook pipelines,,,False,public,True,False,False,False,2016-06-09T18:10:04Z,2020-12-29T18:18:09Z,2016-06-08T22:46:52Z,274,Ruby,master,0,0,3,0,Apache-2.0,Apache License 2.0,37f2c0a03cfdba3b0a319e2def933c6a2c82ab05,2016-05-16T13:37:52Z,Merged change b3992524-6391-40ee-bc03-cef05bb30cb9,Delivery Server
disney,1004425642,disney-kinesis-client-rust,disney/disney-kinesis-client-rust,disney,https://github.com/disney/disney-kinesis-client-rust,https://github.com/disney/disney-kinesis-client-rust.git,git@github.com:disney/disney-kinesis-client-rust.git,Disney's Kinesis Client Library (for AWS Kinesis) in Rust.,,,False,public,False,False,False,False,2025-06-18T15:49:34Z,2025-11-24T21:43:54Z,2025-08-29T12:08:14Z,77,Rust,main,26,26,4,0,NOASSERTION,Other,386058ff59dd4dd4cfe7985e2227163d73254f1e,2025-08-29T12:08:11Z,Merge pull request #3 from disney/typos_and_updates,Sam Halliday
disney,33720423,disney.github.io,disney/disney.github.io,disney,https://github.com/disney/disney.github.io,https://github.com/disney/disney.github.io.git,git@github.com:disney/disney.github.io.git,Disney,,,False,public,False,False,False,False,2015-04-10T09:29:58Z,2025-11-17T09:16:09Z,2023-03-14T20:11:53Z,5823,JavaScript,master,112,112,36,3,,,d3fe255921ff4c48fd6a283fbc8681268aef29b8,2022-03-16T03:38:11Z,Merge pull request #49 from disney/brockneedscoffee/update-site,Brock Davis
disney,25321994,docker-training,disney/docker-training,disney,https://github.com/disney/docker-training,https://github.com/disney/docker-training.git,git@github.com:disney/docker-training.git,Disney training for https://docker.com,,,False,public,False,False,False,False,2014-10-16T21:13:41Z,2025-09-01T06:43:24Z,2023-05-20T08:18:20Z,2564,JavaScript,master,78,78,14,0,NOASSERTION,Other,fa4f083b12059d3f02719695b5adb0ca442a467f,2014-10-20T22:16:48Z,Added Key,Brian L. Scott
disney,71403849,dragonchain,disney/dragonchain,disney,https://github.com/disney/dragonchain,https://github.com/disney/dragonchain.git,git@github.com:disney/dragonchain.git,Dragonchain blockchain platform - simplified integration of advanced blockchain features,https://dragonchain.github.io/,,False,public,True,False,False,False,2016-10-19T22:16:20Z,2024-10-18T04:53:23Z,2023-08-14T21:37:49Z,840,Python,master,20,20,5,6,NOASSERTION,Other,ee3045863663f660d2494c4c90882431eedbd3a6,2017-07-06T05:44:45Z,Merge remote-tracking branch 'disney/master',"Kite, Brandon"
disney,549122243,fiscal-calendar,disney/fiscal-calendar,disney,https://github.com/disney/fiscal-calendar,https://github.com/disney/fiscal-calendar.git,git@github.com:disney/fiscal-calendar.git,A library for working with Disney fiscal calendar dates,,,False,public,False,False,False,False,2022-10-10T17:55:09Z,2025-11-18T14:11:36Z,2026-01-22T04:55:58Z,547,CoffeeScript,main,1,1,1,1,NOASSERTION,Other,6b994354a1741585a98f7c7792c5c53c309814be,2025-11-18T14:11:30Z,Merge pull request #5 from disney/dependabot/npm_and_yarn/js-yaml-3.14.2,Geoffrey Booth
disney,126548516,groovity,disney/groovity,disney,https://github.com/disney/groovity,https://github.com/disney/groovity.git,git@github.com:disney/groovity.git,"Groovity is a scripting language and runtime built upon a mature open-source foundation including Java, Groovy and Maven. ",,,False,public,False,False,False,False,2018-03-23T23:28:06Z,2026-01-22T12:28:07Z,2025-07-14T09:52:25Z,1160,Java,develop,40,40,7,21,NOASSERTION,Other,98da3dcf8eea6ee88227be79503964f4570132c8,2020-11-05T17:48:39Z,validate sortCol is a known column name to prevent SQL injection,Alex Vigdor
disney,78680079,hubot-service-now,disney/hubot-service-now,disney,https://github.com/disney/hubot-service-now,https://github.com/disney/hubot-service-now.git,git@github.com:disney/hubot-service-now.git,A hubot script to perform Service Now API record lookups.,,,False,public,False,False,False,False,2017-01-11T21:09:59Z,2025-02-06T04:53:56Z,2023-04-17T20:08:32Z,133,CoffeeScript,master,10,10,8,7,NOASSERTION,Other,024225081271cb5223cb6bd3fc6f8581708a4a84,2019-10-24T15:10:11Z,"Fixed #13: SCTASK hyperlink, Fixed #14: add scrum",Ian C. Ward
