k,mean_ari,median_ari,std_ari,n_repeats_effective
3,0.9087040003268079,1.0,0.16447764695431816,20
4,0.8508338476735455,1.0,0.1835459754743676,20
5,0.7830601072253244,0.7023186715033085,0.1891122320362322,20
6,0.7674654717952423,0.7726452459615596,0.16079949757041875,20
7,0.7520919909353235,0.7594161540340669,0.09955634621025142,20
8,0.7273656933759048,0.7414293666766583,0.11704425213732625,20
9,0.847553267948569,0.8476066921638333,0.08417910886180978,20
10,0.8967796109816797,0.9096011737944729,0.09411098145085497,20
11,0.8642447666159304,0.8858492912210892,0.10876501801082686,20
12,0.8536192257385705,0.8530030490754639,0.08436034151604159,20
13,0.8199910801128155,0.7756131316382362,0.12016415988167022,20
14,0.7330855608931206,0.719433894013384,0.07715547307341415,20
15,0.6871460331681977,0.6723927490955569,0.12362565355678526,20
