File,Option,Concept
service_b/pom.xml,project.repositories.repository.url,maven
service_a/pom.xml,project.pluginRepositories.pluginRepository.id,maven
hystrix-dashboard/pom.xml,project.repositories.repository.name,maven
zuul/pom.xml,project.repositories.repository.name,maven
pom.xml,project.modules.module,maven
service_b/pom.xml,project.repositories.repository.id,maven
service_c/src/main/resources/bootstrap.yml,spring.cloud.config.uri,yaml
hystrix-dashboard/pom.xml,project.repositories.repository.url,maven
service_b/pom.xml,project.pluginRepositories.pluginRepository.url,maven
zuul/pom.xml,project.repositories.repository.url,maven
spring-cloud-dashboard/pom.xml,project.repositories.repository.snapshots.enabled,maven
client-traffic-generator/Dockerfile,ADD.src,docker
turbine/src/main/resources/bootstrap.yml,spring.cloud.config.uri,yaml
spring-cloud-dashboard/pom.xml,project.repositories.repository.id,maven
zuul/pom.xml,project.repositories.repository.id,maven
turbine/pom.xml,project.pluginRepositories.pluginRepository.id,maven
hystrix-dashboard/pom.xml,project.pluginRepositories.pluginRepository.name,maven
docker-compose/docker-compose.yml,serviceb.links,docker-compose
zuul/pom.xml,project.pluginRepositories.pluginRepository.name,maven
turbine/Dockerfile,ADD.src,docker
zuul/pom.xml,project.repositories.repository.snapshots.enabled,maven
zuul/pom.xml,project.pluginRepositories.pluginRepository.snapshots.enabled,maven
client-traffic-generator/Dockerfile,ADD.dest,docker
docker-compose/docker-compose.yml,servicea.links,docker-compose
spring-cloud-dashboard/Dockerfile,ADD.dest,docker
hystrix-dashboard/pom.xml,project.repositories.repository.id,maven
docker-compose/docker-compose.yml,turbine.links,docker-compose
spring-cloud-dashboard/Dockerfile,ADD.src,docker
docker-compose/docker-compose.yml,clienttrafficgenerator.links,docker-compose
service_a/pom.xml,project.repositories.repository.name,maven
service_a/pom.xml,project.repositories.repository.url,maven
hystrix-dashboard/pom.xml,project.pluginRepositories.pluginRepository.snapshots.enabled,maven
spring-boot-admin/pom.xml,project.repositories.repository.name,maven
service_a/Dockerfile,ADD.dest,docker
turbine/pom.xml,project.repositories.repository.name,maven
zuul/pom.xml,project.pluginRepositories.pluginRepository.url,maven
docker-compose/docker-compose.yml,servicec.links,docker-compose
turbine/pom.xml,project.repositories.repository.url,maven
turbine/pom.xml,project.pluginRepositories.pluginRepository.name,maven
hystrix-dashboard/pom.xml,project.repositories.repository.snapshots.enabled,maven
turbine/Dockerfile,ADD.dest,docker
spring-boot-admin/pom.xml,project.repositories.repository.url,maven
service_a/pom.xml,project.repositories.repository.id,maven
turbine/pom.xml,project.repositories.repository.snapshots.enabled,maven
hystrix-dashboard/pom.xml,project.pluginRepositories.pluginRepository.url,maven
docker-compose/docker-compose.yml,springclouddashboard.links,docker-compose
turbine/pom.xml,project.repositories.repository.id,maven
service_b/Dockerfile,ADD.dest,docker
service_b/Dockerfile,ADD.src,docker
service_a/pom.xml,project.pluginRepositories.pluginRepository.url,maven
client-traffic-generator/src/resources/bootstrap.yml,spring.cloud.config.uri,yaml
service_a/Dockerfile,ADD.src,docker
service_b/pom.xml,project.pluginRepositories.pluginRepository.id,maven
spring-boot-admin/pom.xml,project.repositories.repository.id,maven
turbine/pom.xml,project.pluginRepositories.pluginRepository.url,maven
service_a/src/main/resources/bootstrap.yml,spring.cloud.config.uri,yaml
service_c/Dockerfile,ADD.src,docker
turbine/pom.xml,project.pluginRepositories.pluginRepository.snapshots.enabled,maven
spring-cloud-dashboard/pom.xml,project.repositories.repository.name,maven
spring-boot-admin/pom.xml,project.repositories.repository.snapshots.enabled,maven
service_b/src/main/resources/bootstrap.yml,spring.cloud.config.uri,yaml
hystrix-dashboard/pom.xml,project.pluginRepositories.pluginRepository.id,maven
zuul/pom.xml,project.pluginRepositories.pluginRepository.id,maven
service_b/pom.xml,project.repositories.repository.name,maven
spring-cloud-dashboard/pom.xml,project.repositories.repository.url,maven
service_c/Dockerfile,ADD.dest,docker
