File Path,Option,Concept,Values,Changed internally,Removed
.mvn/wrapper/maven-wrapper.properties,distributionurl,configparser,['https://repo1.maven.org/maven2/org/apache/maven/apache-maven/3.5.0/apache-maven-3.5.0-bin.zip'],0,False
.mvn/wrapper/maven-wrapper.properties,file,configparser,['.mvn/wrapper/maven-wrapper.properties'],0,False
docker/Dockerfile,COPY.dest,docker,['$APP_HOME/app.jar'],0,False
docker/Dockerfile,COPY.src,docker,['target/blog-demo-0.0.1-SNAPSHOT.jar'],0,False
docker/Dockerfile,ENTRYPOINT.exec_command,docker,['exec java -jar app.jar'],0,False
docker/Dockerfile,ENTRYPOINT.param0,docker,['exec'],0,False
docker/Dockerfile,ENTRYPOINT.param1,docker,['java'],0,False
docker/Dockerfile,ENTRYPOINT.param2,docker,['-jar'],0,False
docker/Dockerfile,ENTRYPOINT.param3,docker,['app.jar'],0,False
docker/Dockerfile,EXPOSE,docker,['8090'],0,False
docker/Dockerfile,FROM,docker,['openjdk:8u151-jdk-alpine3.7'],0,False
docker/Dockerfile,WORKDIR,docker,['$APP_HOME'],0,False
docker/Dockerfile,file,docker,['docker/Dockerfile'],0,False
pom.xml,ExecutableName,maven,['target/blog-demo-0.0.1-SNAPSHOT.jar'],0,False
pom.xml,ExecutableNameNoVersion,maven,['target/blog-demo.jar'],0,False
pom.xml,file,maven,['pom.xml'],0,False
pom.xml,project.artifactId,maven,['blog-demo'],0,False
pom.xml,project.build.plugins.plugin.org.springframework.boot:spring-boot-maven-plugin.artifactId,maven,['spring-boot-maven-plugin'],0,False
pom.xml,project.build.plugins.plugin.org.springframework.boot:spring-boot-maven-plugin.groupId,maven,['org.springframework.boot'],0,False
pom.xml,project.dependencies.dependency.com.h2database:h2.artifactId,maven,['h2'],0,False
pom.xml,project.dependencies.dependency.com.h2database:h2.groupId,maven,['com.h2database'],0,False
pom.xml,project.dependencies.dependency.mysql:mysql-connector-java.artifactId,maven,['mysql-connector-java'],0,False
pom.xml,project.dependencies.dependency.mysql:mysql-connector-java.groupId,maven,['mysql'],0,False
pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-devtools.artifactId,maven,['spring-boot-devtools'],0,False
pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-devtools.groupId,maven,['org.springframework.boot'],0,False
pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-devtools.scope,maven,['runtime'],0,False
pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-data-jpa.artifactId,maven,['spring-boot-starter-data-jpa'],0,False
pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-data-jpa.groupId,maven,['org.springframework.boot'],0,False
pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-data-rest.artifactId,maven,['spring-boot-starter-data-rest'],0,False
pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-data-rest.groupId,maven,['org.springframework.boot'],0,False
pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-security.artifactId,maven,['spring-boot-starter-security'],0,False
pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-security.groupId,maven,['org.springframework.boot'],0,False
pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-test.artifactId,maven,['spring-boot-starter-test'],0,False
pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-test.groupId,maven,['org.springframework.boot'],0,False
pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-test.scope,maven,['test'],0,False
pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-thymeleaf.artifactId,maven,['spring-boot-starter-thymeleaf'],0,False
pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-thymeleaf.groupId,maven,['org.springframework.boot'],0,False
pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-web.artifactId,maven,['spring-boot-starter-web'],0,False
pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-web.groupId,maven,['org.springframework.boot'],0,False
pom.xml,project.dependencies.dependency.org.springframework.data:spring-data-rest-hal-browser.artifactId,maven,['spring-data-rest-hal-browser'],0,False
pom.xml,project.dependencies.dependency.org.springframework.data:spring-data-rest-hal-browser.groupId,maven,['org.springframework.data'],0,False
pom.xml,project.dependencies.dependency.org.thymeleaf.extras:thymeleaf-extras-springsecurity4.artifactId,maven,['thymeleaf-extras-springsecurity4'],0,False
pom.xml,project.dependencies.dependency.org.thymeleaf.extras:thymeleaf-extras-springsecurity4.groupId,maven,['org.thymeleaf.extras'],0,False
pom.xml,project.dependencies.dependency.org.webjars:bootstrap:3.3.7.artifactId,maven,['bootstrap'],0,False
pom.xml,project.dependencies.dependency.org.webjars:bootstrap:3.3.7.groupId,maven,['org.webjars'],0,False
pom.xml,project.dependencies.dependency.org.webjars:bootstrap:3.3.7.version,maven,['3.3.7'],0,False
pom.xml,project.dependencies.dependency.org.webjars:jquery:2.1.4.artifactId,maven,['jquery'],0,False
pom.xml,project.dependencies.dependency.org.webjars:jquery:2.1.4.groupId,maven,['org.webjars'],0,False
pom.xml,project.dependencies.dependency.org.webjars:jquery:2.1.4.version,maven,['2.1.4'],0,False
pom.xml,project.description,maven,['Blog Demo project using Spring Boot'],0,False
pom.xml,project.groupId,maven,['com.reljicd'],0,False
pom.xml,project.modelVersion,maven,['4.0.0'],0,False
pom.xml,project.name,maven,['blog-demo'],0,False
pom.xml,project.packaging,maven,['jar'],0,False
pom.xml,project.parent.artifactId,maven,['spring-boot-starter-parent'],0,False
pom.xml,project.parent.groupId,maven,['org.springframework.boot'],0,False
