project,cluster,num_options,num_files
mantis-gradle-plugin,6,32,3
archaius,6,29,3
dgs-codegen,14,35,5
Raigad,6,31,3
EVCache,6,31,3
dynomite-manager,6,31,3
governator,6,31,3
mantis-mql,6,32,3
zuul,4,54,7
metaflow,1,27,2
Priam,6,31,3
metaflow-docs,11,20,2
Hystrix,6,31,3
concurrency-limits,6,30,3
dgs,0,6,1
metaflow-service,1,27,2
lemur,1,80,4
msl,6,31,3
eureka,6,31,3
vmaf,7,70,4
bettertls,10,9,1
metaflow-nflx-extensions,13,10,1
dgs-intellij-plugin,12,54,2
spectator-cpp,8,10,1
q,6,31,3
nflx-geofeed,2,9,1
dgs-framework,14,45,5
atlas-docs,0,18,2
awsobjectmapper,4,22,3
servo,4,26,3
maestro,5,9,1
atlas,9,27,3
hollow,6,30,3
metacat,6,34,4
dgs-examples-kotlin,3,9,1
iep,9,26,3
mantis,6,85,5
bpftop,2,37,1
dyno-queues,6,34,3
spectator,4,21,3
netflix-commons,6,31,3
metaflow-ui,1,47,3
ribbon,6,35,4
photon,6,50,4
frigga,6,31,3
