cluster_id,num_projects,top_options
0,2,on.push.branches=master:2; on.push.branches=main:2; jobs.deploy.steps.uses=actions/setup-python@v5:2; jobs.deploy.runs-on=ubuntu-latest:2; jobs.deploy.steps.uses=actions/checkout@v4:2; jobs.deploy.steps.with.python-version=3.x:1; on=pull_request:1; jobs.build.steps.with.distribution=zulu:1; jobs.build.steps.uses=actions/checkout@v4:1; jobs.build.steps.name=Set up JDK:1
1,4,name=CodeQL:4; jobs.analyze.steps.name=Initialize CodeQL:4; jobs.analyze.steps.with.languages=${{ matrix.language }}:4; jobs.analyze.permissions.security-events=write:4; jobs.analyze.permissions.actions=read:4; jobs.analyze.name=Analyze:4; jobs.analyze.permissions.contents=read:4; jobs.analyze.steps.name=Checkout repository:4; jobs.analyze.steps.name=Autobuild:4; jobs.analyze.steps.with.category=/language:${{matrix.language}}:4
2,2,on.push.branches=main:2; on.pull_request.branches=main:2; on.push.tags=v*:1; jobs.test.runs-on=ubuntu-latest:1; jobs.build_and_test.runs-on=ubuntu-latest:1
3,1,jobs.build.steps.uses=actions/upload-artifact@v5:1; jobs.build.steps.env.GITHUB_TOKEN=${{ secrets.GITHUB_TOKEN }}:1; jobs.build.steps.uses=actions/cache@v4:1; jobs.build.steps.with.fetch-depth=0:1; jobs.build.strategy.fail-fast=false:1; jobs.build.steps.uses=actions/checkout@v6:1
4,4,on=pull_request:4; on.push.tags=v[0-9]+.[0-9]+.[0-9]+:4; on.push.tags=v[0-9]+.[0-9]+.[0-9]+-rc.[0-9]+:4; name=Snapshot:4; name=Release:4; on.push.branches=master:4; name=PR Build:4; jobs.build.environment=Publish:4; jobs.build.runs-on=ubuntu-latest:4; jobs.build.steps.env.NETFLIX_OSS_REPO_USERNAME=${{ secrets.ORG_NETFLIXOSS_USERNAME }}:4
5,1,on=pull_request:1; on.push.branches=master:1; jobs.deploy.runs-on=ubuntu-latest:1; jobs.deploy.steps.name=Install dependencies:1
6,21,on.push.tags=v*.*.*-rc.*:21; on.push.tags=v*.*.*:21; on.push.branches=*:21; jobs.build.steps.name=Build:21; jobs.build.steps.id=gradle-wrapper-cache:21; jobs.build.steps.name=Publish candidate:21; jobs.build.steps.name=Publish release:21; jobs.build.steps.name=Setup jdk:21; jobs.build.steps.env.CI_NAME=github_actions:21; jobs.build.steps.env.NETFLIX_OSS_REPO_USERNAME=${{ secrets.ORG_NETFLIXOSS_USERNAME }}:21
7,1,on.push.branches=main:1; name=Build:1; jobs.build.steps.uses=actions/checkout@v4:1; jobs.build.steps.name=Build:1; jobs.build.runs-on=ubuntu-latest:1
8,1,on.push.branches=main:1; on.pull_request.branches=main:1; jobs.build.steps.run=./gradlew build:1; jobs.build.steps.run=chmod +x gradlew:1; jobs.build.steps.uses=actions/setup-java@v5:1; jobs.build.steps.name=Build with Gradle:1; jobs.build.runs-on=ubuntu-latest:1; jobs.build.steps.name=Set up JDK 17:1; jobs.build.steps.name=Grant execute permission for gradlew:1; jobs.build.steps.with.distribution=zulu:1
9,2,on=pull_request:2; on.push.tags=v[0-9]+.[0-9]+.[0-9]+:2; on.push.tags=v[0-9]+.[0-9]+.[0-9]+-rc.[0-9]+:2; on.push.branches=v[0-9]+.[0-9]+.x:2; name=Release:2; name=Snapshot:2; on.push.branches=main:2; jobs.check.steps.with.java-version=17:2; jobs.check.steps.with.cache=sbt:2; jobs.check.steps.with.distribution=zulu:2
10,1,on.push.branches=master:1; on.pull_request.branches=master:1; jobs.build.steps.uses=actions/checkout@v2:1; jobs.build.steps.name=Build:1; jobs.build.runs-on=ubuntu-latest:1; jobs.build.steps.name=Test:1
11,1,on.push.tags=v*.*.*-rc.*:1; on.push.tags=v*.*.*:1; on.push.branches=*:1; jobs.build.steps.with.distribution=zulu:1; jobs.build.steps.uses=actions/checkout@v4:1; jobs.build.steps.uses=actions/setup-java@v4:1; jobs.build.steps.with.java-version=21:1; jobs.build.runs-on=ubuntu-latest:1; jobs.build.steps.run=./gradlew build:1
12,1,on.release.types=released:1; on.release.types=prereleased:1; on.push.branches=main:1; name=Release:1; name=Build:1; jobs.test.runs-on=ubuntu-latest:1; jobs.build.runs-on=ubuntu-latest:1; jobs.build.steps.name=Setup Java:1; jobs.build.steps.with.cache=gradle:1; jobs.build.steps.with.distribution=zulu:1
13,1,permissions.contents=read:1; on.release.types=published:1; name=Publish:1; jobs.deploy.permissions.id-token=write:1; jobs.deploy.environment=pypi:1; jobs.deploy.steps.name=Install dependencies:1; jobs.deploy.runs-on=ubuntu-latest:1; jobs.deploy.steps.with.python-version=3.x:1; jobs.deploy.steps.uses=pypa/gh-action-pypi-publish@ed0c53931b1dc9bd32cbe73a98c7f6766f8a527e:1
14,2,on.schedule.cron=0 0 * * *:2; name=Publish to NetflixOSS and Maven Central:2; name=Release Drafter:2; on.pull_request.types=reopened:2; on.pull_request.types=opened:2; on.pull_request.types=synchronize:2; on.push.branches=master:2; name=Update Gradle Wrapper:2; jobs.update_release_draft.steps.env.GITHUB_TOKEN=${{ secrets.GITHUB_TOKEN }}:2; jobs.update_release_draft.steps.uses=release-drafter/release-drafter@v6:2
