k,silhouette_score,n_clusters
2,0.24885402375318957,2
3,0.37602037310050845,3
4,0.40952504816824764,4
5,0.41645906180011977,5
6,0.42118031429255026,6
7,0.416452219458156,7
8,0.41558412151425894,8
9,0.4058388934825872,9
10,0.44050436313307634,10
11,0.43372857930956205,11
12,0.434057269406368,12
13,0.4310010039822097,13
14,0.42935849884696947,14
15,0.5138634340258368,15
16,0.5055355795441361,16
17,0.49400290268833247,17
18,0.48087158955701936,18
19,0.45928396653492204,19
20,0.44713720245139904,20
