project,cypress,dependabot,docker,docker-compose,github,github-action,gradle,gradle-wrapper,log4j,mkdocs,nodejs,npm,poetry,pre-commit,spring,tox,tsconfig
mantis-gradle-plugin,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
archaius,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
dgs-codegen,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Raigad,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
sureal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EVCache,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
dynomite-manager,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
governator,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
mantis-mql,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
zuul,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
metaflow,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
Priam,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
metaflow-docs,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
ttal-dapt-conv,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Hystrix,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
concurrency-limits,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
dgs,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
metaflow-service,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
lemur,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0
msl,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
eureka,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
vmaf,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
metaflow-nflx-extensions,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
x-test,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
dgs-intellij-plugin,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
q,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
dgs-framework,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
atlas-docs,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
awsobjectmapper,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
servo,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
maestro,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
atlas,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hollow,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
metacat,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
dgs-examples-kotlin,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
iep,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mantis,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0
bpftop,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dyno-queues,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
spectator,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
netflix-commons,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
metaflow-ui,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
ribbon,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
x-element,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
photon,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
frigga,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
