project,configparser::log4j.appender.stdout,configparser::log4j.appender.stdout.layout,docker::FROM,github-action::jobs.build.environment,github-action::jobs.build.if,github-action::jobs.build.name::CI with Java ${{ matrix.java }},github-action::jobs.build.runs-on,github-action::jobs.build.steps.env.CI_BRANCH,github-action::jobs.build.steps.env.CI_BUILD_NUMBER,github-action::jobs.build.steps.env.CI_BUILD_URL::https://github.com/${{ github.repository }},github-action::jobs.build.steps.env.CI_NAME::github_actions,github-action::jobs.build.steps.env.COVERALLS_REPO_TOKEN::${{ secrets.GITHUB_TOKEN }},github-action::jobs.build.steps.env.NETFLIX_OSS_REPO_PASSWORD,github-action::jobs.build.steps.env.NETFLIX_OSS_REPO_USERNAME,github-action::jobs.build.steps.env.NETFLIX_OSS_SIGNING_KEY,github-action::jobs.build.steps.env.NETFLIX_OSS_SIGNING_PASSWORD,github-action::jobs.build.steps.env.NETFLIX_OSS_SONATYPE_PASSWORD,github-action::jobs.build.steps.env.NETFLIX_OSS_SONATYPE_STAGING_PROFILE_ID::c3547130240327,github-action::jobs.build.steps.env.NETFLIX_OSS_SONATYPE_USERNAME,github-action::jobs.build.steps.id::gradle-cache,github-action::jobs.build.steps.id::gradle-wrapper-cache,github-action::jobs.build.steps.if,github-action::jobs.build.steps.name::Build,github-action::jobs.build.steps.name::Build candidate,github-action::jobs.build.steps.name::Build release,github-action::jobs.build.steps.name::Build with Gradle,github-action::jobs.build.steps.name::Grant execute permission for gradlew,github-action::jobs.build.steps.name::Publish candidate,github-action::jobs.build.steps.name::Publish release,github-action::jobs.build.steps.name::Set up JDK,github-action::jobs.build.steps.name::Set up JDK ${{ matrix.java }},github-action::jobs.build.steps.name::Setup git user,github-action::jobs.build.steps.name::Setup jdk,github-action::jobs.build.steps.name::Setup jdk 8,github-action::jobs.build.steps.run,github-action::jobs.build.steps.uses::actions/cache@v5,github-action::jobs.build.steps.uses::actions/checkout@v4,github-action::jobs.build.steps.uses::actions/checkout@v6,github-action::jobs.build.steps.uses::actions/setup-java@v4,github-action::jobs.build.steps.uses::actions/setup-java@v5,github-action::jobs.build.steps.uses::actions/upload-artifact@v4,github-action::jobs.build.steps.with.cache,github-action::jobs.build.steps.with.distribution,github-action::jobs.build.steps.with.fetch-depth::0,github-action::jobs.build.steps.with.java-version::${{ matrix.java }},github-action::jobs.build.steps.with.java-version::1.8,github-action::jobs.build.steps.with.java-version::17,github-action::jobs.build.steps.with.java-version::21,github-action::jobs.build.steps.with.java-version::8,github-action::jobs.build.steps.with.key,github-action::jobs.build.steps.with.path::~/.gradle/caches,"github-action::jobs.build.steps.with.path::~/.gradle/caches
",github-action::jobs.build.steps.with.path::~/.gradle/wrapper,"github-action::jobs.build.steps.with.path::~/.gradle/wrapper
",github-action::jobs.build.steps.with.ref,github-action::jobs.build.steps.with.repository,github-action::jobs.build.steps.with.restore-keys,github-action::jobs.build.strategy.matrix.java::11,github-action::jobs.build.strategy.matrix.java::17,github-action::jobs.build.strategy.matrix.java::21,github-action::jobs.build.strategy.matrix.java::8,github-action::jobs.deploy.runs-on,github-action::jobs.deploy.steps.run,github-action::jobs.update-gradle-wrapper.runs-on,github-action::jobs.update-gradle-wrapper.steps.name::Update Gradle Wrapper,github-action::jobs.update-gradle-wrapper.steps.uses::actions/setup-java@v5,github-action::jobs.update-gradle-wrapper.steps.with.distribution,github-action::jobs.update_release_draft.runs-on,github-action::jobs.update_release_draft.steps.env.GITHUB_TOKEN::${{ secrets.GITHUB_TOKEN }},github-action::jobs.validation.runs-on,github-action::jobs.validation.steps.uses::actions/checkout@v6,github-action::name::CI,github-action::name::PR Build,github-action::name::Publish candidate/release to NetflixOSS and Maven Central,github-action::name::Publish snapshot to NetflixOSS and Maven Central,github-action::name::Publish to NetflixOSS and Maven Central,github-action::name::Release,github-action::name::Release Drafter,github-action::name::Snapshot,github-action::name::Update Gradle Wrapper,github-action::on.push.branches::*,github-action::on.push.branches::main,github-action::on.push.branches::master,github-action::on.push.tags-ignore::*,github-action::on.push.tags::v*.*.*,github-action::on.push.tags::v*.*.*-rc.*,github-action::on.push.tags::v[0-9]+.[0-9]+.[0-9]+,github-action::on.push.tags::v[0-9]+.[0-9]+.[0-9]+-rc.[0-9]+,github-action::on.release.types::published,github-action::on.schedule.cron::0 0 * * *,github-action::on::pull_request,github-action::on::push,gradle-wrapper::distributionbase::GRADLE_USER_HOME,gradle-wrapper::distributionpath::wrapper/dists,gradle-wrapper::distributionurl::https\://services.gradle.org/distributions/gradle-8.14.2-bin.zip,gradle-wrapper::distributionurl::https\://services.gradle.org/distributions/gradle-8.14.3-bin.zip,gradle-wrapper::distributionurl::https\://services.gradle.org/distributions/gradle-8.5-bin.zip,gradle-wrapper::networktimeout::10000,gradle-wrapper::validatedistributionurl::true,gradle-wrapper::zipstorebase::GRADLE_USER_HOME,gradle-wrapper::zipstorepath::wrapper/dists,gradle::org.gradle.caching::true,gradle::org.gradle.jvmargs,gradle::org.gradle.parallel::true,gradle::release.scope,yaml::extra_css::css/extra.css,yaml::markdown_extensions,yaml::markdown_extensions::pymdownx.tilde,yaml::plugins,yaml::template,yaml::theme.name::material,yaml::theme.palette.accent,yaml::theme.palette.primary,yaml::updates.directory::/,yaml::updates.package-ecosystem::github-actions,yaml::updates.package-ecosystem::gradle,yaml::updates.schedule.interval::daily,yaml::updates.schedule.interval::monthly,yaml::updates.target-branch,yaml::version::2
EVCache,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hystrix,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priam,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raigad,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
archaius,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atlas,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
atlas-docs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
awsobjectmapper,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bpftop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
concurrency-limits,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dgs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
