itemset_size,options,support,count,num_projects,projects,values
1,github-action::jobs.build.steps.uses,0.1824,31,13,"atlas, atlas-docs, dgs-codegen, dgs-framework, dgs-intellij-plugin, iep, lemur, mantis, photon, ribbon, servo, vmaf, zuul","actions/cache@v4, actions/cache@v5, actions/checkout@v4, actions/checkout@v6, actions/checkout@v6.0.1, actions/setup-java@v1, actions/setup-java@v4, actions/setup-java@v5, actions/setup-python@v5, actions/upload-artifact@v4, actions/upload-artifact@v5, actions/upload-release-asset@v1, coverallsapp/github-action@v2, gradle/actions/wrapper-validation@v5, gradle/gradle-build-action@v2"
1,github-action::jobs.build.steps.with.java-version,0.1765,30,30,"EVCache, Hystrix, Priam, Raigad, archaius, atlas, atlas-docs, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dgs-intellij-plugin, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, iep, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, zuul","11, 17, 21, 8"
1,gradle-wrapper::zipstorebase,0.1765,30,30,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-examples-kotlin, dgs-framework, dgs-intellij-plugin, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, maestro, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul",GRADLE_USER_HOME
1,gradle-wrapper::distributionbase,0.1765,30,30,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-examples-kotlin, dgs-framework, dgs-intellij-plugin, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, maestro, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul",GRADLE_USER_HOME
1,gradle-wrapper::zipstorepath,0.1765,30,30,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-examples-kotlin, dgs-framework, dgs-intellij-plugin, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, maestro, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul",wrapper/dists
1,gradle-wrapper::distributionpath,0.1765,30,30,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-examples-kotlin, dgs-framework, dgs-intellij-plugin, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, maestro, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul",wrapper/dists
2,gradle-wrapper::distributionbase | gradle-wrapper::zipstorebase,0.1765,30,30,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-examples-kotlin, dgs-framework, dgs-intellij-plugin, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, maestro, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul",GRADLE_USER_HOME
2,gradle-wrapper::distributionpath | gradle-wrapper::zipstorepath,0.1765,30,30,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-examples-kotlin, dgs-framework, dgs-intellij-plugin, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, maestro, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul",wrapper/dists
1,github-action::jobs.build.strategy.matrix.java,0.1647,28,26,"EVCache, Hystrix, Priam, Raigad, archaius, atlas, awsobjectmapper, concurrency-limits, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, iep, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, zuul","11, 17, 21, 8"
2,github-action::jobs.build.steps.with.java-version | github-action::jobs.build.strategy.matrix.java,0.1529,26,26,"EVCache, Hystrix, Priam, Raigad, archaius, atlas, awsobjectmapper, concurrency-limits, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, iep, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, zuul","11, 17, 21, 8"
1,github-action::jobs.build.steps.name,0.1,17,9,"atlas, atlas-docs, dgs-codegen, dgs-intellij-plugin, iep, mantis, photon, spectator-cpp, vmaf","Build, Build vmaf, Build with Gradle, Checkout PR, Export Properties, Fetch Sources, Get binary path & Current Release, Set up JDK, Setup Git, Setup Java, Setup jdk, Upload, Upload vmaf"
1,json::dis_videos.path,0.1,17,1,sureal,"FILEPATH/vqeghd3_src01_hrc00_cut.avi, FILEPATH/vqeghd3_src02_hrc00_cut.avi, FILEPATH/vqeghd3_src03_hrc00_cut.avi, FILEPATH/vqeghd3_src05_hrc00_cut.avi, FILEPATH/vqeghd3_src06_hrc00_cut.avi, FILEPATH/vqeghd3_src07_hrc00_cut.avi, FILEPATH/vqeghd3_src08_hrc00_cut.avi, FILEPATH/vqeghd3_src09_hrc00_cut.avi, [path to dataset videos]/ref/BigBuckBunny_25fps.yuv, [path to dataset videos]/ref/BirdsInCage_30fps.yuv, [path to dataset videos]/ref/CrowdRun_25fps.yuv, [path to dataset videos]/ref/ElFuente1_30fps.yuv, [path to dataset videos]/ref/ElFuente2_30fps.yuv, [path to dataset videos]/ref/FoxBird_25fps.yuv, [path to dataset videos]/ref/OldTownCross_25fps.yuv, [path to dataset videos]/ref/Seeking_25fps.yuv, [path to dataset videos]/ref/Tennis_24fps.yuv"
1,json::ref_videos.path,0.1,17,1,sureal,"FILEPATH/vqeghd3_src01_hrc00_cut.avi, FILEPATH/vqeghd3_src02_hrc00_cut.avi, FILEPATH/vqeghd3_src03_hrc00_cut.avi, FILEPATH/vqeghd3_src05_hrc00_cut.avi, FILEPATH/vqeghd3_src06_hrc00_cut.avi, FILEPATH/vqeghd3_src07_hrc00_cut.avi, FILEPATH/vqeghd3_src08_hrc00_cut.avi, FILEPATH/vqeghd3_src09_hrc00_cut.avi, [path to dataset videos]/ref/BigBuckBunny_25fps.yuv, [path to dataset videos]/ref/BirdsInCage_30fps.yuv, [path to dataset videos]/ref/CrowdRun_25fps.yuv, [path to dataset videos]/ref/ElFuente1_30fps.yuv, [path to dataset videos]/ref/ElFuente2_30fps.yuv, [path to dataset videos]/ref/FoxBird_25fps.yuv, [path to dataset videos]/ref/OldTownCross_25fps.yuv, [path to dataset videos]/ref/Seeking_25fps.yuv, [path to dataset videos]/ref/Tennis_24fps.yuv"
2,json::dis_videos.path | json::ref_videos.path,0.1,17,1,sureal,"FILEPATH/vqeghd3_src01_hrc00_cut.avi, FILEPATH/vqeghd3_src02_hrc00_cut.avi, FILEPATH/vqeghd3_src03_hrc00_cut.avi, FILEPATH/vqeghd3_src05_hrc00_cut.avi, FILEPATH/vqeghd3_src06_hrc00_cut.avi, FILEPATH/vqeghd3_src07_hrc00_cut.avi, FILEPATH/vqeghd3_src08_hrc00_cut.avi, FILEPATH/vqeghd3_src09_hrc00_cut.avi, [path to dataset videos]/ref/BigBuckBunny_25fps.yuv, [path to dataset videos]/ref/BirdsInCage_30fps.yuv, [path to dataset videos]/ref/CrowdRun_25fps.yuv, [path to dataset videos]/ref/ElFuente1_30fps.yuv, [path to dataset videos]/ref/ElFuente2_30fps.yuv, [path to dataset videos]/ref/FoxBird_25fps.yuv, [path to dataset videos]/ref/OldTownCross_25fps.yuv, [path to dataset videos]/ref/Seeking_25fps.yuv, [path to dataset videos]/ref/Tennis_24fps.yuv"
1,github-action::jobs.build.runs-on,0.0765,13,13,"atlas, atlas-docs, dgs-codegen, dgs-framework, dgs-intellij-plugin, iep, lemur, mantis, metaflow-service, photon, ribbon, servo, zuul",ubuntu-latest
