ngram_size,ngram,support,num_projects,occurrences,concepts,projects
2,name -> on.push.branches,0.898,44,68,"github-action, yaml","EVCache, Hystrix, Priam, Raigad, archaius, atlas, atlas-docs, awsobjectmapper, bettertls, bpftop, concurrency-limits, dgs, dgs-codegen, dgs-examples-kotlin, dgs-framework, dgs-intellij-plugin, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, iep, lemur, maestro, mantis, mantis-gradle-plugin, mantis-mql, metacat, metaflow, metaflow-docs, metaflow-service, metaflow-ui, msl, netflix-commons, nflx-geofeed, photon, q, ribbon, servo, spectator, spectator-cpp, x-element, zuul"
2,jobs.build.steps.name -> jobs.build.steps.uses,0.7347,36,137,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, atlas, atlas-docs, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-examples-kotlin, dgs-framework, dgs-intellij-plugin, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, iep, lemur, maestro, mantis, mantis-gradle-plugin, mantis-mql, metacat, metaflow-service, msl, netflix-commons, photon, q, ribbon, servo, spectator, vmaf, zuul"
2,jobs.build.steps.name -> jobs.build.steps.run,0.7143,35,104,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, atlas, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-examples-kotlin, dgs-framework, dgs-intellij-plugin, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, iep, lemur, maestro, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, spectator-cpp, vmaf, zuul"
2,jobs.build.steps.uses -> jobs.build.steps.name,0.6735,33,62,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, atlas, atlas-docs, concurrency-limits, dgs-codegen, dgs-examples-kotlin, dgs-framework, dgs-intellij-plugin, dynomite-manager, eureka, frigga, governator, hollow, iep, lemur, maestro, mantis, mantis-gradle-plugin, mantis-mql, metacat, metaflow-service, msl, netflix-commons, photon, ribbon, servo, spectator, spectator-cpp, zuul"
2,distributionbase -> distributionpath,0.6122,30,30,gradle-wrapper,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-examples-kotlin, dgs-framework, dgs-intellij-plugin, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, maestro, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
2,jobs.build.steps.env.NETFLIX_OSS_REPO_USERNAME -> jobs.build.steps.env.NETFLIX_OSS_REPO_PASSWORD,0.5918,29,85,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, atlas, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, iep, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
2,jobs.build.steps.env.NETFLIX_OSS_SONATYPE_USERNAME -> jobs.build.steps.env.NETFLIX_OSS_SONATYPE_PASSWORD,0.5918,29,32,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, atlas, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, iep, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
2,on.push.tags -> on.push.tags,0.5918,29,30,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, atlas, awsobjectmapper, concurrency-limits, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, iep, maestro, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
2,name -> on.push.tags,0.5918,29,29,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, atlas, awsobjectmapper, concurrency-limits, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, iep, mantis, mantis-gradle-plugin, mantis-mql, metacat, metaflow-ui, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
2,zipstorebase -> zipstorepath,0.5918,29,29,gradle-wrapper,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-examples-kotlin, dgs-framework, dgs-intellij-plugin, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, maestro, mantis, mantis-gradle-plugin, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
3,name -> on.push.tags -> on.push.tags,0.5714,28,28,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, atlas, awsobjectmapper, concurrency-limits, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, iep, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
2,jobs.build.steps.name -> jobs.build.steps.if,0.5714,28,57,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, vmaf, zuul"
5,jobs.build.steps.env.NETFLIX_OSS_SONATYPE_USERNAME -> jobs.build.steps.env.NETFLIX_OSS_SONATYPE_PASSWORD -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_KEY -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_PASSWORD -> jobs.build.steps.env.NETFLIX_OSS_REPO_USERNAME,0.551,27,28,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
5,jobs.build.steps.env.NETFLIX_OSS_SONATYPE_PASSWORD -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_KEY -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_PASSWORD -> jobs.build.steps.env.NETFLIX_OSS_REPO_USERNAME -> jobs.build.steps.env.NETFLIX_OSS_REPO_PASSWORD,0.551,27,28,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
4,jobs.build.steps.name -> jobs.build.steps.uses -> jobs.build.steps.with.java-version -> jobs.build.steps.with.distribution,0.551,27,86,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, atlas, atlas-docs, awsobjectmapper, concurrency-limits, dgs-codegen, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, iep, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, q, ribbon, servo, spectator"
4,jobs.build.steps.env.NETFLIX_OSS_SIGNING_KEY -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_PASSWORD -> jobs.build.steps.env.NETFLIX_OSS_REPO_USERNAME -> jobs.build.steps.env.NETFLIX_OSS_REPO_PASSWORD,0.551,27,81,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
4,jobs.build.steps.env.NETFLIX_OSS_SONATYPE_USERNAME -> jobs.build.steps.env.NETFLIX_OSS_SONATYPE_PASSWORD -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_KEY -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_PASSWORD,0.551,27,28,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
4,jobs.build.steps.env.NETFLIX_OSS_SONATYPE_PASSWORD -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_KEY -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_PASSWORD -> jobs.build.steps.env.NETFLIX_OSS_REPO_USERNAME,0.551,27,28,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
3,jobs.build.steps.name -> jobs.build.steps.uses -> jobs.build.steps.with.java-version,0.551,27,87,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, atlas, atlas-docs, awsobjectmapper, concurrency-limits, dgs-codegen, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, iep, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, q, ribbon, servo, spectator"
3,jobs.build.steps.uses -> jobs.build.steps.with.java-version -> jobs.build.steps.with.distribution,0.551,27,86,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, atlas, atlas-docs, awsobjectmapper, concurrency-limits, dgs-codegen, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, iep, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, q, ribbon, servo, spectator"
3,jobs.build.steps.env.NETFLIX_OSS_SIGNING_KEY -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_PASSWORD -> jobs.build.steps.env.NETFLIX_OSS_REPO_USERNAME,0.551,27,81,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
