account,id,name,full_name,owner_login,html_url,clone_url,ssh_url,description,homepage,topics,private,visibility,fork,archived,disabled,is_template,created_at,updated_at,pushed_at,size_kb,language,default_branch,stargazers_count,watchers_count,forks_count,open_issues_count,license_spdx_id,license_name,latest_commit_sha,latest_commit_date,latest_commit_message,latest_commit_author
netflix,4291387,archaius,Netflix/archaius,Netflix,https://github.com/Netflix/archaius,https://github.com/Netflix/archaius.git,git@github.com:Netflix/archaius.git,Library for configuration management API,,,False,public,False,False,False,False,2012-05-11T00:07:05Z,2026-01-20T12:05:30Z,2025-12-17T00:10:01Z,4018,Java,2.x,2497,2497,481,36,Apache-2.0,Apache License 2.0,8629b765ca44fa8cf6b229b050621126df26d04f,2025-12-16T23:42:51Z,Merge pull request #760 from Netflix/use-environment,Roberto Perez Alcolea
netflix,22631422,atlas,Netflix/atlas,Netflix,https://github.com/Netflix/atlas,https://github.com/Netflix/atlas.git,git@github.com:Netflix/atlas.git,In-memory dimensional time series database.,,,False,public,False,False,False,False,2014-08-05T05:23:04Z,2026-01-21T02:15:10Z,2026-01-11T17:28:04Z,137383,Scala,main,3529,3529,325,10,Apache-2.0,Apache License 2.0,7e89b66f8a7e83a745bbf1df235f39df1fb867b1,2026-01-11T17:28:03Z,core: fix alignStart for last interval (#1849),brharrington
netflix,126061491,atlas-docs,Netflix/atlas-docs,Netflix,https://github.com/Netflix/atlas-docs,https://github.com/Netflix/atlas-docs.git,git@github.com:Netflix/atlas-docs.git,Atlas Documentation Site (https://netflix.github.io/atlas-docs/),,,False,public,False,False,False,False,2018-03-20T18:03:51Z,2026-01-22T21:47:21Z,2026-01-22T21:48:28Z,226711,Python,main,50,50,30,4,Apache-2.0,Apache License 2.0,3f22dce8020ba16e397fffa7e0d8b566d112a305,2026-01-22T21:47:16Z,Bump wheel from 0.45.1 to 0.46.2 (#242),dependabot[bot]
netflix,22970758,awsobjectmapper,Netflix/awsobjectmapper,Netflix,https://github.com/Netflix/awsobjectmapper,https://github.com/Netflix/awsobjectmapper.git,git@github.com:Netflix/awsobjectmapper.git,Serializing / deserializing library for AWS objects,,,False,public,False,False,False,False,2014-08-14T22:34:34Z,2026-01-12T05:15:36Z,2025-12-17T00:34:20Z,230,Groovy,main,46,46,37,0,Apache-2.0,Apache License 2.0,2c8102ad70200f76869aa8ccc70cd941943f5cc3,2025-12-16T23:52:17Z,Merge pull request #132 from Netflix/use-environments,Roberto Perez Alcolea
netflix,77945659,bettertls,Netflix/bettertls,Netflix,https://github.com/Netflix/bettertls,https://github.com/Netflix/bettertls.git,git@github.com:Netflix/bettertls.git,BetterTLS:  A Name Constraints test suite for HTTPS clients.,https://bettertls.com,security,False,public,False,False,False,False,2017-01-03T19:18:04Z,2026-01-17T18:00:06Z,2026-01-17T18:00:01Z,372,Go,master,175,175,36,1,Apache-2.0,Apache License 2.0,bc5adea19ed8dc0d14d8be265ce48ee4605047cf,2026-01-16T15:36:05Z,master,İsmail Taşdelen
netflix,755724256,bpftop,Netflix/bpftop,Netflix,https://github.com/Netflix/bpftop,https://github.com/Netflix/bpftop.git,git@github.com:Netflix/bpftop.git,"bpftop provides a dynamic real-time view of running eBPF programs. It displays the average runtime, events per second, and estimated total CPU % for each program.",,,False,public,False,False,False,False,2024-02-10T22:20:51Z,2026-01-22T11:04:26Z,2026-01-19T21:35:14Z,2670,C,main,2604,2604,127,7,Apache-2.0,Apache License 2.0,c069b72210bafd1e85288372339e272d22136569,2025-12-15T20:30:43Z,Bump actions/download-artifact from 6.0.0 to 7.0.0,dependabot[bot]
netflix,113899964,concurrency-limits,Netflix/concurrency-limits,Netflix,https://github.com/Netflix/concurrency-limits,https://github.com/Netflix/concurrency-limits.git,git@github.com:Netflix/concurrency-limits.git,,,,False,public,False,False,False,False,2017-12-11T19:32:41Z,2026-01-22T02:20:54Z,2026-01-16T00:05:22Z,847,Java,main,3521,3521,324,50,Apache-2.0,Apache License 2.0,78a74b9878d38c4c048b0304ce12a162ab7b7222,2026-01-12T18:27:17Z,Add time unit to Limit#onSample (#228),Jeroen Meijer
netflix,319719473,dgs,Netflix/dgs,Netflix,https://github.com/Netflix/dgs,https://github.com/Netflix/dgs.git,git@github.com:Netflix/dgs.git,,https://netflix.github.io/dgs,,False,public,False,False,False,False,2020-12-08T18:00:44Z,2026-01-20T17:52:25Z,2026-01-20T17:52:50Z,5377,HTML,main,25,25,55,9,,,a4bc936ece69ebeef5b829f922239e263c65edbd,2026-01-20T17:52:19Z,Merge pull request #207 from Netflix/update-instrumentation,jjacobs44
netflix,317379776,dgs-codegen,Netflix/dgs-codegen,Netflix,https://github.com/Netflix/dgs-codegen,https://github.com/Netflix/dgs-codegen.git,git@github.com:Netflix/dgs-codegen.git,,,,False,public,False,False,False,False,2020-12-01T00:18:44Z,2026-01-13T04:40:12Z,2026-01-13T04:40:08Z,3566,Kotlin,master,204,204,109,103,Apache-2.0,Apache License 2.0,d7a9bf34a25d89566fbb33460dcbfc85fa46694f,2026-01-13T04:40:08Z,Merge pull request #915 from Netflix/remove-v2-usage,Jiho Lee
netflix,327168226,dgs-examples-kotlin,Netflix/dgs-examples-kotlin,Netflix,https://github.com/Netflix/dgs-examples-kotlin,https://github.com/Netflix/dgs-examples-kotlin.git,git@github.com:Netflix/dgs-examples-kotlin.git,,,,False,public,False,False,False,False,2021-01-06T01:42:19Z,2026-01-12T05:15:36Z,2025-12-17T03:02:41Z,248,Kotlin,main,101,101,34,7,Apache-2.0,Apache License 2.0,f0699eb7c7c9e07a3c0ed7337ee8937ade584c58,2025-12-17T00:46:53Z,Merge pull request #179 from Netflix/use-environments,Roberto Perez Alcolea
