project_name,n_contributors,spearman_rho,spearman_pvalue,permutation_pvalue,ci_lower_95,ci_upper_95,pearson_r,pearson_pvalue,total_commits_sum,config_commits_sum,config_ratio
Netflix_bettertls,3,1.0,0.0,0.3375,,,1.0,0.0,54,27,0.5
Netflix_q,4,1.0,0.0,0.0796,,,0.9528926733451949,0.04710732665480499,88,34,0.38636363636363635
Netflix_x-test,6,1.0,0.0,0.0037,,,0.9984351344619031,3.671290203871056e-06,87,65,0.7471264367816092
Netflix_metaflow-ui,7,0.9908673886137246,1.5233973437494272e-05,0.0008,,,0.9819398550446237,8.337619796630746e-05,185,60,0.32432432432432434
Netflix_atlas-docs,5,0.9746794344808964,0.004818230468198537,0.0337,,,0.9998666752050794,1.8479557104849187e-06,235,76,0.32340425531914896
Netflix_iep,8,0.9697815168769669,6.743149819136654e-05,0.0006,,,0.9999897453613056,2.6958626292085847e-15,1672,272,0.16267942583732056
Netflix_dgs-intellij-plugin,16,0.9653366522200786,1.47107808451117e-09,0.0,0.8733083043070611,1.0,0.982399226213829,1.3394389846165164e-11,275,144,0.5236363636363637
Netflix_dgs,13,0.9633170045020438,1.2620031042285101e-07,0.0,0.8439876662146744,0.9985865717317342,0.995669691709871,1.057601084594057e-12,512,116,0.2265625
Netflix_ribbon,18,0.916929701255224,8.764156534768256e-08,0.0,0.7621321040074833,0.9713625639645376,0.764622611754643,0.00021935048919132497,829,198,0.2388419782870929
Netflix_zuul,36,0.9075113058484319,2.3123554997529345e-14,0.0,0.7850911774804775,0.9702278930530157,0.7925868065752772,8.36487381092263e-09,1547,330,0.21331609566903684
Netflix_x-element,6,0.9066928292470475,0.012653165414261078,0.0356,,,0.9934487280237698,6.423815919997084e-05,245,128,0.5224489795918368
Netflix_metaflow-service,15,0.9065966192245803,3.178054202824383e-06,0.0,0.741224030723031,0.9663486040383829,0.9566511427512132,2.44576342101175e-08,327,109,0.3333333333333333
Netflix_atlas,10,0.8985258985263478,0.0004097411431693661,0.0016,,,0.9992181143876512,1.6335912676268943e-12,2785,461,0.16552962298025134
Netflix_awsobjectmapper,7,0.897549110408119,0.006102123876842222,0.0135,,,0.800740913307532,0.030478423998465835,174,88,0.5057471264367817
Netflix_mantis-mql,6,0.895622151039798,0.01577351850974053,0.0299,,,0.9726828346174293,0.00110914887645766,47,17,0.3617021276595745
Netflix_vmaf,17,0.8833026792634335,2.620947823851609e-06,0.0001,0.6740991318643992,0.9598008207403602,0.9258171532166101,9.950737832757463e-08,1901,156,0.08206207259337191
Netflix_metaflow,24,0.8801153178134351,1.4406490519707761e-08,0.0,0.6866408368654873,0.9668477280886987,0.9096823465051355,7.366771693548236e-10,1309,107,0.08174178762414057
Netflix_archaius,15,0.861232964621816,3.719211745043858e-05,0.0002,0.6371486603688161,0.9633405930423478,0.9857494260935178,1.8986186120758824e-11,661,118,0.17851739788199697
Netflix_metacat,19,0.8541504303203343,3.2590564345456997e-06,0.0,0.6413641315038626,0.9517849053100035,0.9252114706647189,1.4321347781025548e-08,603,162,0.26865671641791045
Netflix_Raigad,8,0.8503146459584139,0.007471414639953453,0.0115,,,0.9937088229747366,6.195613243725895e-07,351,119,0.33903133903133903
Netflix_servo,16,0.838580758054967,4.940706675501273e-05,0.0001,0.5421300184697987,0.9737564186692115,0.7707714146214579,0.00047441456491788763,1215,270,0.2222222222222222
Netflix_eureka,21,0.8202024849892285,5.307989925731144e-06,0.0,0.60876363379503,0.936556904498156,0.432878925666556,0.04998742629357876,1376,353,0.2565406976744186
