project_name,num_config_contributors,num_total_contributors,total_commits,top1_share,top3_share,top5_share
Netflix_EVCache,22,44,106,46.22641509433962,62.26415094339623,71.69811320754718
Netflix_Hystrix,19,142,190,30.526315789473685,66.3157894736842,86.3157894736842
Netflix_Priam,27,60,374,20.053475935828878,51.336898395721924,69.78609625668449
Netflix_Raigad,8,15,119,52.10084033613446,84.03361344537815,94.95798319327731
Netflix_archaius,15,31,118,49.152542372881356,71.1864406779661,85.59322033898304
Netflix_atlas-docs,5,17,76,48.68421052631579,97.36842105263158,99.99999999999999
Netflix_atlas,10,30,461,87.41865509761388,95.01084598698482,98.69848156182213
Netflix_awsobjectmapper,7,24,88,43.18181818181818,89.77272727272728,97.72727272727273
Netflix_bettertls,3,13,27,92.5925925925926,100.00000000000001,100.00000000000001
Netflix_bpftop,6,15,76,92.10526315789474,96.05263157894737,98.68421052631578
Netflix_concurrency-limits,10,33,40,25.0,62.5,80.0
Netflix_dgs-codegen,16,85,156,26.282051282051285,59.61538461538462,82.69230769230771
Netflix_dgs-examples-kotlin,7,11,27,44.44444444444444,70.37037037037037,85.18518518518518
Netflix_dgs-framework,26,102,291,46.391752577319586,80.75601374570448,86.5979381443299
Netflix_dgs-intellij-plugin,16,19,144,30.555555555555557,71.52777777777777,81.94444444444444
Netflix_dgs,13,65,116,29.310344827586203,76.72413793103448,89.6551724137931
Netflix_dyno-queues,8,15,45,37.77777777777778,73.33333333333333,88.88888888888889
Netflix_dynomite-manager,10,15,102,41.17647058823529,76.47058823529412,88.23529411764704
Netflix_eureka,21,134,353,30.878186968838527,65.72237960339943,80.45325779036827
Netflix_frigga,11,24,63,28.57142857142857,53.96825396825396,77.77777777777777
Netflix_governator,18,38,226,27.43362831858407,68.58407079646018,80.97345132743364
Netflix_hollow,15,71,36,19.444444444444446,44.44444444444444,61.111111111111114
Netflix_iep,8,13,272,88.97058823529412,97.05882352941177,98.52941176470588
Netflix_lemur,37,147,547,21.389396709323584,55.21023765996344,72.94332723948813
Netflix_maestro,2,8,50,98.0,100.0,100.0
Netflix_mantis-gradle-plugin,7,8,17,35.294117647058826,76.47058823529412,88.23529411764704
Netflix_mantis-mql,6,6,17,41.17647058823529,76.47058823529412,94.11764705882352
Netflix_mantis,19,48,199,37.68844221105528,64.321608040201,75.87939698492463
Netflix_metacat,19,33,162,26.543209876543212,60.49382716049382,72.83950617283949
Netflix_metaflow-docs,5,30,27,48.148148148148145,92.5925925925926,100.00000000000001
Netflix_metaflow-nflx-extensions,2,6,6,66.66666666666666,99.99999999999999,99.99999999999999
Netflix_metaflow-service,15,23,109,36.69724770642202,66.97247706422019,83.4862385321101
Netflix_metaflow-ui,7,14,60,58.333333333333336,88.33333333333334,96.66666666666667
Netflix_metaflow,24,121,107,28.971962616822427,48.598130841121495,62.61682242990654
Netflix_msl,9,22,184,70.1086956521739,90.76086956521739,95.10869565217392
Netflix_netflix-commons,10,18,30,23.333333333333332,59.99999999999999,76.66666666666667
Netflix_nflx-geofeed,2,16,3,66.66666666666666,99.99999999999999,99.99999999999999
Netflix_photon,18,27,197,29.441624365482234,58.88324873096447,71.06598984771573
Netflix_q,4,5,34,61.76470588235294,97.05882352941177,100.0
Netflix_ribbon,18,51,198,29.292929292929294,71.21212121212122,82.82828282828284
Netflix_servo,16,43,270,27.77777777777778,70.37037037037038,85.18518518518519
Netflix_spectator-cpp,4,12,16,43.75,93.75,100.0
Netflix_spectator,24,51,832,92.90865384615384,95.91346153846153,96.87499999999999
Netflix_sureal,3,12,13,53.84615384615385,100.00000000000001,100.00000000000001
Netflix_ttal-dapt-conv,1,1,2,100.0,100.0,100.0
Netflix_vmaf,17,104,156,32.05128205128205,55.769230769230774,73.71794871794873
Netflix_x-element,6,8,128,67.1875,96.875,99.21875
Netflix_x-test,6,6,65,69.23076923076923,92.3076923076923,98.46153846153847
Netflix_zuul,36,82,330,25.151515151515152,48.18181818181819,62.72727272727273
