project_name,total_commits,top_contributor_commits,dominance,num_contributors
Netflix_EVCache,106,49,0.4623,44
Netflix_Hystrix,190,58,0.3053,142
Netflix_Priam,374,75,0.2005,60
Netflix_Raigad,119,62,0.521,15
Netflix_archaius,118,58,0.4915,31
Netflix_atlas-docs,76,37,0.4868,17
Netflix_atlas,461,403,0.8742,30
Netflix_awsobjectmapper,88,38,0.4318,24
Netflix_bettertls,27,25,0.9259,13
Netflix_bpftop,76,70,0.9211,15
Netflix_concurrency-limits,40,10,0.25,33
Netflix_dgs-codegen,156,41,0.2628,85
Netflix_dgs-examples-kotlin,27,12,0.4444,11
Netflix_dgs-framework,291,135,0.4639,102
Netflix_dgs-intellij-plugin,144,44,0.3056,19
Netflix_dgs,116,34,0.2931,65
Netflix_dyno-queues,45,17,0.3778,15
Netflix_dynomite-manager,102,42,0.4118,15
Netflix_eureka,353,109,0.3088,134
Netflix_frigga,63,18,0.2857,24
Netflix_governator,226,62,0.2743,38
Netflix_hollow,36,7,0.1944,71
Netflix_iep,272,242,0.8897,13
Netflix_lemur,547,117,0.2139,147
Netflix_maestro,50,49,0.98,8
Netflix_mantis-gradle-plugin,17,6,0.3529,8
Netflix_mantis-mql,17,7,0.4118,6
Netflix_mantis,199,75,0.3769,48
Netflix_metacat,162,43,0.2654,33
Netflix_metaflow-docs,27,13,0.4815,30
Netflix_metaflow-nflx-extensions,6,4,0.6667,6
Netflix_metaflow-service,109,40,0.367,23
Netflix_metaflow-ui,60,35,0.5833,14
Netflix_metaflow,107,31,0.2897,121
Netflix_msl,184,129,0.7011,22
Netflix_netflix-commons,30,7,0.2333,18
Netflix_nflx-geofeed,3,2,0.6667,16
Netflix_photon,197,58,0.2944,27
Netflix_q,34,21,0.6176,5
Netflix_ribbon,198,58,0.2929,51
Netflix_servo,270,75,0.2778,43
Netflix_spectator-cpp,16,7,0.4375,12
Netflix_spectator,832,773,0.9291,51
Netflix_sureal,13,7,0.5385,12
Netflix_ttal-dapt-conv,2,2,1.0,1
Netflix_vmaf,156,50,0.3205,104
Netflix_x-element,128,86,0.6719,8
Netflix_x-test,65,45,0.6923,6
Netflix_zuul,330,83,0.2515,82
