project_name,gini_all,gini_active
Netflix_EVCache,0.8135,0.6269
Netflix_Hystrix,0.9591,0.6942
Netflix_Priam,0.8526,0.6724
Netflix_Raigad,0.7832,0.5935
Netflix_archaius,0.8414,0.6723
Netflix_atlas-docs,0.8669,0.5474
Netflix_atlas,0.945,0.8349
Netflix_awsobjectmapper,0.8797,0.5877
Netflix_bettertls,0.906,0.5926
Netflix_bpftop,0.9053,0.7632
Netflix_concurrency-limits,0.8197,0.405
Netflix_dgs-codegen,0.929,0.6226
Netflix_dgs-examples-kotlin,0.5993,0.3704
Netflix_dgs-framework,0.9476,0.7945
Netflix_dgs-intellij-plugin,0.6937,0.6363
Netflix_dgs,0.9255,0.6273
Netflix_dyno-queues,0.7141,0.4639
Netflix_dynomite-manager,0.719,0.5784
Netflix_eureka,0.9558,0.7182
Netflix_frigga,0.7374,0.4271
Netflix_governator,0.8407,0.6637
Netflix_hollow,0.8654,0.363
Netflix_iep,0.888,0.818
Netflix_lemur,0.9381,0.7542
Netflix_maestro,0.87,0.48
Netflix_mantis-gradle-plugin,0.4632,0.3866
Netflix_mantis-mql,0.3627,0.3627
Netflix_mantis,0.8489,0.6184
Netflix_metacat,0.7744,0.6082
Netflix_metaflow-docs,0.9148,0.4889
Netflix_metaflow-nflx-extensions,0.7222,0.1667
Netflix_metaflow-service,0.7563,0.6263
Netflix_metaflow-ui,0.8024,0.6048
Netflix_metaflow,0.9126,0.5596
Netflix_msl,0.8913,0.7343
Netflix_netflix-commons,0.6519,0.3733
Netflix_nflx-geofeed,0.8958,0.1667
Netflix_photon,0.7178,0.5767
Netflix_q,0.6,0.5
Netflix_ribbon,0.8841,0.6717
Netflix_servo,0.8763,0.6676
Netflix_spectator-cpp,0.7812,0.3438
Netflix_spectator,0.9628,0.9209
Netflix_sureal,0.8269,0.3077
Netflix_ttal-dapt-conv,0.0,0.0
Netflix_vmaf,0.9347,0.6003
Netflix_x-element,0.7676,0.6901
Netflix_x-test,0.6385,0.6385
Netflix_zuul,0.8558,0.6715
