project_name,total_contributors,active_contributors,participation_rate
Netflix_EVCache,44,22,0.5
Netflix_Hystrix,142,19,0.1338
Netflix_Priam,60,27,0.45
Netflix_Raigad,15,8,0.5333
Netflix_archaius,31,15,0.4839
Netflix_atlas-docs,17,5,0.2941
Netflix_atlas,30,10,0.3333
Netflix_awsobjectmapper,24,7,0.2917
Netflix_bettertls,13,3,0.2308
Netflix_bpftop,15,6,0.4
Netflix_concurrency-limits,33,10,0.303
Netflix_dgs-codegen,85,16,0.1882
Netflix_dgs-examples-kotlin,11,7,0.6364
Netflix_dgs-framework,102,26,0.2549
Netflix_dgs-intellij-plugin,19,16,0.8421
Netflix_dgs,65,13,0.2
Netflix_dyno-queues,15,8,0.5333
Netflix_dynomite-manager,15,10,0.6667
Netflix_eureka,134,21,0.1567
Netflix_frigga,24,11,0.4583
Netflix_governator,38,18,0.4737
Netflix_hollow,71,15,0.2113
Netflix_iep,13,8,0.6154
Netflix_lemur,147,37,0.2517
Netflix_maestro,8,2,0.25
Netflix_mantis-gradle-plugin,8,7,0.875
Netflix_mantis-mql,6,6,1.0
Netflix_mantis,48,19,0.3958
Netflix_metacat,33,19,0.5758
Netflix_metaflow-docs,30,5,0.1667
Netflix_metaflow-nflx-extensions,6,2,0.3333
Netflix_metaflow-service,23,15,0.6522
Netflix_metaflow-ui,14,7,0.5
Netflix_metaflow,121,24,0.1983
Netflix_msl,22,9,0.4091
Netflix_netflix-commons,18,10,0.5556
Netflix_nflx-geofeed,16,2,0.125
Netflix_photon,27,18,0.6667
Netflix_q,5,4,0.8
Netflix_ribbon,51,18,0.3529
Netflix_servo,43,16,0.3721
Netflix_spectator-cpp,12,4,0.3333
Netflix_spectator,51,24,0.4706
Netflix_sureal,12,3,0.25
Netflix_ttal-dapt-conv,1,1,1.0
Netflix_vmaf,104,17,0.1635
Netflix_x-element,8,6,0.75
Netflix_x-test,6,6,1.0
Netflix_zuul,82,36,0.439
