project_name,total_technologies,orphaned_count,endangered_count,orphaned_rate,endangered_rate,at_risk_rate
Netflix_EVCache,6,0,0,0.0,0.0,0.0
Netflix_Hystrix,5,0,0,0.0,0.0,0.0
Netflix_Priam,7,1,0,0.1429,0.0,0.1429
Netflix_Raigad,5,0,0,0.0,0.0,0.0
Netflix_archaius,4,0,0,0.0,0.0,0.0
Netflix_atlas-docs,3,0,0,0.0,0.0,0.0
Netflix_atlas,3,1,0,0.3333,0.0,0.3333
Netflix_awsobjectmapper,4,0,0,0.0,0.0,0.0
Netflix_bettertls,2,1,0,0.5,0.0,0.5
Netflix_bpftop,6,0,0,0.0,0.0,0.0
Netflix_concurrency-limits,4,0,0,0.0,0.0,0.0
Netflix_dgs-codegen,4,0,0,0.0,0.0,0.0
Netflix_dgs-examples-kotlin,4,0,0,0.0,0.0,0.0
Netflix_dgs-framework,9,1,0,0.1111,0.0,0.1111
Netflix_dgs-intellij-plugin,4,0,0,0.0,0.0,0.0
Netflix_dgs,2,0,0,0.0,0.0,0.0
Netflix_dyno-queues,4,1,0,0.25,0.0,0.25
Netflix_dynomite-manager,6,1,0,0.1667,0.0,0.1667
Netflix_eureka,6,0,0,0.0,0.0,0.0
Netflix_frigga,4,0,0,0.0,0.0,0.0
Netflix_governator,4,1,0,0.25,0.0,0.25
Netflix_hollow,4,0,0,0.0,0.0,0.0
Netflix_iep,5,3,0,0.6,0.0,0.6
Netflix_lemur,12,0,0,0.0,0.0,0.0
Netflix_maestro,4,0,0,0.0,0.0,0.0
Netflix_mantis-gradle-plugin,3,0,0,0.0,0.0,0.0
Netflix_mantis-mql,7,0,0,0.0,0.0,0.0
Netflix_mantis,8,0,0,0.0,0.0,0.0
Netflix_metacat,6,0,0,0.0,0.0,0.0
Netflix_metaflow-docs,2,0,0,0.0,0.0,0.0
Netflix_metaflow-nflx-extensions,2,0,0,0.0,0.0,0.0
Netflix_metaflow-service,4,0,0,0.0,0.0,0.0
Netflix_metaflow-ui,5,0,0,0.0,0.0,0.0
Netflix_metaflow,6,0,0,0.0,0.0,0.0
Netflix_msl,4,0,0,0.0,0.0,0.0
Netflix_netflix-commons,3,1,0,0.3333,0.0,0.3333
Netflix_nflx-geofeed,1,0,0,0.0,0.0,0.0
Netflix_photon,6,0,0,0.0,0.0,0.0
Netflix_q,4,0,0,0.0,0.0,0.0
Netflix_ribbon,4,0,0,0.0,0.0,0.0
Netflix_servo,5,0,0,0.0,0.0,0.0
Netflix_spectator-cpp,3,0,0,0.0,0.0,0.0
Netflix_spectator,6,0,0,0.0,0.0,0.0
Netflix_sureal,2,0,0,0.0,0.0,0.0
Netflix_ttal-dapt-conv,1,1,0,1.0,0.0,1.0
Netflix_vmaf,8,0,0,0.0,0.0,0.0
Netflix_x-element,5,0,0,0.0,0.0,0.0
Netflix_x-test,5,0,0,0.0,0.0,0.0
Netflix_zuul,7,0,0,0.0,0.0,0.0
