technology,ground_truth,num_projects,avg_files_per_project,avg_options_set_total,avg_options_set_unique
bower,,1,1.0,46.0,46.0
cargo,113.0,1,1.0,22.0,22.0
cross,,1,1.0,4.0,4.0
cypress,49.0,2,2.0,107.5,98.5
deno,,1,1.0,14.0,14.0
dependabot,,10,1.0,8.0,5.3
docker,18.0,7,1.14,16.0,6.14
docker-compose,237.0,3,1.67,55.0,43.67
github,,6,2.17,14.17,8.83
github issues,,1,1.0,1.0,1.0
github-action,,45,2.87,80.24,31.78
gradle,24.0,13,1.23,5.85,5.77
gradle-wrapper,5.0,30,1.0,5.8,5.8
kafka,403.0,1,1.0,2.0,2.0
log4j,,7,3.0,17.57,7.71
mkdocs,,5,1.0,107.6,95.4
mypy,,1,1.0,2.0,2.0
nodejs,42.0,8,1.75,944.75,936.25
poetry,42.0,2,1.0,29.5,29.5
pre-commit,,3,1.0,27.33,8.0
readthedocs,,1,1.0,11.0,10.0
spring,1779.0,6,1.5,22.0,20.83
tox,,5,1.0,11.6,11.6
travis,269.0,1,1.0,5.0,5.0
tsconfig,129.0,2,1.5,11.0,10.5
