project,technologies
mantis-gradle-plugin,"['configparser', 'github-action', 'gradle-wrapper']"
archaius,"['github-action', 'gradle', 'gradle-wrapper']"
dgs-codegen,"['dependabot', 'docker', 'github', 'github-action', 'gradle-wrapper', 'yaml']"
Raigad,"['configparser', 'github-action', 'gradle', 'gradle-wrapper', 'log4j']"
sureal,"['json', 'tox', 'travis']"
EVCache,"['configparser', 'github-action', 'gradle', 'gradle-wrapper', 'log4j', 'mkdocs']"
dynomite-manager,"['configparser', 'github-action', 'gradle-wrapper', 'spring']"
governator,"['github-action', 'gradle', 'gradle-wrapper']"
mantis-mql,"['github-action', 'gradle-wrapper']"
zuul,"['dependabot', 'github-action', 'gradle', 'gradle-wrapper', 'spring']"
metaflow,"['cypress', 'github-action', 'json', 'nodejs', 'npm', 'pre-commit', 'tox', 'tsconfig']"
Priam,"['configparser', 'github-action', 'gradle-wrapper', 'log4j', 'yaml']"
metaflow-docs,"['configparser', 'github', 'github-action', 'json', 'npm']"
ttal-dapt-conv,"['nodejs', 'npm']"
Hystrix,"['github-action', 'gradle', 'gradle-wrapper', 'log4j']"
concurrency-limits,"['github-action', 'gradle', 'gradle-wrapper']"
dgs,"['github-action', 'mkdocs']"
metaflow-service,"['docker', 'docker-compose', 'github-action', 'json', 'tox']"
lemur,"['bower', 'configparser', 'dependabot', 'docker', 'docker-compose', 'github-action', 'mypy', 'npm', 'poetry', 'pre-commit', 'readthedocs', 'tox', 'yaml']"
msl,"['github-action', 'gradle-wrapper', 'npm']"
eureka,"['configparser', 'github-action', 'gradle', 'gradle-wrapper', 'kafka', 'log4j']"
vmaf,"['dependabot', 'docker', 'github-action', 'json', 'poetry', 'tox']"
bettertls,['github-action']
metaflow-nflx-extensions,"['github-action', 'pre-commit', 'yaml']"
x-test,"['github', 'json', 'nodejs', 'npm', 'tsconfig']"
dgs-intellij-plugin,"['configparser', 'dependabot', 'github-action', 'gradle', 'gradle-wrapper', 'yaml']"
spectator-cpp,['github-action']
q,"['configparser', 'github-action', 'gradle-wrapper', 'log4j']"
nflx-geofeed,['github-action']
dgs-framework,"['dependabot', 'github', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'spring', 'yaml']"
atlas-docs,"['github-action', 'mkdocs']"
awsobjectmapper,"['github-action', 'gradle', 'gradle-wrapper']"
servo,"['configparser', 'github-action', 'gradle', 'gradle-wrapper']"
maestro,"['docker-compose', 'github-action', 'gradle-wrapper', 'spring', 'yaml']"
atlas,"['configparser', 'dependabot', 'github-action']"
hollow,"['github-action', 'gradle-wrapper', 'mkdocs']"
metacat,"['configparser', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'spring']"
dgs-examples-kotlin,"['dependabot', 'github-action', 'gradle-wrapper', 'spring']"
iep,"['configparser', 'dependabot', 'github-action']"
mantis,"['configparser', 'docker', 'github', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'log4j', 'spring']"
bpftop,"['cargo', 'cross', 'dependabot', 'github-action']"
dyno-queues,"['configparser', 'github-action', 'gradle-wrapper']"
spectator,"['configparser', 'dependabot', 'github-action', 'gradle-wrapper']"
netflix-commons,"['github-action', 'gradle-wrapper']"
metaflow-ui,"['cypress', 'docker', 'github-action', 'json', 'npm', 'tsconfig']"
ribbon,"['configparser', 'github-action', 'gradle', 'gradle-wrapper']"
x-element,"['deno', 'github', 'nodejs', 'npm', 'tsconfig']"
photon,"['docker', 'github-action', 'gradle-wrapper']"
frigga,"['github-action', 'gradle', 'gradle-wrapper']"
