project,technologies
mantis-gradle-plugin,"['github-action', 'gradle-wrapper']"
archaius,"['github-action', 'gradle', 'gradle-wrapper']"
dgs-codegen,"['dependabot', 'docker', 'github', 'github-action', 'gradle-wrapper']"
Raigad,"['github-action', 'gradle', 'gradle-wrapper', 'log4j']"
sureal,"['tox', 'travis']"
EVCache,"['github-action', 'gradle', 'gradle-wrapper', 'log4j', 'mkdocs']"
dynomite-manager,"['github-action', 'gradle-wrapper', 'spring']"
governator,"['github-action', 'gradle', 'gradle-wrapper']"
mantis-mql,"['github-action', 'gradle-wrapper']"
zuul,"['dependabot', 'github-action', 'gradle', 'gradle-wrapper', 'spring']"
metaflow,"['cypress', 'github-action', 'nodejs', 'npm', 'pre-commit', 'tox', 'tsconfig']"
Priam,"['github-action', 'gradle-wrapper', 'log4j']"
metaflow-docs,"['github', 'github-action', 'npm']"
ttal-dapt-conv,"['nodejs', 'npm']"
Hystrix,"['github-action', 'gradle', 'gradle-wrapper', 'log4j']"
concurrency-limits,"['github-action', 'gradle', 'gradle-wrapper']"
dgs,"['github-action', 'mkdocs']"
metaflow-service,"['docker', 'docker-compose', 'github-action', 'tox']"
lemur,"['bower', 'dependabot', 'docker', 'docker-compose', 'github-action', 'mypy', 'npm', 'poetry', 'pre-commit', 'readthedocs', 'tox']"
msl,"['github-action', 'gradle-wrapper', 'npm']"
eureka,"['github-action', 'gradle', 'gradle-wrapper', 'kafka', 'log4j']"
vmaf,"['dependabot', 'docker', 'github-action', 'poetry', 'tox']"
metaflow-nflx-extensions,"['github-action', 'pre-commit']"
x-test,"['github', 'nodejs', 'npm', 'tsconfig']"
dgs-intellij-plugin,"['dependabot', 'github-action', 'gradle', 'gradle-wrapper']"
q,"['github-action', 'gradle-wrapper', 'log4j']"
dgs-framework,"['dependabot', 'github', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'spring']"
atlas-docs,"['github-action', 'mkdocs']"
awsobjectmapper,"['github-action', 'gradle', 'gradle-wrapper']"
servo,"['github-action', 'gradle', 'gradle-wrapper']"
maestro,"['docker-compose', 'github-action', 'gradle-wrapper', 'spring']"
atlas,"['dependabot', 'github-action']"
hollow,"['github-action', 'gradle-wrapper', 'mkdocs']"
metacat,"['github-action', 'gradle', 'gradle-wrapper', 'spring']"
dgs-examples-kotlin,"['dependabot', 'github-action', 'gradle-wrapper', 'spring']"
iep,"['dependabot', 'github-action']"
mantis,"['docker', 'github', 'github-action', 'gradle', 'gradle-wrapper', 'log4j', 'spring']"
bpftop,"['cargo', 'cross', 'dependabot', 'github-action']"
dyno-queues,"['github-action', 'gradle-wrapper']"
spectator,"['dependabot', 'github-action', 'gradle-wrapper']"
netflix-commons,"['github-action', 'gradle-wrapper']"
metaflow-ui,"['cypress', 'docker', 'github-action', 'npm', 'tsconfig']"
ribbon,"['github-action', 'gradle', 'gradle-wrapper']"
x-element,"['deno', 'github', 'nodejs', 'npm', 'tsconfig']"
photon,"['docker', 'github-action', 'gradle-wrapper']"
frigga,"['github-action', 'gradle', 'gradle-wrapper']"
