project,bower,cargo,cross,cypress,deno,dependabot,docker,docker-compose,github,github issues,github-action,gradle,gradle-wrapper,kafka,log4j,mkdocs,mypy,nodejs,poetry,pre-commit,readthedocs,spring,tox,travis,tsconfig
mantis-gradle-plugin,0,0,0,0,0,0,0,0,0,0,32,0,5,0,0,0,0,0,0,0,0,0,0,0,0
archaius,0,0,0,0,0,0,0,0,0,0,29,3,5,0,0,0,0,0,0,0,0,0,0,0,0
dgs-codegen,0,0,0,0,0,4,5,0,1,0,35,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Raigad,0,0,0,0,0,0,0,0,0,0,31,1,5,0,11,0,0,0,0,0,0,0,0,0,0
sureal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0
EVCache,0,0,0,0,0,0,0,0,0,0,31,2,5,0,7,7,0,0,0,0,0,0,0,0,0
dynomite-manager,0,0,0,0,0,0,0,0,0,0,31,0,5,0,0,0,0,0,0,0,0,0,0,0,0
governator,0,0,0,0,0,0,0,0,0,0,31,6,5,0,0,0,0,0,0,0,0,0,0,0,0
mantis-mql,0,0,0,0,0,0,0,0,0,0,32,0,5,0,0,0,0,0,0,0,0,0,0,0,0
zuul,0,0,0,0,0,4,0,0,0,0,54,8,7,0,0,0,0,0,0,0,0,22,0,0,0
metaflow,0,0,0,8,0,0,0,0,0,0,27,0,0,0,0,0,0,3882,0,8,0,0,3,0,16
Priam,0,0,0,0,0,0,0,0,0,0,31,0,5,0,11,0,0,0,0,0,0,0,0,0,0
metaflow-docs,0,0,0,0,0,0,0,0,17,0,20,0,0,0,0,0,0,35,0,0,0,0,0,0,0
ttal-dapt-conv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
Hystrix,0,0,0,0,0,0,0,0,0,0,31,0,5,0,5,0,0,0,0,0,0,0,0,0,0
concurrency-limits,0,0,0,0,0,0,0,0,0,0,30,0,7,0,0,0,0,0,0,0,0,0,0,0,0
dgs,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,60,0,0,0,0,0,0,0,0,0
metaflow-service,0,0,0,0,0,0,8,97,0,0,27,0,0,0,0,0,0,0,0,0,0,0,8,0,0
lemur,46,0,0,0,0,9,8,24,0,0,80,0,0,0,0,0,2,57,58,10,10,0,1,0,0
msl,0,0,0,0,0,0,0,0,0,0,31,0,5,0,0,0,0,27,0,0,0,0,0,0,0
eureka,0,0,0,0,0,0,0,0,0,0,31,4,5,2,5,0,0,0,0,0,0,0,0,0,0
vmaf,0,0,0,0,0,4,7,0,0,0,70,0,0,0,0,0,0,0,1,0,0,0,21,0,0
bettertls,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metaflow-nflx-extensions,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0
x-test,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1529,0,0,0,0,0,0,0
dgs-intellij-plugin,0,0,0,0,0,5,0,0,0,0,54,13,7,0,0,0,0,0,0,0,0,0,0,0,0
spectator-cpp,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q,0,0,0,0,0,0,0,0,0,0,31,0,5,0,10,0,0,0,0,0,0,0,0,0,0
nflx-geofeed,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dgs-framework,0,0,0,0,0,0,0,0,1,1,45,6,8,0,0,0,0,0,0,0,0,8,0,0,0
atlas-docs,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,302,0,0,0,0,0,0,0,0,0
awsobjectmapper,0,0,0,0,0,0,0,0,0,0,22,2,5,0,0,0,0,0,0,0,0,0,0,0,0
servo,0,0,0,0,0,0,0,0,0,0,26,3,5,0,0,0,0,0,0,0,0,0,0,0,0
maestro,0,0,0,0,0,0,0,10,0,0,9,0,7,0,0,0,0,0,0,0,0,77,0,0,0
