k,mean_ari,median_ari,std_ari,n_repeats_effective
3,0.6999078911449399,0.7988434227811655,0.24993439904065176,20
4,0.38071756174672977,0.3945369790500133,0.21731785092214292,20
5,0.3644940638531431,0.40354401902156045,0.1714233601044868,20
6,0.4002453299871904,0.4217517819294035,0.11569443049739797,20
7,0.3934997659846795,0.3966054603486404,0.18993308634426445,20
8,0.24393298209694758,0.25262589022586585,0.15283732569303035,20
9,0.3581919134322105,0.33948584475302257,0.1507291371053816,20
10,0.3508004717528212,0.3562029219544772,0.19634637209353803,20
11,0.36748533893913105,0.38899138307968467,0.2122864385751027,20
12,0.43808721118964994,0.2837489169157909,0.2534954984160133,20
13,0.5543708090484107,0.6767866607970517,0.24726976003999865,20
14,0.7434892051818901,0.7936860871366955,0.1527158969044458,20
15,0.7724417274558677,0.8182723789864461,0.14220149426455636,20
16,0.8198677000756126,0.8233987590062954,0.05023985488006955,20
17,0.8025156682746368,0.7996983419958144,0.034796593182538416,20
18,0.7979083042064478,0.8095308142207096,0.04347366919452552,20
19,0.8004027380912598,0.7989278261190522,0.03933368185941989,20
20,0.8034985915730648,0.8284466975014462,0.060758975564722595,20
21,0.7976551446886675,0.8027712225698699,0.040657176997923476,20
22,0.7970941476451696,0.802312947769606,0.04394114597067687,20
23,0.7980109067065326,0.7811369228735142,0.04978705797785764,20
24,0.7987245448484988,0.7912932695668748,0.04047903472685383,20
25,0.8082961860894253,0.7996662360865034,0.057996159759070624,20
26,0.8052522658904661,0.8134726252159609,0.0717705786077141,20
27,0.7838845488336984,0.8140743617606041,0.08042249706448362,20
28,0.7518973946034965,0.7497803981190847,0.08318829165217696,20
29,0.7348561139809654,0.7273880150623894,0.07907676846357309,20
30,0.7438893879862917,0.7495215199026501,0.0789126452187256,20
