project,cluster,num_options,num_files
subql,0,13,2
superset,0,282,3
gpt4free,0,26,3
mongo,0,19,1
MoneyPrinterTurbo,2,20,1
atuin,0,17,1
swoole-src,5,47,1
turborepo,2,26,3
agno,12,7,1
node,19,18,1
paperless-ngx,0,27,4
web-check,14,6,1
qinglong,9,6,1
umami,0,31,2
gopeed,9,9,1
strapi,0,19,1
typesense,4,34,1
agenticSeek,0,64,2
elasticsearch,5,254,4
dify,9,2,1
koodo-reader,3,15,2
php-src,3,8,1
dragonfly,4,69,2
dgraph,3,154,15
tabler,10,8,1
fish-speech,3,9,1
immich,8,105,4
vuetify,9,3,1
Scrapegraph-ai,3,6,1
node,4,40,1
socket.io,0,51,6
filament,0,6,1
label-studio,0,62,4
bulma,9,5,1
celery,5,26,1
LibreChat,2,56,3
sanic,2,4,1
MinerU,0,8,1
docker-elk,1,47,1
actual,3,19,3
Docker-OSX,5,12,1
openapi-generator,0,7,1
kafka,2,158,7
hono,9,9,1
airflow,9,19,6
freqtrade,9,12,3
kong,3,18,1
saleor,0,29,1
dashy,3,12,1
outline,17,9,1
ArchiveBox,9,30,1
mermaid,9,18,1
chatwoot,0,32,2
n8n,0,198,6
frigate,0,12,1
transformers,4,29,1
portainer,0,8,1
linera-protocol,4,65,2
LocalAI,4,27,1
etherpad-lite,3,32,2
llvm-project,9,33,1
sst,2,4,1
maybe,0,46,1
JeecgBoot,2,85,4
LLaMA-Factory,9,17,3
milvus,0,142,4
lo,0,5,1
loki,0,512,10
novu,1,182,5
Ventoy,2,4,1
autogen,0,6,1
bagisto,1,60,1
cal.com,3,109,3
gpt_academic,0,85,1
joplin,0,54,1
OpenHands,9,13,1
photoprism,3,59,1
changedetection.io,9,6,1
fuel-core,14,7,1
vitess,6,266,4
generator-jhipster,13,54,3
nginx-proxy-manager,9,148,2
nocodb,6,143,5
nginx-proxy,9,6,1
k3s,14,25,1
mem0,14,38,4
cloudreve,5,22,1
wekan,0,87,4
localstack,18,7,2
opentofu,3,7,2
jsoncrack.com,9,7,1
graphql,2,45,2
vulhub,0,619,299
posthog,0,571,6
YesPlayMusic,9,13,1
budibase,0,18,6
FastGPT,1,181,4
rembg,0,5,1
framework,0,19,1
tabby,3,19,1
excalidraw,3,10,1
semantic-kernel,3,7,1
teable,14,76,4
hackathon-starter,3,8,1
focalboard,0,8,1
LightRAG,12,10,1
neon,0,89,1
trilium,3,10,2
AppFlowy,0,10,1
twenty,0,50,1
Mobile-Security-Framework-MobSF,6,61,2
huginn,2,18,1
lazygit,0,5,1
RSSHub,1,29,1
TDengine,0,19,2
uptime-kuma,3,6,1
electron,0,7,1
FastChat,14,20,1
payload,0,33,12
seaweedfs,4,114,2
chroma,14,40,4
supabase,0,312,4
cube,0,195,25
cobalt,11,13,1
glances,14,10,1
directus,0,62,1
onlook,9,14,1
skywalking,1,87,1
statsd,2,14,1
invoke-ai_InvokeAI,9,64,1
wg-easy,9,26,2
AgentGPT,14,37,1
cypress,9,20,1
leptos,5,12,1
zellij,6,16,1
mall,1,81,2
tornado,9,10,1
prophet,0,5,1
Chat2DB,0,5,1
fastai,0,45,1
next-auth,0,30,3
ruoyi-vue-pro,0,35,1
tldraw,9,23,1
doomemacs,9,6,1
spring-cloud-alibaba,0,91,2
mlflow,0,80,2
pathway,1,94,8
go-redis,0,105,2
ntfy,9,8,1
envoy,9,73,1
NextChat,14,32,1
monica,1,82,1
metasploit-framework,16,33,3
khoj,8,40,1
lobe-chat,4,178,8
PDFMathTranslate,9,8,1
ccxt,9,5,1
pandas-ai,14,29,1
prefect,9,17,1
fabric,3,6,1
hoppscotch,9,109,2
locust,0,9,1
infisical,0,217,6
tesseract,9,1,1
druid,0,15,1
puter,3,15,1
kestra,0,44,3
chatgpt-on-wechat,9,17,1
beekeeper-studio,0,129,1
3x-ui,9,9,1
hyperswitch,4,295,2
k6,4,41,4
prisma,0,160,1
text-generation-webui,10,20,4
metabase,0,170,4
appsmith,0,9,2
hello-algo,0,12,3
plane,2,336,3
graphql-engine,4,207,4
crawl4ai,3,44,1
mindsdb,0,84,1
Flowise,15,106,2
anything-llm,9,15,1
detectron2,7,11,1
langflow,0,190,6
insightface,0,68,1
screenshot-to-code,14,10,1
gpt-researcher,9,42,1
sequelize,9,64,5
ai-hedge-fund,3,63,1
OCRmyPDF,10,9,1
typeorm,0,67,1
dub,3,23,1
wiki,0,31,2
traefik,6,37,5
AFFiNE,0,22,1
litellm,4,38,1
ente,9,6,1
