project,cluster,num_options,num_files
subql,10,13,2
superset,-1,282,3
gpt4free,11,26,3
mongo,10,19,1
MoneyPrinterTurbo,5,20,1
atuin,-1,17,1
swoole-src,-1,47,1
turborepo,10,26,3
agno,-1,7,1
node,-1,18,1
paperless-ngx,-1,27,4
web-check,4,6,1
qinglong,0,6,1
umami,6,31,2
gopeed,0,9,1
strapi,10,19,1
typesense,6,34,1
agenticSeek,-1,64,2
elasticsearch,8,254,4
dify,0,2,1
koodo-reader,12,15,2
php-src,12,8,1
dragonfly,6,69,2
dgraph,7,154,15
tabler,1,8,1
fish-speech,12,9,1
immich,-1,105,4
vuetify,0,3,1
Scrapegraph-ai,-1,6,1
node,-1,40,1
socket.io,10,51,6
filament,11,6,1
label-studio,-1,62,4
bulma,0,5,1
celery,-1,26,1
LibreChat,-1,56,3
sanic,5,4,1
MinerU,11,8,1
docker-elk,-1,47,1
actual,12,19,3
Docker-OSX,-1,12,1
openapi-generator,11,7,1
kafka,5,158,7
hono,0,9,1
airflow,0,19,6
freqtrade,0,12,3
kong,12,18,1
saleor,-1,29,1
dashy,12,12,1
outline,-1,9,1
ArchiveBox,0,30,1
mermaid,0,18,1
chatwoot,9,32,2
n8n,-1,198,6
frigate,0,12,1
transformers,6,29,1
portainer,11,8,1
linera-protocol,6,65,2
LocalAI,6,27,1
etherpad-lite,-1,32,2
llvm-project,0,33,1
sst,-1,4,1
maybe,9,46,1
JeecgBoot,5,85,4
LLaMA-Factory,0,17,3
milvus,6,142,4
lo,-1,5,1
loki,-1,512,10
novu,-1,182,5
Ventoy,5,4,1
autogen,11,6,1
bagisto,-1,60,1
cal.com,-1,109,3
gpt_academic,11,85,1
joplin,9,54,1
OpenHands,0,13,1
photoprism,7,59,1
changedetection.io,0,6,1
fuel-core,4,7,1
vitess,-1,266,4
generator-jhipster,0,54,3
nginx-proxy-manager,0,148,2
nocodb,-1,143,5
nginx-proxy,0,6,1
k3s,-1,25,1
mem0,3,38,4
cloudreve,-1,22,1
wekan,-1,87,4
localstack,-1,7,2
opentofu,12,7,2
jsoncrack.com,0,7,1
graphql,-1,45,2
vulhub,-1,619,299
posthog,-1,571,6
YesPlayMusic,0,13,1
budibase,-1,18,6
FastGPT,-1,181,4
rembg,11,5,1
framework,10,19,1
tabby,7,19,1
excalidraw,12,10,1
semantic-kernel,12,7,1
teable,4,76,4
hackathon-starter,8,8,1
focalboard,11,8,1
LightRAG,0,10,1
neon,6,89,1
trilium,12,10,2
AppFlowy,12,10,1
twenty,6,50,1
Mobile-Security-Framework-MobSF,-1,61,2
huginn,-1,18,1
lazygit,-1,5,1
RSSHub,-1,29,1
TDengine,8,19,2
uptime-kuma,12,6,1
electron,11,7,1
FastChat,4,20,1
payload,10,33,12
seaweedfs,6,114,2
chroma,-1,40,4
supabase,10,312,4
cube,10,195,25
cobalt,0,13,1
glances,4,10,1
directus,-1,62,1
onlook,0,14,1
skywalking,-1,87,1
statsd,5,14,1
invoke-ai_InvokeAI,0,64,1
wg-easy,0,26,2
AgentGPT,3,37,1
cypress,0,20,1
leptos,8,12,1
zellij,-1,16,1
mall,-1,81,2
tornado,0,10,1
prophet,11,5,1
Chat2DB,11,5,1
fastai,11,45,1
next-auth,-1,30,3
ruoyi-vue-pro,-1,35,1
tldraw,0,23,1
doomemacs,0,6,1
spring-cloud-alibaba,10,91,2
mlflow,-1,80,2
pathway,-1,94,8
go-redis,-1,105,2
ntfy,0,8,1
envoy,0,73,1
NextChat,4,32,1
monica,-1,82,1
metasploit-framework,-1,33,3
khoj,0,40,1
lobe-chat,6,178,8
PDFMathTranslate,0,8,1
ccxt,0,5,1
pandas-ai,-1,29,1
prefect,0,17,1
fabric,12,6,1
hoppscotch,0,109,2
locust,11,9,1
infisical,-1,217,6
tesseract,0,1,1
druid,10,15,1
puter,12,15,1
kestra,10,44,3
chatgpt-on-wechat,0,17,1
beekeeper-studio,-1,129,1
3x-ui,0,9,1
hyperswitch,6,295,2
k6,6,41,4
prisma,-1,160,1
text-generation-webui,1,20,4
metabase,-1,170,4
appsmith,11,9,2
hello-algo,12,12,3
plane,2,336,3
graphql-engine,-1,207,4
crawl4ai,12,44,1
mindsdb,-1,84,1
Flowise,-1,106,2
anything-llm,0,15,1
detectron2,-1,11,1
langflow,-1,190,6
insightface,11,68,1
screenshot-to-code,3,10,1
gpt-researcher,0,42,1
sequelize,0,64,5
ai-hedge-fund,2,63,1
OCRmyPDF,1,9,1
typeorm,10,67,1
dub,6,23,1
wiki,-1,31,2
traefik,2,37,5
AFFiNE,-1,22,1
litellm,6,38,1
ente,0,6,1
