cluster_id,num_projects,top_options
0,66,version=3:40; services.postgres.ports.container=5432:18; services.postgres.ports.host=5432:17; services.redis.ports.container=6379:15; services.redis.ports.host=6379:14; services.db.restart=unless-stopped:12; services.mysql.ports.container=3306:11; services.mysql.ports.host=3306:10; services.postgres.healthcheck.test=CMD-SHELL:9; version=3.8:9
1,9,services.redis.healthcheck.test=CMD:5; services.elasticsearch.ports.host=9200:5; services.elasticsearch.ports.container=9200:5; services.elasticsearch.environment.discovery.type=single-node:5; services.redis.healthcheck.test=ping:5; services.redis.healthcheck.test=redis-cli:5; services.redis.image=redis:alpine:4; services.kibana.ports.host=5601:3; services.kibana.depends_on=elasticsearch:3; services.redis.container_name=redis:3
2,12,version=2:6; services.api.build.context=.:4; services.api.restart=always:4; services.web.restart=always:3; services.web.build.context=.:3; services.mysql.restart=always:2; services.web.ports.host=3000:2; services.web.ports.container=3000:2; services.api.build.dockerfile=./Dockerfile:2; services.api.container_name=api:2
3,23,version=3.8:18; version=3.5:3; services.mailhog.ports.container=8025:2; services.web.ports.host=8080:2; services.mailhog.image=mailhog/mailhog:latest:2; services.mailhog.ports.container=1025:2; services.mailhog.ports.host=1025:2; services.mailhog.ports.host=8025:2; services.postgres.restart=always:2; services.ollama.ports=11434:11434:2
4,12,services.prometheus.command.--config.file=/etc/prometheus/prometheus.yml:8; services.grafana.ports.container=3000:8; services.grafana.ports.host=3000:8; services.prometheus.ports.container=9090:7; services.prometheus.ports.host=9090:7; services.prometheus.volumes=prometheus_data:/prometheus:6; services.grafana.volumes=grafana_data:/var/lib/grafana:5; services.grafana.environment.GF_AUTH_ANONYMOUS_ENABLED=true:5; services.grafana.environment.GF_AUTH_ANONYMOUS_ORG_ROLE=Admin:5; services.prometheus.volumes=./prometheus.yml:/etc/prometheus/prometheus.yml:4
5,6,services.redis.image=redis:latest:3; version=3.4:3; services.redis.container_name=redis:2; version=3.7:2; services.redis.volumes=redis_data:/data:1; version=2.2:1; services.mysql.container_name=mysql:1; services.oracle.ports.container=1521:1; services.mysql.environment.MYSQL_DATABASE=test:1; services.oracle.ports.host=1521:1
6,5,version=2.1:3; services.traefik.command.--providers.docker.exposedbydefault=false:2; services.traefik.command.--providers.docker=true:2; services.traefik.volumes=/var/run/docker.sock:/var/run/docker.sock:ro:2; services.traefik.ports=80:80:2; services.postgres.environment.POSTGRES_USER=postgres:2; services.postgres.environment.POSTGRES_PASSWORD=password:2; services.traefik.ports=443:443:2; services.traefik.container_name=traefik:2; services.traefik.ports.host=8080:1
7,1,version=2.3:1
8,2,services.database.environment.POSTGRES_PASSWORD=postgres:2; services.database.healthcheck.test=CMD-SHELL:2; services.database.environment.POSTGRES_USER=postgres:2; services.redis.restart=always:1; services.database.restart=always:1
9,38,
10,3,version=3.3:3
11,1,services.watchtower.volumes=/var/run/docker.sock:/var/run/docker.sock:1
12,2,services.lightrag.container_name=lightrag:2; services.lightrag.env_file=.env:2; services.lightrag.extra_hosts=host.docker.internal:host-gateway:2; services.lightrag.image=ghcr.io/hkuds/lightrag:latest:2; services.lightrag.ports=${PORT:-9621}:9621:2; services.lightrag.restart=unless-stopped:2; services.lightrag.volumes=./.env:/app/.env:2; services.lightrag.volumes=./config.ini:/app/config.ini:2; services.lightrag.volumes=./data/inputs:/app/data/inputs:2; services.lightrag.volumes=./data/rag_storage:/app/data/rag_storage:2
13,1,concurrency.cancel-in-progress=true:1
14,12,version=3.9:10; services.frontend.build.dockerfile=Dockerfile:3; services.server.build.dockerfile=Dockerfile:2; services.server.restart=always:2; services.frontend.ports.container=3000:2; services.frontend.ports.host=3000:2; services.backend.build.dockerfile=Dockerfile:2; services.server.ports.host=8000:2; services.server.ports.container=8000:2; services.backend.env_file=.env:1
15,1,version=3.1:1
16,1,services.db.environment.POSTGRES_HOST_AUTH_METHOD=trust:1; services.mysql.environment.MYSQL_ROOT_PASSWORD=root:1; services.nginx.depends_on=php:1; volumes.pg_data.driver=local:1; services.mysql.restart=unless-stopped:1; services.nginx.ports=8080:80:1; services.db.volumes=pg_data:/var/lib/postgresql/data:1; services.mysql.image=mysql:5.7:1
17,1,services.postgres.image=postgres:1; services.postgres.environment.POSTGRES_PASSWORD=pass:1; services.redis.ports=127.0.0.1:6379:6379:1; services.postgres.environment.POSTGRES_USER=user:1; services.redis.image=redis:1
18,1,services.localstack.ports=127.0.0.1:4566:4566:1; services.localstack.ports=127.0.0.1:4510-4559:4510-4559:1; services.localstack.volumes=/var/run/docker.sock:/var/run/docker.sock:1; services.localstack.environment.DEBUG=${DEBUG:-0}:1; services.localstack.container_name=${LOCALSTACK_DOCKER_NAME:-localstack-main}:1; services.localstack.image=localstack/localstack:1
19,1,services.node.build.context=.:1
