cluster_id,num_projects,top_options
-1,64,version=3:13; services.postgres.ports.container=5432:11; services.redis.ports.container=6379:11; version=3.8:10; services.redis.ports.host=6379:10; services.db.restart=unless-stopped:9; services.postgres.ports.host=5432:9; services.redis.healthcheck.test=redis-cli:8; services.redis.healthcheck.test=ping:8; services.redis.healthcheck.test=CMD:8
0,43,concurrency.cancel-in-progress=true:1; services.lightrag.env_file=.env:1; services.devcontainer.build.context=.:1; services.database.healthcheck.test=CMD-SHELL:1; services.database.environment.POSTGRES_USER=postgres:1; services.database.environment.POSTGRES_PASSWORD=postgres:1; services.lightrag.volumes=./data/rag_storage:/app/data/rag_storage:1; services.lightrag.volumes=./data/inputs:/app/data/inputs:1; services.lightrag.volumes=./config.ini:/app/config.ini:1; services.lightrag.volumes=./.env:/app/.env:1
1,3,version=3.3:3
2,3,services.traefik.ports.host=8080:1; services.traefik.command.--providers.docker.exposedbydefault=false:1; services.web.build.context=.:1; services.ollama.container_name=ollama:1; services.traefik.volumes=/var/run/docker.sock:/var/run/docker.sock:ro:1; services.web.restart=always:1; services.traefik.ports=80:80:1; services.worker.restart=always:1; services.worker.restart=unless-stopped:1; services.traefik.ports=443:443:1
3,3,version=3.9:3; services.frontend.build.dockerfile=Dockerfile:3; services.frontend.ports.container=3000:2; services.frontend.ports.host=3000:2; services.backend.build.dockerfile=Dockerfile:2; services.backend.restart=unless-stopped:1; services.backend.build.context=.:1; services.backend.build.context=./backend:1; services.backend.env_file=.env:1; services.frontend.depends_on=backend:1
4,6,version=3.9:6
5,6,version=2:5; services.api.restart=always:1; services.api.build.context=.:1; services.kafka-1.container_name=kafka-1:1; services.kafka-2.container_name=kafka-2:1; services.api.build.dockerfile=Dockerfile:1; services.kafka-3.container_name=kafka-3:1; services.api.ports.container=8080:1; services.api.ports.host=8080:1; services.broker.container_name=broker:1
6,15,services.grafana.ports.host=3000:8; services.grafana.ports.container=3000:8; services.prometheus.command.--config.file=/etc/prometheus/prometheus.yml:7; services.prometheus.ports.host=9090:7; services.prometheus.ports.container=9090:7; version=3.8:5; services.grafana.environment.GF_AUTH_ANONYMOUS_ORG_ROLE=Admin:5; services.grafana.environment.GF_AUTH_ANONYMOUS_ENABLED=true:5; services.prometheus.volumes=prometheus_data:/prometheus:4; services.prometheus.volumes=./prometheus.yml:/etc/prometheus/prometheus.yml:4
7,3,version=3.5:3; services.mariadb.restart=unless-stopped:1; services.jaeger.ports=14268:1; services.minio.image=minio/minio:latest:1; services.web.ports.host=8080:1; services.web.ports.container=8080:1
8,4,version=3.7:3; services.web.ports.container=8080:1; services.prometheus.ports.container=9090:1; services.web.build=.:1; services.mongo.image=mongo:1; version=2.2:1; version=3:1; services.prometheus.volumes=./prometheus/:/etc/prometheus/:1; services.prometheus.image=prom/prometheus:1; services.prometheus.ports.host=9090:1
9,3,services.db.restart=unless-stopped:3; services.app.depends_on=db:2; services.app.build.dockerfile=.devcontainer/Dockerfile:2; services.app.build.context=..:2; services.db.ports.container=5432:2; services.app.volumes=..:/workspace:cached:2; services.db.ports.host=5432:2; services.app.command=sleep infinity:2; services.redis.image=redis:latest:2; services.db.volumes=postgres-data:/var/lib/postgresql/data:2
10,13,version=3:10; services.postgres.ports.host=5432:9; services.postgres.ports.container=5432:9; services.mysql.ports.host=3306:7; services.mysql.ports.container=3306:7; services.mysql.restart=always:5; services.postgres.restart=always:4; services.postgres.image=postgres:4; services.redis.ports.host=6379:4; services.redis.ports.container=6379:4
11,16,version=3:16; services.app.build=.:1; services.devcontainer.build.context=.:1
12,16,version=3.8:15; version=3:2; services.db.image=postgres:9.6:1; services.app.stdin_open=true:1
