project,cluster,num_options,num_files
AdGuardHome,0,9,1
croc,0,8,1
subql,0,9,3
syncthing,0,9,1
superset,0,9,3
gpt4free,0,9,1
vue-pure-admin,0,6,1
mongo,0,9,13
node,0,5,2
MoneyPrinterTurbo,0,7,1
shardeum,0,7,1
halo,0,8,2
atuin,0,7,1
swoole-src,0,5,1
jenkins,1,3,1
goreplay,0,5,1
nuxt,1,2,1
faiss,0,2,1
turborepo,0,8,4
voice-changer,0,8,3
PHPMailer,0,4,1
recommenders,0,9,1
gitea,0,10,1
harbor,0,12,18
node,0,6,3
zulip,0,6,2
paperless-ngx,0,9,2
github1s,0,4,1
next.js,0,9,5
platform,0,7,35
typst,0,6,1
backstage,0,10,6
ghostty,0,5,1
firecracker,0,7,1
dive,1,5,1
pandas,0,8,2
fzf,0,5,1
web-check,0,7,1
ILSpy,0,5,1
cilium,0,10,17
etcd,0,6,1
jq,0,6,1
codex,0,7,2
qinglong,0,9,1
slim,0,7,2
tailscale,0,6,1
aspnetcore,1,3,1
chakra-ui,0,5,1
vault,0,11,4
faas,0,9,1
flash-attention,0,5,2
umami,0,9,1
spotube,0,6,1
gopeed,0,9,1
ingress-nginx,0,10,10
arthas,1,5,1
typesense,0,6,1
agenticSeek,0,5,1
nuclei,0,5,1
elasticsearch,0,10,4
spacedrive,0,10,1
shellcheck,0,7,7
homepage,0,9,2
puppeteer,0,5,1
certbot,0,8,1
zstd,0,4,1
dify,0,9,4
koodo-reader,0,8,1
gogs,0,8,1
linux-command,1,2,1
composio,0,6,1
dgraph,0,9,4
ruby,0,3,1
tabler,0,6,1
windows,0,9,1
Qwen,0,7,2
docs,0,7,1
immich,0,11,3
vuetify,1,2,1
sing-box,0,7,1
Scrapegraph-ai,0,2,1
Ghost,0,8,2
CyberChef,0,5,1
guzzle,1,4,1
ionic-framework,1,2,1
socket.io,0,6,7
filament,0,8,4
drawdb,0,7,1
react-native-vector-icons,0,4,1
conductor,0,8,3
label-studio,0,11,1
rails,1,5,1
czkawka,0,3,1
celery,0,8,2
LibreChat,0,8,2
sanic,0,6,2
DeepSpeed,0,4,2
gin-vue-admin,0,7,3
spaCy,0,5,1
MinerU,0,8,3
docker-elk,0,6,9
tauri,1,3,1
wagtail,0,8,1
FiraCode,0,3,1
google-research,0,8,9
wasmer,0,4,2
tdesktop,0,8,1
tensorflow,0,6,5
antlr4,0,6,1
actual,0,4,1
ImHex,0,6,3
yolov5,0,6,2
Docker-OSX,0,8,3
act,0,6,1
swagger-ui,0,5,1
harness,0,9,1
openapi-generator,0,14,40
kafka,0,10,3
rocksdb,0,5,2
windows95,0,4,1
rancher,0,8,1
hono,0,4,1
airflow,0,10,20
prometheus,0,10,1
freqtrade,0,9,2
kong,0,8,2
saleor,0,8,2
mkdocs-material,0,9,1
dashy,0,8,1
outline,0,10,1
gitleaks,0,5,1
moby,0,12,14
void,0,5,1
streamlit,0,3,1
filebrowser,0,8,2
brew,0,7,1
ArchiveBox,0,11,1
mermaid,0,5,1
bit,0,4,2
chatwoot,0,7,2
n8n,0,11,5
canal,0,8,3
frigate,0,12,4
transformers,0,9,10
graal,0,6,2
portainer,0,8,2
linera-protocol,0,4,1
OpenManus,0,5,1
LocalAI,0,9,2
PowerShell,0,3,1
etherpad-lite,0,9,1
colima,0,2,1
llvm-project,0,11,11
sst,0,13,46
rustdesk,0,8,1
maybe,0,10,2
JeecgBoot,0,9,9
LLaMA-Factory,0,7,3
minio,0,6,1
LLMs-from-scratch,0,5,1
incubator-seata,1,5,2
