project,cluster,num_options,num_files
AdGuardHome,-1,61,3
croc,-1,48,5
haystack,-1,201,19
subql,-1,249,8
termux-app,35,36,5
immutable-js,-1,86,3
bevy,-1,521,13
redis,-1,465,10
superset,-1,832,41
gpt4free,-1,53,3
vue-pure-admin,35,32,2
mongo,-1,35,5
node,55,564,32
typescript-go,-1,119,3
spdlog,-1,39,4
layui,-1,58,7
shardeum,35,50,2
egg,-1,37,10
uBlock,-1,19,1
caddy,47,160,6
atuin,0,173,7
swoole-src,29,100,7
jenkins,-1,154,6
goreplay,-1,18,2
nuxt,-1,321,22
mlx,-1,6,1
v2rayNG,47,34,2
grapesjs,36,27,5
faiss,-1,284,8
desktop,-1,398,12
modular,52,43,3
storybook,-1,239,10
commitlint,52,68,4
turborepo,-1,276,13
aseprite,-1,65,7
voice-changer,41,12,1
dotenv,56,10,1
PHPMailer,55,20,1
agno,-1,69,4
recommenders,-1,87,6
unocss,38,59,5
spleeter,6,56,3
keepassxc,57,26,2
gitea,-1,266,9
harbor,17,137,7
table,-1,41,3
echarts,25,134,8
node,-1,146,3
dspy,19,63,3
swc,23,552,13
zulip,16,157,5
hashcat,38,73,2
nx,23,462,12
Avalonia,41,9,1
paperless-ngx,-1,335,8
github1s,56,18,2
next.js,-1,537,21
Seal,-1,35,4
django-rest-framework,-1,32,3
platform,17,224,1
PowerToys,32,99,4
typst,26,122,4
backstage,-1,472,37
uWebSockets,57,38,2
ghostty,-1,276,8
winget-cli,32,58,6
react-three-fiber,52,21,1
react,-1,389,20
python-fire,-1,14,1
cobra,35,8,1
cheerio,-1,72,6
firecracker,-1,17,4
textual,-1,49,5
codemirror5,53,8,1
preact,19,165,7
react-native,-1,409,20
gin,-1,51,3
NewPipe,16,88,5
LunarVim,46,60,4
pandas,-1,206,10
fzf,-1,41,6
web-check,-1,87,4
ILSpy,55,78,6
headscale,-1,99,6
etcd,55,29,2
jq,-1,150,6
codex,-1,127,6
qinglong,33,92,1
slim,-1,28,3
tailscale,-1,128,11
serverless,41,31,2
aspnetcore,-1,270,15
surya,41,29,5
jitsi-meet,-1,80,3
chakra-ui,-1,65,3
babel,27,474,8
PhotoSwipe,-1,11,1
duckdb,-1,1353,33
vault,-1,585,19
fairseq,35,72,3
html5-boilerplate,-1,54,5
whisper.cpp,-1,321,6
faas,2,38,2
prettier,-1,103,12
yjs,56,10,1
xgboost,55,244,11
trix,-1,23,1
flash-attention,9,51,1
umami,33,69,5
quivr,-1,38,3
spotube,-1,146,4
gopeed,-1,158,2
cline,-1,84,4
strapi,-1,165,16
semantic-release,55,31,2
ingress-nginx,55,39,3
arthas,57,65,2
deskflow,-1,191,6
ohmyzsh,-1,65,4
rocketmq,-1,341,9
onnx,-1,379,23
editor.js,-1,99,5
micropython,-1,242,28
lvgl,-1,266,22
zoxide,7,67,4
elasticsearch,50,31,4
requests,-1,75,5
spacedrive,-1,188,5
shellcheck,-1,45,1
ui,-1,109,5
homepage,33,122,5
fmt,-1,84,7
btop,-1,90,10
puppeteer,-1,453,10
WSL,19,39,7
fuels-ts,57,39,3
QuickLook,-1,27,1
casbin,16,44,3
certbot,-1,15,1
rrweb,-1,84,3
zstd,-1,89,7
fd,5,66,1
monolog,-1,68,3
PicGo,-1,18,2
dify,26,218,10
koodo-reader,33,40,3
php-src,-1,429,11
gogs,-1,189,5
linux-command,54,40,1
dragonfly,-1,217,7
composio,40,148,10
dgraph,-1,88,6
classnames,-1,39,2
meteor,-1,66,12
zxing,57,11,1
kitty,-1,83,2
ruby,55,617,29
DeepSpeech,-1,14,2
tabler,-1,77,6
bokeh,-1,159,7
beego,-1,26,4
windows,33,58,3
Qwen,-1,14,1
git-extras,24,48,1
fish-speech,46,45,3
TrafficMonitor,54,29,1
Chart.js,-1,86,5
immich,-1,460,19
rollup,-1,82,3
vuetify,-1,158,7
sing-box,26,182,5
biome,-1,418,17
v2rayN,-1,33,6
frp,19,59,4
Scrapegraph-ai,-1,56,4
node,-1,11,1
Ghost,33,553,7
maui,-1,132,13
xyflow,-1,21,2
CyberChef,57,50,4
guzzle,2,70,3
ionic-framework,-1,322,11
socket.io,36,44,4
filament,-1,1066,61
drawdb,52,23,2
Bilibili-Evolved,-1,20,2
react-native-vector-icons,-1,9,1
conductor,-1,59,4
label-studio,-1,1048,52
vueuse,-1,47,3
gorm,-1,47,6
ungoogled-chromium,-1,37,3
bulma,-1,8,1
rails,49,44,4
czkawka,-1,150,4
celery,57,114,5
LibreChat,-1,244,21
sanic,-1,66,3
hey,45,6,1
DeepSpeed,1,82,24
spaCy,9,102,7
axum,-1,89,1
Sunshine,-1,332,18
MinerU,41,83,5
axios,-1,139,10
docker-elk,-1,77,5
tauri,23,350,19
wagtail,57,13,1
shadPS4,-1,164,2
1Panel,19,69,8
FiraCode,42,10,1
wasmer,30,138,1
tdesktop,2,153,16
tensorflow,-1,285,31
gradio,15,306,17
antlr4,16,59,1
vnpy,19,7,1
phoenix,-1,66,2
vant,57,38,4
actual,-1,312,22
ImHex,-1,294,4
netbox,15,71,5
lossless-cut,-1,34,1
pnpm,-1,50,4
yolov5,-1,86,6
Docker-OSX,54,10,1
taro,23,188,8
act,-1,97,5
AdminLTE,-1,57,6
swagger-ui,-1,157,10
jan,-1,288,11
jquery,-1,85,7
harness,54,20,1
openapi-generator,-1,77,86
kafka,-1,409,16
rocksdb,53,299,5
jsdom,-1,28,1
cli,16,30,2
element-plus,-1,264,19
sqlitebrowser,-1,117,6
windows95,-1,43,1
neovim,-1,224,17
rancher,-1,295,15
angular-cli,48,172,8
hono,-1,136,5
webtorrent,-1,54,5
airflow,-1,1482,18
prometheus,-1,281,12
telescope.nvim,6,48,4
freqtrade,-1,259,8
Rectangle,47,18,1
draggable,-1,58,5
kong,-1,451,22
saleor,-1,121,10
coc.nvim,-1,52,3
pydantic,-1,416,10
mjml,56,15,2
bruno,-1,20,1
mkdocs-material,-1,71,2
dashy,-1,225,17
outline,-1,193,7
gitleaks,58,26,2
Jobs_Applier_AI_Agent_AIHawk,-1,29,2
gson,-1,77,5
calculator,-1,48,1
moby,-1,499,13
docusaurus,-1,131,11
void,-1,10,1
streamlit,-1,401,20
filebrowser,6,19,2
ice,-1,92,5
brew,-1,399,16
webpack,35,23,2
AnotherRedisDesktopManager,-1,24,4
slidev,38,60,4
tiptap,-1,77,3
Leaflet,-1,89,1
apollo-client,-1,249,17
ArchiveBox,-1,66,8
cursor-free-vip,-1,85,1
parcel,-1,167,6
mermaid,-1,265,19
osquery,19,185,4
json-server,-1,20,2
disruptor,57,43,7
postiz-app,-1,96,7
iced,-1,55,6
crewAI,-1,48,5
chatwoot,26,123,14
react-navigation,-1,153,14
n8n,-1,752,30
fingerprintjs,57,56,4
scrapy,-1,25,2
frigate,-1,180,4
transformers,1,973,37
graal,6,181,7
linera-protocol,-1,271,10
shap,-1,99,4
actix-web,30,105,5
three.js,-1,98,4
spring-boot,-1,244,9
LocalAI,-1,292,10
PowerShell,55,214,6
heroui,-1,14,1
video.js,-1,80,4
keras,55,61,3
yazi,-1,143,7
etherpad-lite,-1,130,8
Karabiner-Elements,-1,7,1
Bend,-1,32,1
colima,6,92,3
llvm-project,-1,572,35
sst,-1,62,3
pyscript,-1,66,4
rustdesk,5,505,11
fastify,-1,315,19
maybe,33,89,3
flutter,-1,95,10
LLaMA-Factory,19,42,3
lexical,17,105,8
lerna,40,118,4
minio,24,57,12
LLMs-from-scratch,-1,18,3
incubator-seata,-1,98,6
vapor,-1,29,2
magic-wormhole,43,15,2
components,48,198,13
ish,6,54,4
milvus,-1,24,2
lo,-1,20,2
loki,-1,1282,30
novu,-1,938,35
nnn,57,45,3
dbeaver,57,33,2
Ventoy,-1,20,2
laravel-debugbar,45,9,1
source-code-hunter,52,30,2
UTM,-1,210,2
Rocket,37,30,1
zustand,52,39,4
autogen,-1,360,10
llama.cpp,-1,544,14
bagisto,54,12,1
query,-1,52,4
luigi,57,68,2
graphrag,-1,88,6
setup,54,6,1
create-t3-app,-1,138,7
react-hook-form,57,31,5
TypeScript,-1,204,9
monaco-editor,-1,14,1
everyone-can-use-english,-1,58,10
fasthttp,-1,31,3
cal.com,-1,588,43
Stirling-PDF,-1,456,19
serenity,-1,199,11
unleashed-firmware,57,47,2
gpt_academic,58,36,8
v86,17,43,1
vllm,-1,60,6
ionicons,-1,59,4
guidance,-1,191,10
rust,8,660,41
react-scan,-1,14,1
amis,57,40,4
ToolJet,-1,794,22
setup-ipsec-vpn,30,21,4
joplin,41,94,8
srs,-1,127,2
OpenHands,-1,390,12
nginx,54,4,2
darkreader,35,18,1
ava,-1,84,2
photoprism,57,12,1
spacemacs,-1,28,2
bubbletea,14,55,7
discord.js,-1,142,11
Tasmota,-1,297,16
union,-1,210,12
chi,-1,17,1
remix,-1,306,13
Mindustry,50,30,4
go-zero,57,58,5
firefly-iii,-1,113,10
v,-1,637,43
changedetection.io,-1,66,3
fuel-core,8,372,10
CopilotKit,-1,233,12
distroless,55,30,4
whisper,-1,14,1
vitess,-1,231,82
express,55,69,4
homebridge,-1,39,9
docling,37,108,8
generator-jhipster,-1,346,24
decap-cms,16,59,4
trufflehog,-1,78,6
x64dbg,34,26,1
Hyprland,-1,88,7
yt-dlp,-1,344,9
appium,-1,103,12
elixir,-1,173,4
nginx-proxy-manager,-1,13,1
zed,-1,520,19
nocodb,-1,507,27
nginx-proxy,-1,43,3
MediaCrawler,52,23,1
sweetalert2,44,19,3
k3s,55,165,7
llm.c,54,49,2
Ehviewer_CN_SXJ,47,14,2
mem0,19,46,2
Alamofire,16,133,1
ComfyUI,-1,151,10
jdk,18,327,6
nanoid,21,23,2
graphql-js,6,171,5
egui,15,185,10
deno,-1,213,8
netron,-1,44,2
redisson,57,34,2
gkd,-1,31,2
js-cookie,25,55,3
pytorch-lightning,15,419,20
starship,-1,254,7
testify,22,17,2
wekan,33,31,3
shields,20,134,12
polars,-1,254,13
localstack,22,239,19
mpv,-1,189,6
kit,49,95,3
terraform,-1,250,7
pingora,30,38,4
guava,55,71,3
cadvisor,13,53,2
opentofu,4,178,7
autocomplete,34,48,5
react-native-web,-1,22,3
HikariCP,-1,12,1
kivy,28,231,7
jsoncrack.com,52,53,2
vector,37,1243,36
tinygrad,-1,150,6
tmux,21,15,1
nowinandroid,39,21,1
graphql,55,368,9
KaTeX,-1,99,4
Langchain-Chatchat,-1,84,3
vulhub,-1,49,3
gradle,-1,188,14
posthog,0,1304,39
YesPlayMusic,-1,21,1
bitcoin,30,471,2
argo-cd,31,68,4
jumpserver,-1,156,14
redoc,-1,81,2
dayjs,-1,31,2
flink,-1,250,8
teleport,57,15,1
servers,-1,121,3
budibase,-1,214,11
aider,52,81,7
FastGPT,30,236,7
uv,0,1149,7
diffusers,1,148,14
rembg,22,54,5
helm,55,72,5
tesseract.js,57,20,2
framework,-1,347,41
tabby,19,268,13
curl,-1,685,15
acme.sh,-1,416,18
uni-app,-1,36,2
excalidraw,19,88,10
delta,34,99,4
quasar,10,80,4
