cluster_id,num_projects,top_options
-1,545,permissions.contents=read:253; on.push.branches=main:247; on.push.branches=master:178; jobs.build.runs-on=ubuntu-latest:175; concurrency.cancel-in-progress=true:166; jobs.build.steps.uses=actions/checkout@v4:150; permissions.pull-requests=write:139; on.pull_request.branches=main:138; on.pull_request.types=opened:128; permissions.contents=write:125
0,4,"jobs.plan.steps.with.name=artifacts-plan-dist-manifest:4; jobs.build-global-artifacts.steps.id=cargo-dist:4; jobs.host.env.GH_TOKEN=${{ secrets.GITHUB_TOKEN }}:4; jobs.build-global-artifacts.steps.run=dist build ${{ needs.plan.outputs.tag-flag }} --output-format=json ""--artifacts=global"" > dist-manifest.json
echo ""dist ran successfully""

# Parse out what we just built and upload it to scratch storage
echo ""paths<<EOF"" >> ""$GITHUB_OUTPUT""
jq --raw-output "".upload_files[]"" dist-manifest.json >> ""$GITHUB_OUTPUT""
echo ""EOF"" >> ""$GITHUB_OUTPUT""

cp dist-manifest.json ""$BUILD_MANIFEST_NAME""
:4; env.CARGO_TERM_COLOR=always:4; jobs.build-global-artifacts.steps.run=chmod +x ~/.cargo/bin/dist:4; jobs.build-global-artifacts.steps.name=Upload artifacts:4; jobs.build-global-artifacts.steps.name=Install cached dist:4; jobs.build-global-artifacts.steps.name=Fetch local artifacts:4; jobs.build-global-artifacts.needs=plan:4"
1,5,concurrency.cancel-in-progress=true:5; jobs.build.uses=huggingface/doc-builder/.github/workflows/build_pr_documentation.yml@main:4; name=Secret Leaks:4; concurrency.group=${{ github.workflow }}-${{ github.head_ref || github.run_id }}:4; on.workflow_run.workflows=Build PR Documentation:4; jobs.build.uses=huggingface/doc-builder/.github/workflows/build_main_documentation.yml@main:4; on.workflow_run.types=completed:4; on.push.branches=v*-release:4; jobs.build.uses=huggingface/doc-builder/.github/workflows/upload_pr_documentation.yml@main:4; jobs.build.with.commit_sha=${{ github.event.pull_request.head.sha }}:4
2,3,"jobs.publish.steps.name=Get version:1; jobs.publish.steps.name=Set up QEMU:1; jobs.windows.name=Windows:1; jobs.comment.steps.with.token=${{ secrets.GITHUB_TOKEN }}:1; jobs.build.steps.uses=docker/setup-qemu-action@v3:1; jobs.build.steps.uses=docker/setup-buildx-action@v3:1; jobs.publish.steps.with.platforms=linux/amd64,linux/arm64:1; jobs.build.steps.uses=docker/build-push-action@v5:1; jobs.macos.name=MacOS:1; jobs.publish.steps.with.password=${{ secrets.GITHUB_TOKEN }}:1"
3,3,jobs.build.runs-on=ubuntu-latest:2; concurrency.group=${{ github.workflow }}-${{ github.ref }}:2; on.push.branches=master:2; jobs.test.strategy.fail-fast=false:1; jobs.build.steps.name=Build:1; jobs.build.steps.name=Checkout branch:1; jobs.build.steps.name=Install dependencies:1; jobs.build.steps.name=Install pnpm:1; jobs.test.strategy.max-parallel=4:1; jobs.test.strategy.matrix.go=1.24:1
4,4,on.push.branches=master:2; jobs.publish.runs-on=ubuntu-latest:2; on.push.branches=main:2; jobs.publish.name=Publish:2; jobs.test.steps.name=Run cargo test:1; jobs.consistency-checks.steps.name=Code consistency checks:1; jobs.consistency-checks.runs-on=ubuntu-latest:1; jobs.consistency-checks.name=Code Consistency Checks:1; jobs.merge-docker-image.needs=build-docker-image:1; jobs.build.env.GOARCH=${{ matrix.goarch }}:1
5,6,jobs.build.strategy.fail-fast=false:5; jobs.build.steps.shell=bash:4; jobs.build.steps.with.targets=${{ matrix.job.target }}:4; jobs.build.steps.uses=actions/checkout@v4:4; jobs.build.runs-on=${{ matrix.job.os }}:4; jobs.build.strategy.matrix.job.target=x86_64-unknown-linux-gnu:4; jobs.build.steps.name=Build:4; jobs.build.strategy.matrix.job.target=i686-pc-windows-msvc:3; jobs.build.strategy.matrix.job.target=i686-unknown-linux-gnu:3; jobs.build.strategy.matrix.job.target=aarch64-unknown-linux-musl:3
6,10,on=pull_request:3; on.pull_request.types=opened:3; jobs.build.runs-on=ubuntu-latest:3; on.pull_request.branches=master:2; jobs.build-linux.steps.uses=actions/checkout@v2:2; on.push.tags=v*:2; on.push.branches=master:2; on=push:2; jobs.build.steps.uses=actions/checkout@v4:2; on.workflow_dispatch.inputs.version.required=true:2
7,4,jobs.release.strategy.matrix.include.target=x86_64-pc-windows-msvc:4; jobs.release.strategy.matrix.include.target=aarch64-apple-darwin:4; jobs.release.strategy.matrix.include.target=x86_64-apple-darwin:4; jobs.release.steps.uses=actions/checkout@v4:4; jobs.release.strategy.matrix.include.os=macos-latest:4; jobs.release.runs-on=${{ matrix.os }}:4; jobs.release.strategy.matrix.include.os=windows-latest:4; jobs.release.strategy.matrix.include.target=aarch64-unknown-linux-musl:3; on.push.branches=main:3; jobs.release.steps.env.GITHUB_TOKEN=${{ secrets.GITHUB_TOKEN }}:3
8,5,on.push.branches=master:5; name=CI:4; concurrency.group=${{ github.workflow }}-${{ github.event.pull_request.number || github.ref }}:4; concurrency.cancel-in-progress=true:4; env.CARGO_TERM_COLOR=always:3; on.schedule.cron=0 0 * * *:3; jobs.rustfmt.steps.uses=actions/checkout@v4:3; env.RUSTFLAGS=-D warnings:3; permissions.contents=read:3; on.release.types=published:3
