min_cluster_size,silhouette_score,n_clusters,n_noise
3,0.0620505494702982,59,545
4,0.05234932779875774,38,612
5,0.008987384071666472,2,75
6,0.008987384071666472,2,75
7,0.04391634822080802,15,685
8,0.04391634822080802,15,685
9,0.04527766517483067,12,709
10,0.05237993664522608,10,727
11,0.012110524033225139,2,294
12,0.012110524033225139,2,294
13,0.012110524033225139,2,294
14,0.012110524033225139,2,294
15,0.03221073222538033,4,664
16,0.03221073222538033,4,664
17,0.03221073222538033,4,664
18,0.03221073222538033,4,664
19,0.03221073222538033,4,664
20,0.03221073222538033,4,664
