project,cluster,num_options,num_files
AdGuardHome,-1,111,2
subql,-1,243,11
immutable-js,-1,115,1
bevy,1,15,2
superset,-1,627,33
gpt4free,-1,9,2
vue-pure-admin,-1,170,1
mongo,2,12,2
node,-1,1330,271
typescript-go,-1,112,5
layui,-1,27,2
shardeum,-1,134,3
egg,-1,115,3
uBlock,-1,22,4
halo,-1,254,6
jenkins,-1,54,1
goreplay,1,6,1
nuxt,-1,340,10
grapesjs,-1,146,5
desktop,-1,49,1
modular,-1,2,1
storybook,-1,851,50
commitlint,-1,192,102
turborepo,-1,663,234
aseprite,-1,15,14
voice-changer,-1,106,4
dotenv,-1,36,1
unocss,-1,513,73
gitea,-1,126,1
harbor,-1,93,2
vue-admin-better,-1,66,3
table,-1,199,101
echarts,-1,198,7
swc,-1,663,55
zulip,-1,448,5
nx,-1,1144,173
Avalonia,-1,29,2
paperless-ngx,-1,71,2
github1s,-1,300,7
next.js,-1,2075,433
SwitchHosts,-1,86,2
platform,-1,897,418
typst,1,13,1
backstage,-1,1168,211
ghostty,-1,12,1
ink,-1,116,1
slick,1,8,1
react-three-fiber,-1,135,5
react,-1,804,102
cheerio,0,140,2
codemirror5,1,23,1
preact,-1,202,7
react-native,-1,420,29
wechat-app-mall,1,15,1
web-check,-1,65,1
ILSpy,-1,3,1
codex,-1,97,3
qinglong,-1,152,1
tailscale,-1,60,2
serverless,-1,152,1
aspnetcore,-1,151,14
jitsi-meet,-1,248,2
chakra-ui,-1,305,17
babel,-1,1436,172
PhotoSwipe,0,81,2
vault,-1,337,16
html5-boilerplate,-1,44,3
whisper.cpp,1,23,3
prettier,-1,239,6
yjs,-1,60,1
trix,-1,56,1
umami,-1,163,1
driver.js,-1,52,2
spotube,-1,62,1
gopeed,1,15,1
cline,-1,290,8
strapi,-1,631,56
semantic-release,-1,103,1
arthas,-1,73,3
editor.js,-1,54,1
typesense,-1,50,1
agenticSeek,0,25,1
elasticsearch,-1,6,1
spacedrive,-1,372,14
ui,-1,292,10
homepage,-1,61,1
puppeteer,0,315,12
ChromeAppHeroes,1,8,1
fuels-ts,-1,305,37
rrweb,-1,188,24
PicGo,-1,94,1
dify,-1,242,2
koodo-reader,-1,166,1
linux-command,1,24,1
composio,-1,196,30
dgraph,1,6,1
classnames,-1,41,1
meteor,-1,331,30
DeepSpeech,-1,8,1
tabler,-1,145,4
bokeh,-1,67,6
docs,-1,77,1
Chart.js,-1,117,4
immich,-1,296,8
rollup,-1,238,24
vuetify,-1,308,4
biome,-1,101,18
frp,-1,30,2
the-swift-programming-language-in-chinese,1,7,1
Ghost,-1,753,21
xyflow,-1,165,10
CyberChef,-1,176,1
ionic-framework,-1,200,17
socket.io,-1,345,67
filament,-1,50,11
drawdb,-1,55,1
Bilibili-Evolved,-1,84,3
react-native-vector-icons,-1,249,30
conductor,0,80,1
label-studio,-1,299,10
vueuse,-1,215,14
bulma,-1,57,3
rails,2,37,4
LibreChat,-1,399,7
hey,-1,118,8
gin-vue-admin,-1,71,1
spaCy,-1,58,1
Sunshine,-1,14,1
axios,-1,150,1
tauri,-1,123,21
wagtail,-1,126,1
1Panel,-1,89,1
FiraCode,1,9,1
google-research,-1,87,1
gradio,-1,407,75
antlr4,-1,46,3
phoenix,-1,32,1
vant,-1,138,12
actual,-1,404,9
netbox,-1,52,2
lossless-cut,-1,356,1
pnpm,-1,779,265
taro,-1,914,97
AdminLTE,-1,79,1
swagger-ui,-1,184,3
uikit,-1,55,2
jan,-1,238,12
