project,cluster,num_options,num_files
subql,0,51,10
immutable-js,0,33,3
superset,0,32,30
vue-pure-admin,0,37,1
node,0,141,2
typescript-go,0,26,6
shardeum,0,21,2
egg,0,23,3
halo,0,21,6
nuxt,3,1,2
grapesjs,0,30,3
storybook,0,72,56
commitlint,0,16,22
turborepo,0,74,87
unocss,0,135,29
harbor,0,15,3
table,0,49,100
swc,0,16,7
nx,0,86,149
Avalonia,0,24,2
github1s,0,33,4
next.js,0,143,200
SwitchHosts,0,34,1
platform,0,41,410
backstage,0,67,7
ink,0,13,1
react-three-fiber,0,33,2
react,0,24,13
preact,0,9,1
react-native,0,11,4
codex,0,9,2
qinglong,0,34,2
tailscale,0,16,2
aspnetcore,0,22,8
chakra-ui,0,68,17
babel,0,13,158
vault,0,8,2
yjs,0,17,1
umami,0,41,2
driver.js,0,27,2
cline,0,47,5
strapi,0,59,60
arthas,0,22,1
typesense,0,24,1
spacedrive,0,68,14
ui,0,48,8
puppeteer,0,19,9
fuels-ts,0,38,32
rrweb,0,56,22
dify,0,25,1
composio,0,25,29
meteor,0,14,4
DeepSpeech,0,16,1
bokeh,0,51,6
docs,0,25,1
immich,0,28,6
rollup,0,41,3
biome,0,28,4
Ghost,10,1,12
xyflow,0,31,6
ionic-framework,0,55,8
socket.io,0,23,23
Bilibili-Evolved,0,28,4
react-native-vector-icons,0,35,28
conductor,0,18,1
label-studio,0,26,10
vueuse,0,52,2
LibreChat,0,55,5
hey,0,34,8
spaCy,0,20,1
axios,0,5,1
tauri,0,11,2
google-research,0,23,2
gradio,0,17,5
phoenix,0,6,1
vant,0,24,9
pnpm,0,26,172
taro,0,88,75
AdminLTE,1,2,2
jan,0,47,10
harness,0,34,2
openapi-generator,0,42,57
element-plus,0,21,2
windows95,0,27,1
angular-cli,0,57,6
hono,0,29,5
airflow,10,1,4
prometheus,0,27,3
slint,0,49,10
draggable,6,15,1
coc.nvim,0,30,1
bruno,0,24,5
mkdocs-material,0,31,1
