cluster_id,num_projects,top_options
0,74,recommendations.recommendations/dbaeumer.vscode-eslint=dbaeumer.vscode-eslint:47; recommendations.recommendations/esbenp.prettier-vscode=esbenp.prettier-vscode:46; typescript.tsdk=node_modules/typescript/lib:30; editor.formatOnSave=True:23; editor.defaultFormatter=esbenp.prettier-vscode:21; eslint.validate.eslint.validate/javascript=javascript:14; eslint.validate.eslint.validate/typescript=typescript:13; [typescript].editor.defaultFormatter=esbenp.prettier-vscode:12; recommendations.recommendations/bradlc.vscode-tailwindcss=bradlc.vscode-tailwindcss:11; editor.codeActionsOnSave.source.fixAll.eslint=explicit:10
1,9,editor.formatOnSave=True:7; recommendations.recommendations/biomejs.biome=biomejs.biome:5; editor.defaultFormatter=biomejs.biome:5; [typescript].editor.defaultFormatter=biomejs.biome:4; editor.codeActionsOnSave.source.fixAll.biome=explicit:3; editor.codeActionsOnSave.source.organizeImports.biome=explicit:3; [javascript].editor.defaultFormatter=biomejs.biome:3; git.confirmSync=False:2; [json].editor.defaultFormatter=biomejs.biome:2; editor.tabSize=2:2
2,7,recommendations.recommendations/Vue.volar=Vue.volar:5; recommendations.recommendations/rust-lang.rust-analyzer=rust-lang.rust-analyzer:3; recommendations.recommendations/svelte.svelte-vscode=svelte.svelte-vscode:2; recommendations.recommendations/Vue.vscode-typescript-vue-plugin=Vue.vscode-typescript-vue-plugin:2; recommendations.recommendations/vadimcn.vscode-lldb=vadimcn.vscode-lldb:1; recommendations.recommendations/llvm-vs-code-extensions.vscode-clangd=llvm-vs-code-extensions.vscode-clangd:1; recommendations.recommendations/tauri-apps.tauri-vscode=tauri-apps.tauri-vscode:1
3,56,configurations.request=launch:46; version=0.2.0:45; configurations.type=node:26; version=2.0.0:23; configurations.console=integratedTerminal:17; recommendations.recommendations/dbaeumer.vscode-eslint=dbaeumer.vscode-eslint:14; configurations.request=attach:14; tasks.group.kind=build:13; tasks.isBackground=True:13; configurations.type=chrome:12
4,6,recommendations.recommendations/redhat.vscode-yaml=redhat.vscode-yaml:5; recommendations.recommendations/ms-azuretools.vscode-docker=ms-azuretools.vscode-docker:4; recommendations.recommendations/editorconfig.editorconfig=editorconfig.editorconfig:3; recommendations.recommendations/davidanson.vscode-markdownlint=davidanson.vscode-markdownlint:3; recommendations.recommendations/lokalise.i18n-ally=lokalise.i18n-ally:2; recommendations.recommendations/golang.go=golang.go:2; recommendations.recommendations/github.vscode-github-actions=github.vscode-github-actions:2; recommendations.recommendations/esbenp.prettier-vscode=esbenp.prettier-vscode:2; recommendations.recommendations/dbaeumer.vscode-eslint=dbaeumer.vscode-eslint:2; recommendations.recommendations/bradlc.vscode-tailwindcss=bradlc.vscode-tailwindcss:2
5,3,files.associations.cctype=cpp:3; files.associations.cstdint=cpp:3; files.associations.cstdio=cpp:3; files.associations.cstring=cpp:3; files.associations.ctime=cpp:3; files.associations.string=cpp:3; files.associations.streambuf=cpp:3; files.associations.stdexcept=cpp:3; files.associations.cwchar=cpp:3; files.associations.sstream=cpp:3
6,7,files.exclude.**/.DS_Store=True:5; files.exclude.**/.git=True:5; files.exclude.**/.svn=True:4; search.exclude.**/node_modules=True:4; files.exclude.**/.hg=True:4; files.exclude.**/CVS=True:4; files.exclude.**/Thumbs.db=True:4; search.exclude.**/bower_components=True:3; configurations.request=launch:2; files.exclude.**/.idea/=True:2
7,3,cSpell.words.cSpell.words/hljs=hljs:2; java.compile.nullAnalysis.mode=automatic:2; cSpell.words.cSpell.words/uuidv=uuidv:2; cSpell.words.cSpell.words/echarts=echarts:1; cSpell.words.cSpell.words/OPENAI=OPENAI:1; eslint.experimental.useFlatConfig=True:1; cSpell.words.cSpell.words/zustand=zustand:1
8,4,python.testing.pytestEnabled=True:3; python.testing.unittestEnabled=False:3; editor.defaultFormatter=esbenp.prettier-vscode:2; recommendations.recommendations/charliermarsh.ruff=charliermarsh.ruff:2; [python].editor.formatOnSave=True:2; [python].editor.defaultFormatter=charliermarsh.ruff:2; recommendations.recommendations/github.vscode-pull-request-github=github.vscode-pull-request-github:1; configurations.request=launch:1; recommendations.recommendations/editorconfig.editorconfig=editorconfig.editorconfig:1; python.analysis.typeCheckingMode=basic:1
9,17,
10,1,recommendations.recommendations/ms-python.black-formatter=ms-python.black-formatter:1; recommendations.recommendations/tamasfe.even-better-toml=tamasfe.even-better-toml:1
11,1,eslint.workingDirectories.mode=auto:1
12,1,i18n-ally.keystyle=nested:1
13,1,eslint.lintTask.enable=True:1; search.exclude.node_modules=True:1
14,2,typescript.tsdk=./node_modules/typescript/lib:2; search.exclude.**/node_modules=True:1; search.exclude.**/lib=True:1; search.exclude.**/dist=True:1; search.exclude.**/coverage=True:1; search.exclude.**/build=True:1; typescript.enablePromptUseWorkspaceTsdk=True:1; files.watcherExclude.**/dist=True:1; eslint.useFlatConfig=True:1; editor.insertSpaces=True:1
15,1,rust-analyzer.linkedProjects.rust-analyzer.linkedProjects/./Cargo.toml=./Cargo.toml:1; editor.insertSpaces=False:1
16,2,tailwindCSS.classAttributes.tailwindCSS.classAttributes/regionBody=regionBody:2; tailwindCSS.classAttributes.tailwindCSS.classAttributes/regionPanel=regionPanel:2; tailwindCSS.classAttributes.tailwindCSS.classAttributes/regionRowMain=regionRowMain:2; tailwindCSS.classAttributes.tailwindCSS.classAttributes/regionSummary=regionSummary:2; tailwindCSS.classAttributes.tailwindCSS.classAttributes/regionSymbol=regionSymbol:2; tailwindCSS.classAttributes.tailwindCSS.classAttributes/regionTab=regionTab:2; tailwindCSS.classAttributes.tailwindCSS.classAttributes/regionTrail=regionTrail:2; tailwindCSS.classAttributes.tailwindCSS.classAttributes/ring=ring:2; tailwindCSS.classAttributes.tailwindCSS.classAttributes/rounded=rounded:2; tailwindCSS.classAttributes.tailwindCSS.classAttributes/select=select:2
17,1,deno.enable=True:1
18,2,cSpell.words.cSpell.words/rowspan=rowspan:2; cSpell.words.cSpell.words/colspan=colspan:2; files.exclude.**/.rollup.cache=True:1; files.exclude.**/lib=True:1; search.exclude.**/lib=True:1; search.exclude.**/package-lock.json=True:1; [xml].editor.defaultFormatter=redhat.vscode-xml:1; editor.tabSize=2:1; editor.formatOnSave=True:1; editor.defaultFormatter=esbenp.prettier-vscode:1
19,1,editor.rulers.editor.rulers/80=80:1; files.exclude.**/node_modules=True:1
