k,silhouette_score,n_clusters
2,0.12112797067946718,2
3,0.12101122115829617,3
4,0.1208641820712933,4
5,0.12313341883969237,5
6,0.12276554892997708,6
7,0.12223167839919949,7
8,0.13104554513161717,8
9,0.12967560738732378,9
10,0.12818167463684615,10
11,0.12585227834347718,11
12,0.130695539631812,12
13,0.13707891033773,13
14,0.13634403895425695,14
15,0.13308285010080925,15
16,0.15179391576230533,16
17,0.14978834309845346,17
18,0.15340751287198254,18
19,0.1541192347919259,19
20,0.1542953234395424,20
