project,ecosystem
croc,0
haystack,1
syncthing,0
bevy,2
redis,0
apache_superset,1
gpt4free,3
mongodb_mongo,1
nodejs_node,1
spdlog,0
MoneyPrinterTurbo,3
caddy,0
atuinsh_atuin,2
swoole-src,3
jenkinsci_jenkins,3
goreplay,3
mlx,1
eladmin,3
faiss,3
modular,1
aseprite,1
PHPMailer,0
agno,1
recommenders,1
micro,3
spleeter,1
keepassxc,0
base_node,3
dspy,1
zulip_zulip,1
hashcat,0
paperless-ngx,1
django-rest-framework,1
typst,2
ghostty,3
winget-cli,2
python-fire,1
cobra,0
firecracker,2
textual,1
gin,0
dive,0
LunarVim,1
pandas,1
fzf,0
ILSpy,3
headscale,0
cilium_cilium,0
etcd,0
jq,3
slim,0
surya,1
duckdb,1
fairseq,1
faas,0
xgboost,1
flash-attention,1
quivr,1
ingress-nginx,0
deskflow,2
rocketmq,3
onnx,1
micropython,1
agenticSeek,1
lvgl,0
nuclei,0
zoxide,2
requests,1
shellcheck,3
btop,3
WSL,1
QuickLook,0
casbin,0
certbot,1
zstd,3
fd,2
monolog,0
php-src,0
gogs,0
linux-command,3
dragonfly,1
dgraph,0
devise,3
kitty,1
ruby,2
bokeh,1
beego,0
windows,3
Qwen,3
fish-speech,1
sing-box,0
Scrapegraph-ai,1
node,3
CyberChef,3
guzzle,3
gleam,2
filament,1
drawdb,3
HumanSignal_label-studio,1
gorm,0
ungoogled-chromium,2
rails,3
czkawka,2
celery,1
sanic,1
DeepSpeed,1
gin-vue-admin,3
explosion_spaCy,1
axum,2
MinerU,3
docker-elk,3
wagtail,1
shadPS4,2
FiraCode,3
google-research_google-research,1
wasmer,2
tdesktop,1
vnpy,1
stats,0
ImHex,0
netbox,1
yolov5,1
Docker-OSX,3
act,0
swagger-ui,3
openpilot,1
kafka,3
rocksdb,3
cli,0
sqlitebrowser,3
neovim,2
rancher,0
apache_airflow,1
telescope.nvim,2
freqtrade,1
kong,3
saleor,1
pydantic,1
gitleaks,0
gson,3
mlc-llm,1
moby_moby,0
brew,0
ArchiveBox,1
osquery,1
iced,2
crewAI,1
scrapy,1
canal,0
frigate,1
go-micro,0
transformers,1
graal,1
shap,1
actix-web,2
LocalAI,3
PowerShell_PowerShell,0
keras,1
yazi,2
Bend,2
Aerial,0
colima,0
llvm_llvm-project,1
pyscript,1
maybe,3
LLaMA-Factory,1
minio,0
LLMs-from-scratch,1
magic-wormhole,1
milvus,0
lo,3
grafana_loki,0
nnn,0
dbeaver_dbeaver,3
Ventoy,3
Rocket,2
autogen,1
postgrest,0
llama.cpp,1
luigi,1
graphrag,1
fasthttp,0
kubernetes_kubernetes,0
serenity,3
gpt_academic,3
v86,2
vllm,1
dubbo,0
srs,0
OpenHands,1
nginx,3
photoprism_photoprism,3
spacemacs,0
bubbletea,0
just,2
hutool,3
go-zero,3
v,3
dgtlmoon_changedetection.io,3
fuel-core,2
distroless,1
whisper,1
flux,1
vitess,0
HanLP,3
docling,1
trufflehog,0
x64dbg,0
yt-dlp,1
kuboard-press,3
nginx-proxy,3
MediaCrawler,1
k3s,0
mem0,1
Alamofire,4
cloudreve,3
ComfyUI,1
openjdk_jdk,3
egui,2
deno,2
lutzroeder_netron,1
redisson,3
js-cookie,3
pytorch-lightning,1
starship,2
wekan_wekan,3
polars,2
localstack,1
mpv,1
terraform,0
pingora,2
guava,3
cadvisor,0
opentofu,0
HikariCP,0
flask,1
kivy,1
tinygrad,2
tmux,0
Langchain-Chatchat,1
vulhub,3
YesPlayMusic,3
bitcoin,2
argoproj_argo-cd,0
jumpserver,1
flink,1
servers,1
aider,1
uv,2
diffusers,1
rembg,3
helm,0
curl,0
acme.sh,3
delta,2
kubernetes_minikube,0
xxl-job,3
sway,2
poetry,1
python-telegram-bot,1
microsoft_semantic-kernel,1
black,1
hosts,3
meilisearch,2
Files,2
k9s,0
apollo,3
hackathon-starter,3
pulumi,0
grpc_grpc,3
diagrams,1
mypy,1
vscodium,3
pytorch_pytorch,1
neon,2
gitui,2
pyenv,3
SteamTools,2
open-webui_open-webui,1
mybatis-3,3
django,1
openai-python,1
Real-Time-Voice-Cloning,1
facefusion,1
wezterm,2
Mobile-Security-Framework-MobSF,1
huginn,3
redash,1
simple-icons,3
devdocs,3
lazygit,0
yfinance,0
bat,2
numpy,1
iTerm2-Color-Schemes,1
getsentry_sentry,1
helix,2
sops,0
TDengine,0
FastChat,3
dapr,0
pipenv,1
peft,1
ladybird,1
seaweedfs,3
cpython,1
calibre,1
netdata_netdata,2
timescaledb,0
alacritty,2
cube,2
langchain,1
tree-sitter_tree-sitter,2
vanna,1
glances,1
smolagents,1
Genesis,1
bcc,3
fiber,0
colly,0
nlohmann_json,0
SeleniumHQ_selenium,1
goaccess,3
skywalking,3
ripgrep,2
rclone_rclone,0
manim,1
statsd,3
leetcode,3
invoke-ai_InvokeAI,1
godot,1
AgentGPT,1
zellij-org_zellij,2
fish-shell,2
taipy,1
mall,3
tornado,1
prophet,3
hugo,3
faceswap,1
ray-project_ray,1
RustPython,2
fastai,1
APIJSON,3
crystal,0
fastapi,1
trivy,0
ncnn,1
ruoyi-vue-pro,3
anki,2
nvm,3
compiler-explorer_compiler-explorer,1
nushell,2
reflex,1
podman,0
GPT-SoVITS,3
anoma,3
notepad-plus-plus,0
apache_shardingsphere,0
Ice,0
CodeEdit,0
spring-cloud-alibaba,0
supervision,1
mlflow_mlflow,1
unilm,1
pathway,2
SwiftyJSON,0
go-kratos_kratos,0
go-redis,0
ntfy,3
envoy,2
monica,3
validator,0
markitdown,1
rapid7_metasploit-framework,3
kickstart.nvim,2
pytorch_geometric,1
khoj,1
restic,0
live,0
jax,1
frida,2
jekyll,3
NationalSecurityAgency_ghidra,1
PDFMathTranslate,1
compose,0
Iosevka,3
ccxt_ccxt,1
consul,0
gpt4all,1
radare2,3
sherlock,1
influxdb,2
grpc-gateway,0
containerd,0
pandas-ai,1
SwiftLint,3
