project,ecosystem
AdGuardHome,0
croc,0
haystack,0
subquery_subql,0
termux-app,0
immutable-js,0
syncthing,0
bevy,0
redis,0
apache_superset,0
gpt4free,0
vue-pure-admin,0
mongodb_mongo,0
nodejs_node,0
typescript-go,0
spdlog,0
MoneyPrinterTurbo,0
layui,0
shardeum,0
egg,0
gorhill_uBlock,0
caddy,0
halo,0
atuinsh_atuin,0
swoole-src,0
jenkinsci_jenkins,0
goreplay,0
nuxt,0
mlx,0
v2rayNG,0
grapesjs,0
eladmin,0
faiss,0
desktop,0
modular,0
storybookjs_storybook,0
commitlint,0
vercel_turborepo,0
aseprite,0
voice-changer,0
dotenv,0
PHPMailer,0
agno,0
recommenders,0
micro,0
unocss,0
spleeter,0
keepassxc,0
go-gitea_gitea,0
harbor,0
vue-admin-better,0
table,0
apache_echarts,0
base_node,0
dspy,0
swc-project_swc,0
zulip_zulip,0
hashcat,0
nrwl_nx,0
Avalonia,0
paperless-ngx,0
github1s,0
vercel_next.js,0
SwitchHosts,0
Seal,0
django-rest-framework,0
hcengineering_platform,0
PowerToys,1
typst,0
backstage_backstage,0
ghostty,0
ink,0
winget-cli,0
slick,0
react-three-fiber,0
react,0
python-fire,0
cobra,0
cheerio,0
firecracker,0
textual,0
codemirror5,0
preact,0
react-native,0
gin,0
NewPipe,0
dive,0
LunarVim,0
pandas,0
fzf,0
shadowsocks-android,0
web-check,0
ILSpy,0
headscale,0
cilium_cilium,0
etcd,0
jq,0
codex,0
qinglong,0
slim,0
tailscale,0
serverless,0
dotnet_aspnetcore,0
surya,0
jitsi_jitsi-meet,0
chakra-ui,0
babel,0
dimsemenov_PhotoSwipe,0
duckdb,0
vault,0
fairseq,0
html5-boilerplate,0
whisper.cpp,0
faas,0
prettier,0
yjs,0
xgboost,0
trix,0
flash-attention,0
umami-software_umami,0
quivr,0
driver.js,0
spotube,0
gopeed,0
cline,0
strapi_strapi,0
semantic-release,0
ingress-nginx,0
arthas,0
deskflow,0
ohmyzsh,0
rocketmq,0
onnx,0
editor.js,0
micropython,0
agenticSeek,0
lvgl,0
nuclei,0
zoxide,0
elastic_elasticsearch,0
requests,0
spacedrive,0
shellcheck,0
ui,0
gethomepage_homepage,0
fmt,0
btop,0
puppeteer,0
WSL,0
