project,ecosystem
AdGuardHome,-1
croc,-1
haystack,48
subquery_subql,-1
termux-app,-1
immutable-js,46
syncthing,15
bevy,-1
redis,3
apache_superset,-1
gpt4free,53
vue-pure-admin,-1
mongodb_mongo,-1
nodejs_node,-1
typescript-go,-1
spdlog,18
MoneyPrinterTurbo,50
layui,23
shardeum,-1
egg,52
gorhill_uBlock,-1
caddy,-1
halo,-1
atuinsh_atuin,-1
swoole-src,50
jenkinsci_jenkins,-1
goreplay,-1
nuxt,-1
mlx,44
v2rayNG,40
grapesjs,56
eladmin,29
faiss,22
desktop,-1
modular,-1
storybookjs_storybook,-1
commitlint,-1
vercel_turborepo,25
aseprite,-1
voice-changer,54
dotenv,23
PHPMailer,-1
agno,-1
recommenders,-1
micro,-1
unocss,55
spleeter,17
keepassxc,3
go-gitea_gitea,-1
harbor,-1
vue-admin-better,56
table,35
apache_echarts,54
base_node,49
dspy,44
swc-project_swc,12
zulip_zulip,24
hashcat,18
nrwl_nx,-1
Avalonia,18
paperless-ngx,24
github1s,35
vercel_next.js,-1
SwitchHosts,46
Seal,40
django-rest-framework,18
hcengineering_platform,-1
PowerToys,0
typst,35
backstage_backstage,3
ghostty,35
ink,50
winget-cli,3
slick,45
react-three-fiber,46
react,-1
python-fire,6
cobra,20
cheerio,35
firecracker,18
textual,18
codemirror5,23
preact,50
react-native,-1
gin,19
NewPipe,40
dive,19
LunarVim,21
pandas,-1
fzf,7
shadowsocks-android,31
web-check,26
ILSpy,45
headscale,7
cilium_cilium,13
etcd,21
jq,21
codex,-1
qinglong,-1
slim,13
tailscale,-1
serverless,23
dotnet_aspnetcore,21
surya,44
jitsi_jitsi-meet,31
chakra-ui,-1
babel,-1
dimsemenov_PhotoSwipe,54
duckdb,21
vault,14
fairseq,48
html5-boilerplate,21
whisper.cpp,31
faas,19
prettier,-1
yjs,45
xgboost,7
trix,43
flash-attention,44
umami-software_umami,35
quivr,-1
driver.js,56
spotube,-1
gopeed,-1
cline,21
strapi_strapi,21
semantic-release,23
ingress-nginx,-1
arthas,21
deskflow,-1
ohmyzsh,3
rocketmq,21
onnx,7
editor.js,54
micropython,48
agenticSeek,47
lvgl,-1
nuclei,21
zoxide,21
elastic_elasticsearch,-1
requests,44
spacedrive,21
shellcheck,38
ui,-1
gethomepage_homepage,14
fmt,7
btop,21
puppeteer,37
WSL,3
ChromeAppHeroes,23
fuels-ts,21
QuickLook,18
casbin,21
certbot,16
rrweb,37
zstd,16
fd,41
monolog,15
PicGo,-1
langgenius_dify,26
koodo-reader,37
php-src,15
gogs,14
linux-command,16
dragonfly,-1
composio,14
dgraph,-1
devise,3
classnames,23
meteor_meteor,6
