project,ecosystem
AdGuardHome,0
croc,1
haystack,1
subquery_subql,0
termux-app,2
immutable-js,0
syncthing,1
bevy,1
redis,1
apache_superset,1
gpt4free,1
vue-pure-admin,0
mongodb_mongo,1
nodejs_node,1
typescript-go,0
spdlog,1
MoneyPrinterTurbo,1
layui,0
shardeum,0
egg,0
gorhill_uBlock,0
caddy,1
halo,0
atuinsh_atuin,1
swoole-src,1
jenkinsci_jenkins,1
goreplay,1
nuxt,0
mlx,1
v2rayNG,2
grapesjs,0
eladmin,1
faiss,1
desktop,0
modular,1
storybookjs_storybook,0
commitlint,0
vercel_turborepo,0
aseprite,1
voice-changer,0
dotenv,0
PHPMailer,1
agno,1
recommenders,1
micro,1
unocss,0
spleeter,1
keepassxc,1
go-gitea_gitea,0
harbor,0
vue-admin-better,0
table,0
apache_echarts,0
base_node,1
dspy,1
swc-project_swc,0
zulip_zulip,1
hashcat,1
nrwl_nx,0
Avalonia,0
paperless-ngx,1
github1s,0
vercel_next.js,0
SwitchHosts,0
Seal,2
django-rest-framework,1
hcengineering_platform,0
PowerToys,3
typst,1
backstage_backstage,0
ghostty,1
ink,0
winget-cli,1
slick,0
react-three-fiber,0
react,0
python-fire,1
cobra,1
cheerio,0
firecracker,1
textual,1
codemirror5,0
preact,0
react-native,0
gin,1
NewPipe,2
dive,1
LunarVim,1
pandas,1
fzf,1
shadowsocks-android,2
web-check,0
ILSpy,1
headscale,1
cilium_cilium,1
etcd,1
jq,1
codex,0
qinglong,0
slim,1
tailscale,0
serverless,0
dotnet_aspnetcore,0
surya,1
jitsi_jitsi-meet,2
chakra-ui,0
babel,0
dimsemenov_PhotoSwipe,0
duckdb,1
vault,0
fairseq,1
html5-boilerplate,0
whisper.cpp,2
faas,1
prettier,0
yjs,0
xgboost,1
trix,0
flash-attention,1
umami-software_umami,0
quivr,1
driver.js,0
spotube,0
gopeed,2
cline,0
strapi_strapi,0
semantic-release,0
ingress-nginx,1
arthas,0
deskflow,1
ohmyzsh,0
rocketmq,1
onnx,1
editor.js,0
micropython,1
agenticSeek,1
lvgl,1
nuclei,1
zoxide,1
elastic_elasticsearch,0
requests,1
spacedrive,0
shellcheck,1
ui,0
gethomepage_homepage,0
fmt,2
btop,1
puppeteer,0
WSL,1
ChromeAppHeroes,0
fuels-ts,0
QuickLook,1
casbin,1
certbot,1
rrweb,0
zstd,1
fd,1
monolog,1
PicGo,0
langgenius_dify,0
koodo-reader,0
php-src,1
gogs,1
linux-command,1
dragonfly,1
composio,0
dgraph,1
devise,1
classnames,0
meteor_meteor,0
zxing,2
kitty,1
ruby,1
DeepSpeech,2
tabler,0
FlClash,2
bokeh,1
beego,1
windows,1
Qwen,1
git-extras,3
fish-speech,1
TrafficMonitor,3
docs,0
Chart.js,0
immich-app_immich,0
rollup,0
vuetify,0
sing-box,1
biome,0
v2rayN,3
frp,0
Scrapegraph-ai,1
node,1
the-swift-programming-language-in-chinese,0
TryGhost_Ghost,0
maui,2
xyflow,0
CyberChef,1
guzzle,1
ionic-team_ionic-framework,0
gleam,1
socket.io,0
filament,1
drawdb,1
Bilibili-Evolved,0
react-native-vector-icons,0
conductor,0
HumanSignal_label-studio,1
vueuse,0
gorm,1
ungoogled-chromium,1
jgthms_bulma,0
rails,1
czkawka,1
celery,1
LibreChat,0
sanic,1
hey,0
DeepSpeed,1
gin-vue-admin,1
explosion_spaCy,1
axum,1
Sunshine,0
MinerU,1
axios,0
docker-elk,1
tauri,0
wagtail,1
shadPS4,1
1Panel,0
FiraCode,1
google-research_google-research,1
wasmer,1
tdesktop,1
tensorflow,2
gradio,0
antlr4,0
vnpy,1
phoenix,0
stats,1
vant,0
actual,0
ImHex,1
netbox,1
mifi_lossless-cut,0
pnpm,0
yolov5,1
Docker-OSX,1
NervJS_taro,0
act,1
AdminLTE,0
swagger-ui,1
uikit,0
jan,0
jquery_jquery,0
openpilot,1
harness,0
OpenAPITools_openapi-generator,2
kafka,1
rocksdb,1
jsdom,0
cli,1
element-plus,0
sqlitebrowser,1
windows95,0
neovim,1
rancher,1
angular-cli,0
honojs_hono,0
webtorrent,0
apache_airflow,1
prometheus,0
telescope.nvim,1
freqtrade,1
Rectangle,3
slint,0
draggable,0
kong,1
saleor,1
coc.nvim,0
pydantic,1
mjml,0
bruno,0
mkdocs-material,0
zig,3
dashy,0
outline,0
gitleaks,1
Jobs_Applier_AI_Agent_AIHawk,3
gson,1
mlc-llm,1
moby_moby,1
docusaurus,0
void,0
streamlit,0
filebrowser,0
CymChad_BaseRecyclerViewAdapterHelper,2
ice,0
brew,1
webpack,0
AnotherRedisDesktopManager,0
slidev,0
tiptap,0
Leaflet,0
apollographql_apollo-client,0
ArchiveBox,1
cursor-free-vip,3
parcel,0
mermaid,0
osquery,1
json-server,0
teambit_bit,0
disruptor,2
postiz-app,0
iced,1
crewAI,1
chatwoot_chatwoot,0
react-navigation,0
n8n-io_n8n,0
fingerprintjs,0
scrapy,1
canal,1
frigate,1
go-micro,1
NaiboWang_EasySpider,0
transformers,1
graal,1
portainer,0
linera-protocol,0
shap,1
actix-web,1
mrdoob_three.js,0
flow,0
OpenManus,0
spring-projects_spring-boot,2
LocalAI,1
PowerShell_PowerShell,1
heroui-inc_heroui,0
video.js,0
Perplexica,0
keras,1
yazi,1
etherpad-lite,0
Karabiner-Elements,0
Bend,1
Aerial,1
colima,1
llvm_llvm-project,1
reduxjs_redux,0
sst,0
pyscript,1
rustdesk,2
fastify,0
maybe,1
flutter_flutter,2
jeecgboot_JeecgBoot,0
LLaMA-Factory,1
lexical,0
lerna,0
minio,1
LLMs-from-scratch,1
incubator-seata,0
blueprint,0
vapor,3
magic-wormhole,1
components,0
ish,0
ollama_ollama,0
milvus,1
lo,1
grafana_loki,1
novuhq_novu,0
nnn,1
dbeaver_dbeaver,1
Ventoy,1
laravel-debugbar,3
source-code-hunter,0
UTM,3
phpunit,3
Rocket,1
zustand,0
autogen,1
postgrest,1
llama.cpp,1
bagisto,0
query,0
luigi,1
graphrag,1
create-t3-app,0
react-hook-form,0
microsoft_TypeScript,0
monaco-editor,0
everyone-can-use-english,0
fasthttp,1
calcom_cal.com,0
kubernetes_kubernetes,1
Stirling-PDF,2
serenity,1
unleashed-firmware,0
gpt_academic,1
fullPage.js,0
v86,1
vllm,1
ionicons,0
guidance,0
rust-lang_rust,0
react-scan,0
mantine,0
baidu_amis,0
ToolJet_ToolJet,0
dubbo,1
laurent22_joplin,0
srs,1
OpenHands,1
nginx,1
darkreader,0
ava,0
photoprism_photoprism,1
spacemacs,1
bubbletea,1
just,1
discord.js,0
Tasmota,0
unionlabs_union,0
chi,3
remix,0
Anuken_Mindustry,2
hutool,1
go-zero,1
marked,0
firefly-iii,0
v,1
dgtlmoon_changedetection.io,1
fuel-core,1
CopilotKit_CopilotKit,0
distroless,1
whisper,1
flux,1
vitess,1
express,0
HanLP,1
code-server,0
homebridge,0
docling,1
jhipster_generator-jhipster,0
decaporg_decap-cms,0
trufflehog,1
weui,0
x64dbg,1
Hyprland,3
yt-dlp,1
appium,0
elixir,3
kuboard-press,1
NginxProxyManager_nginx-proxy-manager,0
zed-industries_zed,0
nocodb_nocodb,0
nginx-proxy,1
MediaCrawler,1
sweetalert2,0
go,0
k3s,1
Ehviewer_CN_SXJ,2
mem0,1
Alamofire,1
cloudreve,1
ComfyUI,1
openjdk_jdk,1
nanoid,0
graphql-js,0
egui,1
deno,1
lutzroeder_netron,1
redisson,1
gkd,2
js-cookie,1
pytorch-lightning,1
starship,1
testify,3
wekan_wekan,1
badges_shields,0
polars,1
localstack,1
mpv,1
kit,0
terraform,1
pingora,1
guava,1
cadvisor,1
opentofu,1
autocomplete,0
react-native-web,0
HikariCP,1
flask,1
obsproject_obs-studio,0
kivy,1
jsoncrack.com,0
DoKit,2
vectordotdev_vector,0
tinygrad,1
tmux,1
nowinandroid,2
backbone,0
graphql,0
KaTeX,0
Langchain-Chatchat,1
vulhub,1
gradle,2
PostHog_posthog,0
YesPlayMusic,1
bitcoin,1
argoproj_argo-cd,1
jumpserver,1
redoc,0
dayjs,0
flink,1
gravitational_teleport,0
servers,1
Budibase_budibase,0
aider,1
FastGPT,0
uv,1
diffusers,1
rembg,1
helm,1
tesseract.js,0
framework,0
tabby,0
curl,1
acme.sh,1
uni-app,0
excalidraw,0
delta,1
quasarframework_quasar,0
vite,0
kubernetes_minikube,1
trpc,0
xxl-job,1
sway,1
poetry,1
python-telegram-bot,1
validator.js,0
microsoft_semantic-kernel,1
v8,0
koa,0
relay,0
black,1
hosts,1
yoga,0
fyne,2
glide,2
refinedev_refine,0
meilisearch,1
highlight.js,0
teable,0
Files,1
k9s,1
Apollo-11,0
apollo,1
amark_gun,0
hackathon-starter,1
agentic,0
pulumi,1
grpc_grpc,1
timqian_chinese-independent-blogs,0
diagrams,1
focalboard,0
mypy,1
vscodium,1
LightRAG,0
pytorch_pytorch,1
neon,1
