k,mean_ari,median_ari,std_ari,n_repeats_effective
3,0.9465822003975717,0.9409933053639616,0.024635993920975777,20
4,0.9373161697657094,0.9356603135946331,0.038927221388654044,20
5,0.912056108246855,0.9134934723658303,0.04558402285475293,20
6,0.8469270813685377,0.8559005749584667,0.06944700442268581,20
7,0.8241930067065854,0.843164072690693,0.07753658753323411,20
8,0.770744475574693,0.7684477359879718,0.09333511600853137,20
9,0.7356851147650791,0.7290165168765956,0.09844000836778208,20
10,0.7659795136598669,0.7895140630535233,0.09559633460630172,20
11,0.7795419590716504,0.8047979547020774,0.08757891694555103,20
12,0.6435977002238942,0.6987966823948633,0.12390068901798415,20
13,0.6737836922621641,0.6951715706462414,0.09643379967725296,20
14,0.5811312700853977,0.4986897608803712,0.1672941678714647,20
15,0.575415258133746,0.567442490555716,0.15576605622679537,20
16,0.6357113846169422,0.6546925414409042,0.14527339751273483,20
17,0.610851412292507,0.6258476988142994,0.1405791978465855,20
18,0.6332580105793895,0.6421104180885407,0.14232569170860465,20
19,0.6404971571931507,0.6527699794923321,0.11264270090995139,20
20,0.7324296760064477,0.7132952716172051,0.09712459550160403,20
21,0.6865299451965721,0.6743798642157827,0.10910893471993449,20
22,0.6771966251018909,0.6658191179170871,0.11931108275494996,20
23,0.6774168783940939,0.6570964435135813,0.08642771357484164,20
24,0.7270296118835958,0.7165120865464112,0.06463629489610703,20
25,0.747828730849531,0.7446005221856642,0.0648928110481663,20
26,0.791542291368806,0.8110648823184565,0.061941665023163325,20
27,0.7775279914950322,0.7749757943547011,0.05463487827113089,20
28,0.8050732589983454,0.8130187745888131,0.04349028286141079,20
29,0.8252550803420489,0.8335787408273323,0.027720889263703124,20
30,0.8110437055293616,0.819099074960054,0.03889568150334099,20
