project,primary_language,confidence,is_polyglot
AdGuardHome,JavaScript/TypeScript,1.0,False
croc,Go,1.0,False
haystack,Python,1.0,False
subquery_subql,JavaScript/TypeScript,1.0,False
termux-app,Java,0.14285714285714285,True
immutable-js,JavaScript/TypeScript,1.0,False
syncthing,Go,1.0,False
bevy,Rust,0.6666666666666666,True
redis,JavaScript/TypeScript,1.0,False
apache_superset,JavaScript/TypeScript,0.6153846153846154,True
gpt4free,JavaScript/TypeScript,1.0,False
vue-pure-admin,JavaScript/TypeScript,1.0,False
mongodb_mongo,Python,0.3333333333333333,True
nodejs_node,JavaScript/TypeScript,0.3333333333333333,True
typescript-go,JavaScript/TypeScript,0.5,True
spdlog,Unknown,0.0,False
MoneyPrinterTurbo,Unknown,0.0,False
layui,JavaScript/TypeScript,1.0,False
shardeum,JavaScript/TypeScript,1.0,False
egg,JavaScript/TypeScript,1.0,False
gorhill_uBlock,JavaScript/TypeScript,1.0,False
caddy,Go,0.6666666666666666,False
halo,JavaScript/TypeScript,0.1111111111111111,True
atuinsh_atuin,Rust,1.0,False
swoole-src,Unknown,0.0,False
jenkinsci_jenkins,JavaScript/TypeScript,0.625,True
goreplay,JavaScript/TypeScript,1.0,False
nuxt,JavaScript/TypeScript,1.0,False
mlx,Python,1.0,False
v2rayNG,Java,0.0,True
grapesjs,JavaScript/TypeScript,1.0,False
eladmin,Java,1.0,False
faiss,Unknown,0.0,False
desktop,JavaScript/TypeScript,0.7,True
modular,JavaScript/TypeScript,0.16666666666666666,True
storybookjs_storybook,JavaScript/TypeScript,1.0,False
commitlint,JavaScript/TypeScript,1.0,False
vercel_turborepo,JavaScript/TypeScript,0.0,True
aseprite,Python,1.0,False
voice-changer,JavaScript/TypeScript,1.0,False
dotenv,JavaScript/TypeScript,1.0,False
PHPMailer,Unknown,0.0,False
agno,Python,1.0,False
recommenders,Python,1.0,False
micro,Unknown,0.0,False
unocss,JavaScript/TypeScript,1.0,False
spleeter,Python,1.0,False
keepassxc,C/C++,1.0,False
go-gitea_gitea,JavaScript/TypeScript,0.6666666666666666,True
harbor,JavaScript/TypeScript,0.7,True
vue-admin-better,JavaScript/TypeScript,1.0,False
table,JavaScript/TypeScript,1.0,False
apache_echarts,JavaScript/TypeScript,1.0,False
base_node,Unknown,0.0,False
dspy,Python,1.0,False
swc-project_swc,JavaScript/TypeScript,0.18181818181818182,True
zulip_zulip,JavaScript/TypeScript,0.3333333333333333,True
hashcat,Unknown,0.0,False
nrwl_nx,JavaScript/TypeScript,0.5294117647058824,True
Avalonia,JavaScript/TypeScript,1.0,False
paperless-ngx,JavaScript/TypeScript,0.36363636363636365,True
github1s,JavaScript/TypeScript,1.0,False
vercel_next.js,JavaScript/TypeScript,0.5,True
SwitchHosts,JavaScript/TypeScript,1.0,False
Seal,Java,0.0,True
django-rest-framework,Python,1.0,False
hcengineering_platform,JavaScript/TypeScript,1.0,False
PowerToys,Unknown,0.0,False
typst,Rust,0.5,True
backstage_backstage,JavaScript/TypeScript,1.0,False
ghostty,JavaScript/TypeScript,1.0,False
ink,JavaScript/TypeScript,1.0,False
winget-cli,C/C++,1.0,False
slick,JavaScript/TypeScript,1.0,False
react-three-fiber,JavaScript/TypeScript,1.0,False
react,JavaScript/TypeScript,1.0,False
python-fire,Unknown,0.0,False
cobra,Go,1.0,False
cheerio,JavaScript/TypeScript,1.0,False
firecracker,Rust,0.4,True
textual,Python,1.0,False
codemirror5,JavaScript/TypeScript,1.0,False
preact,JavaScript/TypeScript,1.0,False
react-native,JavaScript/TypeScript,0.25,True
gin,Go,1.0,False
NewPipe,Java,0.0,True
dive,Go,1.0,False
LunarVim,Python,1.0,False
pandas,Python,1.0,False
fzf,Go,0.0,True
shadowsocks-android,Java,0.0,True
web-check,JavaScript/TypeScript,1.0,False
ILSpy,JavaScript/TypeScript,1.0,False
headscale,Go,1.0,False
cilium_cilium,Go,0.625,False
etcd,Go,1.0,False
jq,Unknown,0.0,False
codex,JavaScript/TypeScript,0.3333333333333333,True
qinglong,JavaScript/TypeScript,1.0,False
slim,Go,0.6666666666666666,False
tailscale,JavaScript/TypeScript,0.5,True
serverless,JavaScript/TypeScript,1.0,False
dotnet_aspnetcore,JavaScript/TypeScript,0.7,True
surya,Python,1.0,False
jitsi_jitsi-meet,Java,0.0,True
chakra-ui,JavaScript/TypeScript,1.0,False
babel,JavaScript/TypeScript,1.0,False
dimsemenov_PhotoSwipe,JavaScript/TypeScript,1.0,False
duckdb,Python,0.4,True
vault,JavaScript/TypeScript,0.4444444444444444,True
fairseq,Python,1.0,False
html5-boilerplate,JavaScript/TypeScript,1.0,False
whisper.cpp,Java,0.0,True
faas,Go,1.0,False
prettier,JavaScript/TypeScript,1.0,False
yjs,JavaScript/TypeScript,1.0,False
xgboost,Python,0.25,True
trix,JavaScript/TypeScript,1.0,False
flash-attention,Python,1.0,False
umami-software_umami,JavaScript/TypeScript,1.0,False
quivr,Python,1.0,False
driver.js,JavaScript/TypeScript,1.0,False
spotube,JavaScript/TypeScript,0.3333333333333333,True
gopeed,Java,0.0,True
cline,JavaScript/TypeScript,0.8,False
strapi_strapi,JavaScript/TypeScript,1.0,False
semantic-release,JavaScript/TypeScript,1.0,False
ingress-nginx,Go,0.8333333333333334,False
arthas,Java,0.1111111111111111,True
deskflow,C/C++,1.0,False
ohmyzsh,Unknown,0.0,False
rocketmq,Java,1.0,False
onnx,Python,1.0,False
editor.js,JavaScript/TypeScript,1.0,False
micropython,Python,1.0,False
agenticSeek,Python,0.4,True
lvgl,C/C++,0.3333333333333333,False
nuclei,Go,1.0,False
zoxide,Rust,1.0,False
elastic_elasticsearch,JavaScript/TypeScript,0.0,True
requests,Python,1.0,False
spacedrive,JavaScript/TypeScript,0.0,True
shellcheck,Unknown,0.0,False
ui,JavaScript/TypeScript,1.0,False
gethomepage_homepage,JavaScript/TypeScript,0.75,False
fmt,Unknown,0.0,False
btop,Unknown,0.0,False
puppeteer,JavaScript/TypeScript,1.0,False
WSL,Unknown,0.0,False
ChromeAppHeroes,JavaScript/TypeScript,1.0,False
fuels-ts,JavaScript/TypeScript,0.7857142857142857,True
QuickLook,Unknown,0.0,False
casbin,Go,1.0,False
certbot,Python,1.0,False
rrweb,JavaScript/TypeScript,1.0,False
zstd,Unknown,0.0,False
fd,Rust,1.0,False
monolog,Unknown,0.0,False
PicGo,JavaScript/TypeScript,1.0,False
langgenius_dify,JavaScript/TypeScript,0.4444444444444444,True
koodo-reader,JavaScript/TypeScript,1.0,False
php-src,Unknown,0.0,False
gogs,Go,1.0,False
linux-command,JavaScript/TypeScript,1.0,False
dragonfly,Python,1.0,False
composio,JavaScript/TypeScript,0.36363636363636365,True
dgraph,JavaScript/TypeScript,0.0,True
devise,Unknown,0.0,False
classnames,JavaScript/TypeScript,1.0,False
meteor_meteor,JavaScript/TypeScript,1.0,False
zxing,Java,1.0,False
kitty,Python,1.0,False
ruby,Rust,0.0,True
DeepSpeech,JavaScript/TypeScript,0.0,True
tabler,JavaScript/TypeScript,1.0,False
FlClash,Java,0.0,True
bokeh,Python,0.3333333333333333,True
beego,Unknown,0.0,False
windows,Unknown,0.0,False
Qwen,Unknown,0.0,False
git-extras,Unknown,0.0,False
fish-speech,Python,1.0,False
TrafficMonitor,Unknown,0.0,False
docs,JavaScript/TypeScript,1.0,False
Chart.js,JavaScript/TypeScript,1.0,False
immich-app_immich,JavaScript/TypeScript,0.3333333333333333,True
rollup,JavaScript/TypeScript,0.0,True
vuetify,JavaScript/TypeScript,1.0,False
sing-box,Go,1.0,False
biome,Rust,0.18181818181818182,True
v2rayN,Unknown,0.0,False
frp,JavaScript/TypeScript,0.25,True
Scrapegraph-ai,Python,1.0,False
node,Unknown,0.0,False
the-swift-programming-language-in-chinese,JavaScript/TypeScript,1.0,False
TryGhost_Ghost,JavaScript/TypeScript,1.0,False
maui,Java,0.0,True
xyflow,JavaScript/TypeScript,1.0,False
CyberChef,JavaScript/TypeScript,1.0,False
guzzle,Unknown,0.0,False
ionic-team_ionic-framework,JavaScript/TypeScript,1.0,False
gleam,Rust,1.0,False
socket.io,JavaScript/TypeScript,1.0,False
filament,Java,0.3333333333333333,True
drawdb,JavaScript/TypeScript,1.0,False
Bilibili-Evolved,JavaScript/TypeScript,1.0,False
react-native-vector-icons,JavaScript/TypeScript,0.5,True
conductor,Java,0.1111111111111111,True
HumanSignal_label-studio,JavaScript/TypeScript,0.4444444444444444,True
vueuse,JavaScript/TypeScript,1.0,False
gorm,Go,1.0,False
ungoogled-chromium,Unknown,0.0,False
jgthms_bulma,JavaScript/TypeScript,1.0,False
rails,JavaScript/TypeScript,0.0,True
czkawka,Rust,1.0,False
celery,Python,1.0,False
LibreChat,JavaScript/TypeScript,1.0,False
sanic,Python,1.0,False
hey,JavaScript/TypeScript,1.0,False
DeepSpeed,Python,1.0,False
gin-vue-admin,JavaScript/TypeScript,1.0,False
explosion_spaCy,JavaScript/TypeScript,0.375,True
axum,Rust,1.0,False
Sunshine,JavaScript/TypeScript,0.8,False
MinerU,Python,1.0,False
axios,JavaScript/TypeScript,1.0,False
docker-elk,Unknown,0.0,False
tauri,JavaScript/TypeScript,0.3333333333333333,True
wagtail,Python,0.3333333333333333,True
shadPS4,C/C++,1.0,False
1Panel,JavaScript/TypeScript,0.5,True
FiraCode,JavaScript/TypeScript,1.0,False
google-research_google-research,JavaScript/TypeScript,0.0,True
wasmer,Rust,1.0,False
tdesktop,Python,1.0,False
tensorflow,Java,0.0,True
gradio,JavaScript/TypeScript,0.7272727272727273,True
antlr4,JavaScript/TypeScript,0.625,True
vnpy,Python,1.0,False
phoenix,JavaScript/TypeScript,1.0,False
stats,Swift,1.0,False
vant,JavaScript/TypeScript,1.0,False
actual,JavaScript/TypeScript,1.0,False
ImHex,C/C++,1.0,False
netbox,Python,0.4,True
mifi_lossless-cut,JavaScript/TypeScript,1.0,False
pnpm,JavaScript/TypeScript,1.0,False
yolov5,Python,1.0,False
Docker-OSX,Unknown,0.0,False
NervJS_taro,JavaScript/TypeScript,0.45454545454545453,True
act,Go,0.6666666666666666,False
AdminLTE,JavaScript/TypeScript,1.0,False
swagger-ui,JavaScript/TypeScript,1.0,False
uikit,JavaScript/TypeScript,1.0,False
jan,JavaScript/TypeScript,0.6666666666666666,True
jquery_jquery,JavaScript/TypeScript,1.0,False
openpilot,Python,1.0,False
harness,JavaScript/TypeScript,0.7,True
OpenAPITools_openapi-generator,Java,0.42857142857142855,True
kafka,Java,0.3333333333333333,True
rocksdb,Java,1.0,False
jsdom,JavaScript/TypeScript,1.0,False
cli,Go,1.0,False
element-plus,JavaScript/TypeScript,1.0,False
sqlitebrowser,Unknown,0.0,False
windows95,JavaScript/TypeScript,1.0,False
neovim,C/C++,1.0,False
rancher,Go,1.0,False
angular-cli,JavaScript/TypeScript,1.0,False
honojs_hono,JavaScript/TypeScript,1.0,False
webtorrent,JavaScript/TypeScript,1.0,False
apache_airflow,JavaScript/TypeScript,0.1111111111111111,True
prometheus,JavaScript/TypeScript,0.375,True
telescope.nvim,Unknown,0.0,False
freqtrade,Python,1.0,False
Rectangle,Unknown,0.0,False
slint,Rust,0.07692307692307693,True
draggable,JavaScript/TypeScript,1.0,False
kong,Rust,1.0,False
saleor,Python,0.5714285714285714,True
coc.nvim,JavaScript/TypeScript,1.0,False
pydantic,Python,1.0,False
mjml,JavaScript/TypeScript,1.0,False
bruno,JavaScript/TypeScript,1.0,False
mkdocs-material,JavaScript/TypeScript,0.5,True
zig,Unknown,0.0,False
dashy,JavaScript/TypeScript,1.0,False
outline,JavaScript/TypeScript,1.0,False
gitleaks,Go,0.6666666666666666,False
Jobs_Applier_AI_Agent_AIHawk,Unknown,0.0,False
gson,Java,1.0,False
mlc-llm,Java,0.0,True
moby_moby,Go,1.0,False
docusaurus,JavaScript/TypeScript,1.0,False
void,JavaScript/TypeScript,0.0,True
streamlit,JavaScript/TypeScript,0.3333333333333333,True
filebrowser,JavaScript/TypeScript,0.45454545454545453,True
CymChad_BaseRecyclerViewAdapterHelper,Java,0.0,True
ice,JavaScript/TypeScript,1.0,False
brew,Ruby,1.0,False
webpack,JavaScript/TypeScript,1.0,False
AnotherRedisDesktopManager,JavaScript/TypeScript,1.0,False
slidev,JavaScript/TypeScript,1.0,False
tiptap,JavaScript/TypeScript,1.0,False
Leaflet,JavaScript/TypeScript,1.0,False
apollographql_apollo-client,JavaScript/TypeScript,1.0,False
ArchiveBox,Python,0.625,True
cursor-free-vip,Unknown,0.0,False
parcel,JavaScript/TypeScript,0.5714285714285714,True
mermaid,JavaScript/TypeScript,1.0,False
osquery,Python,1.0,False
json-server,JavaScript/TypeScript,1.0,False
teambit_bit,JavaScript/TypeScript,1.0,False
disruptor,Java,0.0,True
postiz-app,JavaScript/TypeScript,1.0,False
iced,Rust,1.0,False
crewAI,Python,1.0,False
chatwoot_chatwoot,JavaScript/TypeScript,0.5,True
react-navigation,JavaScript/TypeScript,1.0,False
n8n-io_n8n,JavaScript/TypeScript,0.7857142857142857,True
fingerprintjs,JavaScript/TypeScript,1.0,False
scrapy,Python,1.0,False
canal,Java,0.625,True
frigate,Python,0.14285714285714285,True
go-micro,Go,1.0,False
NaiboWang_EasySpider,JavaScript/TypeScript,1.0,False
transformers,Python,0.6666666666666666,False
graal,Python,0.0,True
portainer,JavaScript/TypeScript,0.625,True
linera-protocol,Rust,0.18181818181818182,True
shap,Python,0.5,True
actix-web,Rust,0.7777777777777778,False
mrdoob_three.js,JavaScript/TypeScript,1.0,False
flow,JavaScript/TypeScript,1.0,False
OpenManus,JavaScript/TypeScript,0.6666666666666666,False
spring-projects_spring-boot,Java,0.45454545454545453,True
LocalAI,Unknown,0.0,False
PowerShell_PowerShell,Unknown,0.0,False
heroui-inc_heroui,JavaScript/TypeScript,1.0,False
video.js,JavaScript/TypeScript,1.0,False
Perplexica,JavaScript/TypeScript,1.0,False
keras,Python,1.0,False
yazi,Rust,0.5,True
etherpad-lite,JavaScript/TypeScript,1.0,False
Karabiner-Elements,JavaScript/TypeScript,0.6,False
Bend,Rust,1.0,False
Aerial,Swift,1.0,False
colima,Go,1.0,False
llvm_llvm-project,JavaScript/TypeScript,0.375,True
reduxjs_redux,JavaScript/TypeScript,1.0,False
sst,JavaScript/TypeScript,0.5,True
pyscript,JavaScript/TypeScript,0.16666666666666666,True
rustdesk,Rust,0.0,True
fastify,JavaScript/TypeScript,1.0,False
maybe,JavaScript/TypeScript,0.0,True
flutter_flutter,Java,0.0,True
jeecgboot_JeecgBoot,JavaScript/TypeScript,0.4444444444444444,True
LLaMA-Factory,Python,1.0,False
lexical,JavaScript/TypeScript,1.0,False
lerna,JavaScript/TypeScript,1.0,False
minio,Go,1.0,False
LLMs-from-scratch,Python,1.0,False
incubator-seata,Java,0.1111111111111111,True
blueprint,JavaScript/TypeScript,1.0,False
vapor,Unknown,0.0,False
