project_name,total_commits,top_contributor_commits,dominance,num_contributors
1Panel,707,347,0.4908,79
3x-ui,451,214,0.4745,113
APIJSON,298,279,0.9362,82
AdGuardHome,1145,316,0.276,104
AdminLTE,992,524,0.5282,116
Aerial,271,222,0.8192,60
AgentGPT,391,175,0.4476,72
Alamofire,193,126,0.6528,279
AnotherRedisDesktopManager,220,217,0.9864,39
Anuken_Mindustry,9064,5145,0.5676,722
Apktool,472,279,0.5911,117
Apollo-11,31,29,0.9355,200
AppFlowy-IO_AppFlowy,3114,1349,0.4332,375
ArchiveBox,959,847,0.8832,136
Avalonia,1781,390,0.219,532
BabylonJS_Babylon.js,7318,1904,0.2602,657
Bend,289,167,0.5779,47
Bilibili-Evolved,1979,1675,0.8464,71
BitNet,2,1,0.5,14
Budibase_budibase,16308,2912,0.1786,119
CasaOS,187,83,0.4439,26
Catch2,144,101,0.7014,418
Chart.js,605,156,0.2579,515
Charts,93,48,0.5161,186
Chat2DB,1103,402,0.3645,47
ChatTTS,38,33,0.8684,56
ChromeAppHeroes,145,135,0.931,4
Clash-for-Windows_Chinese,35,22,0.6286,3
CodeEdit,266,112,0.4211,141
ColossalAI,418,158,0.378,198
ComfyUI,216,142,0.6574,226
CopilotKit_CopilotKit,1552,322,0.2075,117
CyberChef,1616,1001,0.6194,201
CymChad_BaseRecyclerViewAdapterHelper,328,105,0.3201,48
Dapper,225,120,0.5333,225
Deep-Live-Cam,27,9,0.3333,52
DeepSeek-V3,4,1,0.25,26
DeepSpeech,722,262,0.3629,150
DeepSpeed,431,124,0.2877,391
DoKit,600,231,0.385,140
Docker-OSX,236,187,0.7924,55
Dokploy_dokploy,1597,1161,0.727,232
Ehviewer_CN_SXJ,186,145,0.7796,16
ExplorerPatcher,42,22,0.5238,13
FFmpeg,83,14,0.1687,2097
FastChat,137,72,0.5255,243
FastGPT,936,693,0.7404,144
Files,301,120,0.3987,298
FiraCode,27,20,0.7407,128
FlClash,131,130,0.9924,2
Flowise,1133,751,0.6628,239
Folo,1550,597,0.3852,140
FreeTubeApp_FreeTube,7626,1029,0.1349,659
GPT-SoVITS,110,45,0.4091,97
GSAP,104,52,0.5,3
GSYVideoPlayer,341,313,0.9179,25
Genesis,84,38,0.4524,63
GoogleChrome_lighthouse,2495,562,0.2253,364
GyulyVGC_sniffnet,817,588,0.7197,69
HanLP,102,99,0.9706,49
HandBrake,693,272,0.3925,141
HikariCP,568,520,0.9155,158
HumanSignal_label-studio,2825,1138,0.4028,149
Hyprland,304,188,0.6184,487
ILSpy,352,141,0.4006,148
IOPaint,137,122,0.8905,23
Ice,40,40,1.0,12
ImHex,709,540,0.7616,157
Infisical_infisical,3830,1106,0.2888,219
Inquirer.js,770,648,0.8416,239
Iosevka,2299,2059,0.8956,80
Jobs_Applier_AI_Agent_AIHawk,2,2,1.0,9
KaTeX,632,112,0.1772,171
Karabiner-Elements,681,659,0.9677,52
Kingfisher,239,232,0.9707,236
Kong_insomnia,2423,847,0.3496,341
LLMs-from-scratch,106,88,0.8302,48
LLaMA-Factory,398,291,0.7312,205
Langchain-Chatchat,266,84,0.3158,174
LazyVim,137,76,0.5547,282
Leaflet,670,291,0.4343,944
LibreChat,975,655,0.6718,222
LightRAG,293,134,0.4573,164
LocalAI,1688,1400,0.8294,139
LunarVim,290,85,0.2931,313
MMKV,230,215,0.9348,54
MPAndroidChart,247,195,0.7895,80
MagicMirror,1452,642,0.4421,349
Magisk,2030,826,0.4069,318
MediaCrawler,13,9,0.6923,56
MetaGPT,827,147,0.1778,151
MinerU,667,390,0.5847,63
MiniCPM-o,13,5,0.3846,40
Mobile-Security-Framework-MobSF,547,411,0.7514,97
MoneyPrinterTurbo,139,95,0.6835,32
NaiboWang_EasySpider,358,333,0.9302,9
NationalSecurityAgency_ghidra,1141,498,0.4365,362
NativeScript_NativeScript,2211,341,0.1542,256
NervJS_taro,4115,650,0.158,711
NewPipe,7019,573,0.0816,946
NextChat,517,185,0.3578,286
NginxProxyManager_nginx-proxy-manager,846,283,0.3345,236
NvChad,36,15,0.4167,196
OCRmyPDF,539,493,0.9147,111
OI-wiki,1303,368,0.2824,1012
OSX-KVM,8,7,0.875,14
OmniParser,12,8,0.6667,7
OpenAPI-Specification,918,216,0.2353,239
OpenAPITools_openapi-generator,6655,2816,0.4231,3300
OpenBB-finance_OpenBB,2282,444,0.1946,253
OpenClash,235,222,0.9447,77
OpenHands,1450,449,0.3097,345
OpenManus,116,24,0.2069,60
OpenVoice,1,1,1.0,14
PDFMathTranslate,270,140,0.5185,54
PHPMailer,334,226,0.6766,287
PaddleOCR,1150,206,0.1791,259
Perplexica,121,112,0.9256,33
PicGo,201,197,0.9801,19
PostHog_posthog,6330,777,0.1227,351
