project_name,total_contributors,active_contributors,participation_rate
1Panel,79,11,0.1392
3x-ui,113,24,0.2124
APIJSON,82,4,0.0488
AdGuardHome,104,22,0.2115
AdminLTE,116,8,0.069
Aerial,60,6,0.1
AgentGPT,72,11,0.1528
Alamofire,279,4,0.0143
AnotherRedisDesktopManager,39,1,0.0256
Anuken_Mindustry,722,304,0.4211
Apktool,117,11,0.094
Apollo-11,200,1,0.005
AppFlowy-IO_AppFlowy,375,84,0.224
ArchiveBox,136,15,0.1103
Avalonia,532,52,0.0977
BabylonJS_Babylon.js,657,112,0.1705
Bend,47,12,0.2553
Bilibili-Evolved,71,13,0.1831
BitNet,14,0,0.0
Budibase_budibase,119,49,0.4118
CasaOS,26,6,0.2308
Catch2,418,11,0.0263
Chart.js,515,20,0.0388
Charts,186,4,0.0215
Chat2DB,47,18,0.383
ChatTTS,56,2,0.0357
ChromeAppHeroes,4,2,0.5
Clash-for-Windows_Chinese,3,2,0.6667
CodeEdit,141,15,0.1064
ColossalAI,198,28,0.1414
ComfyUI,226,7,0.031
CopilotKit_CopilotKit,117,20,0.1709
CyberChef,201,61,0.3035
CymChad_BaseRecyclerViewAdapterHelper,48,14,0.2917
Dapper,225,8,0.0356
Deep-Live-Cam,52,4,0.0769
DeepSeek-V3,26,0,0.0
DeepSpeech,150,16,0.1067
DeepSpeed,391,26,0.0665
DoKit,140,36,0.2571
Docker-OSX,55,8,0.1455
Dokploy_dokploy,232,58,0.25
Ehviewer_CN_SXJ,16,6,0.375
ExplorerPatcher,13,3,0.2308
FFmpeg,2097,13,0.0062
FastChat,243,8,0.0329
FastGPT,144,24,0.1667
Files,298,20,0.0671
FiraCode,128,1,0.0078
FlClash,2,1,0.5
Flowise,239,46,0.1925
Folo,140,26,0.1857
FreeTubeApp_FreeTube,659,339,0.5144
GPT-SoVITS,97,11,0.1134
GSAP,3,2,0.6667
GSYVideoPlayer,25,3,0.12
Genesis,63,10,0.1587
GoogleChrome_lighthouse,364,53,0.1456
GyulyVGC_sniffnet,69,9,0.1304
HanLP,49,1,0.0204
HandBrake,141,14,0.0993
HikariCP,158,10,0.0633
HumanSignal_label-studio,149,41,0.2752
Hyprland,487,12,0.0246
ILSpy,148,12,0.0811
IOPaint,23,2,0.087
Ice,12,1,0.0833
ImHex,157,13,0.0828
Infisical_infisical,219,54,0.2466
Inquirer.js,239,13,0.0544
Iosevka,80,8,0.1
Jobs_Applier_AI_Agent_AIHawk,9,1,0.1111
KaTeX,171,18,0.1053
Karabiner-Elements,52,5,0.0962
Kingfisher,236,2,0.0085
