project_name,total_technologies,orphaned_count,endangered_count,orphaned_rate,endangered_rate,at_risk_rate
1Panel,15,0,0,0.0,0.0,0.0
3x-ui,7,0,0,0.0,0.0,0.0
APIJSON,10,1,0,0.1,0.0,0.1
AdGuardHome,15,0,0,0.0,0.0,0.0
AdminLTE,12,1,0,0.0833,0.0,0.0833
Aerial,3,0,0,0.0,0.0,0.0
AgentGPT,16,0,0,0.0,0.0,0.0
Alamofire,6,0,0,0.0,0.0,0.0
AnotherRedisDesktopManager,6,0,0,0.0,0.0,0.0
Anuken_Mindustry,8,1,0,0.125,0.0,0.125
Apktool,9,0,0,0.0,0.0,0.0
Apollo-11,4,0,0,0.0,0.0,0.0
AppFlowy-IO_AppFlowy,21,0,0,0.0,0.0,0.0
ArchiveBox,18,4,0,0.2222,0.0,0.2222
Avalonia,14,1,0,0.0714,0.0,0.0714
BabylonJS_Babylon.js,12,0,0,0.0,0.0,0.0
Bend,8,1,0,0.125,0.0,0.125
Bilibili-Evolved,7,0,0,0.0,0.0,0.0
BitNet,0,0,0,0.0,0.0,0.0
Budibase_budibase,26,3,1,0.1154,0.0385,0.1538
CasaOS,7,1,0,0.1429,0.0,0.1429
Catch2,6,0,0,0.0,0.0,0.0
Chart.js,15,0,0,0.0,0.0,0.0
Charts,3,0,0,0.0,0.0,0.0
Chat2DB,10,0,0,0.0,0.0,0.0
ChatTTS,1,0,0,0.0,0.0,0.0
ChromeAppHeroes,4,0,0,0.0,0.0,0.0
Clash-for-Windows_Chinese,8,7,0,0.875,0.0,0.875
CodeEdit,8,0,0,0.0,0.0,0.0
ColossalAI,7,1,0,0.1429,0.0,0.1429
ComfyUI,5,0,0,0.0,0.0,0.0
CopilotKit_CopilotKit,19,0,0,0.0,0.0,0.0
CyberChef,8,0,0,0.0,0.0,0.0
CymChad_BaseRecyclerViewAdapterHelper,6,0,0,0.0,0.0,0.0
Dapper,4,0,0,0.0,0.0,0.0
Deep-Live-Cam,0,0,0,0.0,0.0,0.0
DeepSeek-V3,1,0,0,0.0,0.0,0.0
DeepSpeech,12,0,0,0.0,0.0,0.0
DeepSpeed,6,0,0,0.0,0.0,0.0
DoKit,9,0,0,0.0,0.0,0.0
Docker-OSX,5,1,0,0.2,0.0,0.2
Dokploy_dokploy,13,1,0,0.0769,0.0,0.0769
Ehviewer_CN_SXJ,6,0,0,0.0,0.0,0.0
ExplorerPatcher,2,0,0,0.0,0.0,0.0
FFmpeg,1,0,0,0.0,0.0,0.0
FastChat,6,1,0,0.1667,0.0,0.1667
FastGPT,14,0,0,0.0,0.0,0.0
Files,7,0,0,0.0,0.0,0.0
FiraCode,4,0,0,0.0,0.0,0.0
FlClash,8,2,0,0.25,0.0,0.25
Flowise,11,1,0,0.0909,0.0,0.0909
Folo,12,0,0,0.0,0.0,0.0
FreeTubeApp_FreeTube,12,0,0,0.0,0.0,0.0
GPT-SoVITS,4,0,0,0.0,0.0,0.0
GSAP,2,1,0,0.5,0.0,0.5
GSYVideoPlayer,8,0,0,0.0,0.0,0.0
Genesis,5,0,0,0.0,0.0,0.0
GoogleChrome_lighthouse,11,1,0,0.0909,0.0,0.0909
GyulyVGC_sniffnet,7,0,0,0.0,0.0,0.0
HanLP,4,2,0,0.5,0.0,0.5
HandBrake,5,1,0,0.2,0.0,0.2
HikariCP,5,0,0,0.0,0.0,0.0
HumanSignal_label-studio,21,0,0,0.0,0.0,0.0
Hyprland,4,0,0,0.0,0.0,0.0
ILSpy,9,0,0,0.0,0.0,0.0
IOPaint,9,2,0,0.2222,0.0,0.2222
Ice,4,4,0,1.0,0.0,1.0
ImHex,8,0,0,0.0,0.0,0.0
Infisical_infisical,18,3,0,0.1667,0.0,0.1667
Inquirer.js,13,0,0,0.0,0.0,0.0
Iosevka,7,0,0,0.0,0.0,0.0
Jobs_Applier_AI_Agent_AIHawk,3,3,0,1.0,0.0,1.0
KaTeX,16,0,0,0.0,0.0,0.0
Karabiner-Elements,9,0,0,0.0,0.0,0.0
Kingfisher,5,0,0,0.0,0.0,0.0
Kong_insomnia,18,2,0,0.1111,0.0,0.1111
