technology,total_projects,orphaned_count,endangered_count,at_risk_count,orphaned_rate,endangered_rate,at_risk_rate
vscode,365,37,0,37,0.1014,0.0,0.1014
npm,489,30,1,31,0.0613,0.002,0.0634
github,413,25,0,25,0.0605,0.0,0.0605
github funding,475,22,1,23,0.0463,0.0021,0.0484
github-action,1003,18,3,21,0.0179,0.003,0.0209
travis,626,21,0,21,0.0335,0.0,0.0335
appveyor,232,19,0,19,0.0819,0.0,0.0819
github issues,655,18,0,18,0.0275,0.0,0.0275
bower,123,15,3,18,0.122,0.0244,0.1463
jekyll,112,16,0,16,0.1429,0.0,0.1429
nodejs,674,12,2,14,0.0178,0.003,0.0208
docker,591,11,1,12,0.0186,0.0017,0.0203
tsconfig,461,9,1,10,0.0195,0.0022,0.0217
eslint,248,9,1,10,0.0363,0.004,0.0403
prettier,129,9,0,9,0.0698,0.0,0.0698
docker compose,295,9,0,9,0.0305,0.0,0.0305
codecov,209,8,0,8,0.0383,0.0,0.0383
circleci,169,8,0,8,0.0473,0.0,0.0473
dependabot,456,6,0,6,0.0132,0.0,0.0132
fuel,29,6,0,6,0.2069,0.0,0.2069
azure pipelines,105,6,0,6,0.0571,0.0,0.0571
pnpm,176,6,0,6,0.0341,0.0,0.0341
django,63,6,0,6,0.0952,0.0,0.0952
gitpod,93,6,0,6,0.0645,0.0,0.0645
pre-commit,163,6,0,6,0.0368,0.0,0.0368
github config,39,5,0,5,0.1282,0.0,0.1282
cargo,148,5,0,5,0.0338,0.0,0.0338
mysql,12,5,0,5,0.4167,0.0,0.4167
maven,103,5,0,5,0.0485,0.0,0.0485
poetry,223,4,0,4,0.0179,0.0,0.0179
renovate,127,4,0,4,0.0315,0.0,0.0315
devcontainer,178,4,0,4,0.0225,0.0,0.0225
deepsource,40,4,0,4,0.1,0.0,0.1
snapscraft,53,4,0,4,0.0755,0.0,0.0755
swagger,42,3,0,3,0.0714,0.0,0.0714
turborepo,54,3,0,3,0.0556,0.0,0.0556
cypress,72,3,0,3,0.0417,0.0,0.0417
vercel,85,3,0,3,0.0353,0.0,0.0353
tox,71,3,0,3,0.0423,0.0,0.0423
codeclimate,42,3,0,3,0.0714,0.0,0.0714
markdownlint,62,3,0,3,0.0484,0.0,0.0484
netlify,88,3,0,3,0.0341,0.0,0.0341
android,115,2,0,2,0.0174,0.0,0.0174
nixpacks,3,2,0,2,0.6667,0.0,0.6667
crowdin,46,2,0,2,0.0435,0.0,0.0435
cmake,17,2,0,2,0.1176,0.0,0.1176
prometheus,40,2,0,2,0.05,0.0,0.05
golangci-lint,94,2,0,2,0.0213,0.0,0.0213
cirrus,45,2,0,2,0.0444,0.0,0.0444
mocha,27,2,0,2,0.0741,0.0,0.0741
nginx,84,2,0,2,0.0238,0.0,0.0238
codebuild,11,2,0,2,0.1818,0.0,0.1818
log4j,30,2,0,2,0.0667,0.0,0.0667
flyio,14,2,0,2,0.1429,0.0,0.1429
postgresql,5,1,0,1,0.2,0.0,0.2
knip,8,1,0,1,0.125,0.0,0.125
typos,38,1,0,1,0.0263,0.0,0.0263
buf,22,1,0,1,0.0455,0.0,0.0455
cross,20,1,0,1,0.05,0.0,0.05
chart testing,6,1,0,1,0.1667,0.0,0.1667
mkdocs,87,1,0,1,0.0115,0.0,0.0115
hadoop hbase,2,1,0,1,0.5,0.0,0.5
elasticsearch,6,1,0,1,0.1667,0.0,0.1667
drone,33,1,0,1,0.0303,0.0,0.0303
buildkite,9,1,0,1,0.1111,0.0,0.1111
helm,68,1,0,1,0.0147,0.0,0.0147
rustfmt,84,1,0,1,0.0119,0.0,0.0119
stylelint,30,1,0,1,0.0333,0.0,0.0333
lerna,93,1,0,1,0.0108,0.0,0.0108
