account,id,name,full_name,owner_login,html_url,clone_url,ssh_url,description,homepage,topics,private,visibility,fork,archived,disabled,is_template,created_at,updated_at,pushed_at,size_kb,language,default_branch,stargazers_count,watchers_count,forks_count,open_issues_count,license_spdx_id,license_name,latest_commit_sha,latest_commit_date,latest_commit_message,latest_commit_author
spotify,71171131,android-auth,spotify/android-auth,spotify,https://github.com/spotify/android-auth,https://github.com/spotify/android-auth.git,git@github.com:spotify/android-auth.git,Spotify authentication and authorization for Android. Part of the Spotify Android SDK.,https://github.com/spotify/android-sdk,android;spotify;spotify-authentication,False,public,False,False,False,False,2016-10-17T18:58:26Z,2026-01-19T03:12:25Z,2025-12-22T14:29:31Z,1209,Java,master,147,147,69,23,Apache-2.0,Apache License 2.0,4be19f9619f0553a6a93488a3b4716f471a0b4d2,2025-12-22T14:29:31Z,Merge pull request #104 from antonholmberg/use-github-actions-for-tests,Anton Holmberg
spotify,9155431,annoy,spotify/annoy,spotify,https://github.com/spotify/annoy,https://github.com/spotify/annoy.git,git@github.com:spotify/annoy.git,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk,,approximate-nearest-neighbor-search;c-plus-plus;golang;locality-sensitive-hashing;lua;nearest-neighbor-search;python,False,public,False,False,False,False,2013-04-01T20:29:40Z,2026-01-23T01:27:03Z,2025-10-29T14:08:37Z,2034,C++,main,14135,14135,1220,74,Apache-2.0,Apache License 2.0,379f744667aba6b40ba3db8a07678df173a88f74,2025-10-29T14:08:37Z,Merge pull request #680 from benglewis/add-python-3.13-support,Erik Bernhardsson
spotify,488142653,basic-pitch,spotify/basic-pitch,spotify,https://github.com/spotify/basic-pitch,https://github.com/spotify/basic-pitch.git,git@github.com:spotify/basic-pitch.git,A lightweight yet powerful audio-to-MIDI converter with pitch bend detection,https://basicpitch.io,audio;lightweight;machine-learning;midi;music;pitch-detection;polyphonic;python;transcription;typescript,False,public,False,False,False,False,2022-05-03T09:10:03Z,2026-01-26T06:02:26Z,2025-11-13T14:40:46Z,289341,Python,main,4613,4613,414,50,Apache-2.0,Apache License 2.0,fa5997af0a8210982619003269994a1be25eddf3,2025-11-13T14:40:45Z,"Update mirdata, add local index fixtures (#185)",Pierre Thary
spotify,348120266,confidence,spotify/confidence,spotify,https://github.com/spotify/confidence,https://github.com/spotify/confidence.git,git@github.com:spotify/confidence.git,,,,False,public,False,False,False,False,2021-03-15T20:56:40Z,2026-01-22T18:35:29Z,2026-01-13T16:10:40Z,9749,Python,master,280,280,32,11,Apache-2.0,Apache License 2.0,d6dd40cc37ddcaf1dbded3e34cb3cf10fcd19a42,2026-01-13T16:10:40Z,Merge pull request #113 from elbersb/ruff,Benjamin Elbers
spotify,1044268954,confidence-resolver,spotify/confidence-resolver,spotify,https://github.com/spotify/confidence-resolver,https://github.com/spotify/confidence-resolver.git,git@github.com:spotify/confidence-resolver.git,Flag Resolvers for Confidence,https://confidence.spotify.com,,False,public,False,False,False,False,2025-08-25T12:37:08Z,2026-01-23T13:10:32Z,2026-01-26T04:54:36Z,14590,Rust,main,5,5,3,7,Apache-2.0,Apache License 2.0,e40505cd202627b0ad1647c504b661629c534c45,2026-01-23T13:10:27Z,docs: add openfeature dep to installation instructions (#231),Nicklas Lundin
spotify,627816445,confidence-sdk-android,spotify/confidence-sdk-android,spotify,https://github.com/spotify/confidence-sdk-android,https://github.com/spotify/confidence-sdk-android.git,git@github.com:spotify/confidence-sdk-android.git,,,,False,public,False,False,False,False,2023-04-14T09:05:25Z,2025-11-11T12:28:12Z,2025-10-14T15:28:00Z,1680,Kotlin,main,11,11,1,1,Apache-2.0,Apache License 2.0,46812dbcaa16645dd5b83fd44d2297246348693c,2025-10-14T15:27:46Z,chore(main): release 0.6.2 (#226),github-actions[bot]
spotify,1009750228,confidence-sdk-demos,spotify/confidence-sdk-demos,spotify,https://github.com/spotify/confidence-sdk-demos,https://github.com/spotify/confidence-sdk-demos.git,git@github.com:spotify/confidence-sdk-demos.git,,,,False,public,False,False,False,False,2025-06-27T16:41:47Z,2025-09-24T07:29:01Z,2025-11-05T10:20:18Z,170,TypeScript,main,0,0,0,3,Apache-2.0,Apache License 2.0,49f647f5b92559056b72a52cd638b13c5168be0d,2025-09-24T07:28:56Z,feat: add Java Spring Boot API demo with Confidence integration (#4),Nicklas Lundin
spotify,1029100865,confidence-sdk-dotnet,spotify/confidence-sdk-dotnet,spotify,https://github.com/spotify/confidence-sdk-dotnet,https://github.com/spotify/confidence-sdk-dotnet.git,git@github.com:spotify/confidence-sdk-dotnet.git,,,,False,public,False,False,False,False,2025-07-30T14:20:12Z,2025-10-03T12:23:58Z,2025-10-03T12:24:09Z,786,C#,main,1,1,1,6,Apache-2.0,Apache License 2.0,74a2fb26b2a41f0945c7c534915213c0e5b7da82,2025-10-03T12:23:53Z,feat: align Unity SDK with OpenFeature static-context paradigm (#28),Nicklas Lundin
spotify,821293437,confidence-sdk-flutter,spotify/confidence-sdk-flutter,spotify,https://github.com/spotify/confidence-sdk-flutter,https://github.com/spotify/confidence-sdk-flutter.git,git@github.com:spotify/confidence-sdk-flutter.git,,,,False,public,False,False,False,False,2024-06-28T08:12:10Z,2026-01-23T09:47:20Z,2026-01-23T09:47:26Z,231,Dart,main,1,1,1,0,Apache-2.0,Apache License 2.0,0da6e8a061b64edc6b789dca83605a3b2c3b7e1d,2026-01-23T09:47:15Z,chore(main): release confidence_flutter_sdk 0.2.1 (#56),github-actions[bot]
spotify,686101427,confidence-sdk-go,spotify/confidence-sdk-go,spotify,https://github.com/spotify/confidence-sdk-go,https://github.com/spotify/confidence-sdk-go.git,git@github.com:spotify/confidence-sdk-go.git,,,,False,public,False,False,False,False,2023-09-01T18:42:50Z,2025-12-13T18:22:11Z,2025-10-15T10:06:41Z,164,Go,main,3,3,2,1,Apache-2.0,Apache License 2.0,ce9f7144911f386302f9e1efb31accf6f14abe3f,2025-10-15T10:06:26Z,chore(main): release 0.4.6 (#82),github-actions[bot]
