account,id,name,full_name,owner_login,html_url,clone_url,ssh_url,description,homepage,topics,private,visibility,fork,archived,disabled,is_template,created_at,updated_at,pushed_at,size_kb,language,default_branch,stargazers_count,watchers_count,forks_count,open_issues_count,license_spdx_id,license_name,latest_commit_sha,latest_commit_date,latest_commit_message,latest_commit_author
spotify,183337524,.github,spotify/.github,spotify,https://github.com/spotify/.github,https://github.com/spotify/.github.git,git@github.com:spotify/.github.git,,,,False,public,False,False,False,False,2019-04-25T02:03:08Z,2022-10-06T13:48:28Z,2022-10-06T13:48:24Z,5,,master,0,0,5,0,,,9e135dd33502942489316a6e13670ec4ca7f0223,2022-10-06T13:48:24Z,Create catalog-info.yaml,Per Ploug
spotify,118803770,aioshumway,spotify/aioshumway,spotify,https://github.com/spotify/aioshumway,https://github.com/spotify/aioshumway.git,git@github.com:spotify/aioshumway.git,An asyncio-supported micro metrics framework for FFWD,,,False,public,False,True,False,False,2018-01-24T18:17:17Z,2023-01-28T08:02:43Z,2021-06-29T18:03:39Z,26,Python,master,3,3,1,0,Apache-2.0,Apache License 2.0,d4c078f66c544b064cc04be86d5e88ef73a9c5da,2021-06-29T17:59:49Z,Merge branch 'v1.0.1',Danielle Zephyr Malament
spotify,71171131,android-auth,spotify/android-auth,spotify,https://github.com/spotify/android-auth,https://github.com/spotify/android-auth.git,git@github.com:spotify/android-auth.git,Spotify authentication and authorization for Android. Part of the Spotify Android SDK.,https://github.com/spotify/android-sdk,android;spotify;spotify-authentication,False,public,False,False,False,False,2016-10-17T18:58:26Z,2026-01-19T03:12:25Z,2025-12-22T14:29:31Z,1209,Java,master,147,147,69,23,Apache-2.0,Apache License 2.0,4be19f9619f0553a6a93488a3b4716f471a0b4d2,2025-12-22T14:29:31Z,Merge pull request #104 from antonholmberg/use-github-actions-for-tests,Anton Holmberg
spotify,121292540,android-sdk,spotify/android-sdk,spotify,https://github.com/spotify/android-sdk,https://github.com/spotify/android-sdk.git,git@github.com:spotify/android-sdk.git,Spotify SDK for Android,https://developer.spotify.com/documentation/android/,,False,public,False,False,False,False,2018-02-12T19:36:41Z,2026-01-14T20:16:10Z,2024-08-19T14:52:53Z,2687,HTML,master,504,504,127,167,Apache-2.0,Apache License 2.0,5aa4d62465f61a0677081ae9a3108177d0365fc3,2023-06-22T14:40:08Z,Update App Remote to 0.8.0,David Marin
spotify,320309105,android-store-service,spotify/android-store-service,spotify,https://github.com/spotify/android-store-service,https://github.com/spotify/android-store-service.git,git@github.com:spotify/android-store-service.git,,,,False,public,False,True,False,False,2020-12-10T15:14:09Z,2024-02-18T14:24:12Z,2022-09-23T22:50:52Z,61,Python,main,6,6,3,3,Apache-2.0,Apache License 2.0,2043d4c7a799b5643d2aa0eec33abf65fef8d173,2021-06-28T14:03:13Z,Merge pull request #9 from spotify/update-deps,Elias Djurfeldt
spotify,9155431,annoy,spotify/annoy,spotify,https://github.com/spotify/annoy,https://github.com/spotify/annoy.git,git@github.com:spotify/annoy.git,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk,,approximate-nearest-neighbor-search;c-plus-plus;golang;locality-sensitive-hashing;lua;nearest-neighbor-search;python,False,public,False,False,False,False,2013-04-01T20:29:40Z,2026-01-23T01:27:03Z,2025-10-29T14:08:37Z,2034,C++,main,14135,14135,1220,74,Apache-2.0,Apache License 2.0,379f744667aba6b40ba3db8a07678df173a88f74,2025-10-29T14:08:37Z,Merge pull request #680 from benglewis/add-python-3.13-support,Erik Bernhardsson
spotify,30090784,annoy-java,spotify/annoy-java,spotify,https://github.com/spotify/annoy-java,https://github.com/spotify/annoy-java.git,git@github.com:spotify/annoy-java.git,Approximate nearest neighbors in Java,,,False,public,False,True,False,False,2015-01-30T21:07:30Z,2026-01-14T01:53:19Z,2020-10-13T15:18:38Z,1007,Java,master,144,144,44,7,Apache-2.0,Apache License 2.0,aef275bd5b872b0931bde557bf8627c0476246af,2020-10-13T15:18:33Z,Merge pull request #20 from spotify/dependabot/maven/junit-junit-4.13.1,Erik Bernhardsson
spotify,45644056,apollo,spotify/apollo,spotify,https://github.com/spotify/apollo,https://github.com/spotify/apollo.git,git@github.com:spotify/apollo.git,Java libraries for writing composable microservices,http://spotify.github.io/apollo/,framework;http-server;java;java-8,False,public,False,True,False,False,2015-11-05T22:40:39Z,2025-12-16T11:37:59Z,2021-09-28T09:11:26Z,2867,Java,1.x,1650,1650,206,0,Apache-2.0,Apache License 2.0,a03105ee1f98f8c5878f4e3c4d03c8732c6384bd,2021-09-28T09:11:23Z,Update README about archiving open source project (#370),Caesar Ralf Franz Hoppen
spotify,71987975,apollo-elide,spotify/apollo-elide,spotify,https://github.com/spotify/apollo-elide,https://github.com/spotify/apollo-elide.git,git@github.com:spotify/apollo-elide.git,Early alpha take on an integration between Apollo and Elide,,,False,public,False,True,False,False,2016-10-26T09:31:48Z,2023-01-28T17:48:07Z,2016-12-05T12:33:16Z,36,Java,master,1,1,1,0,Apache-2.0,Apache License 2.0,f394319b3024d169cd2d494f096c94e0d7573060,2016-12-05T12:33:14Z,[maven-release-plugin] prepare for next development iteration,Petter Måhlén
spotify,54144228,apollo-metrics,spotify/apollo-metrics,spotify,https://github.com/spotify/apollo-metrics,https://github.com/spotify/apollo-metrics.git,git@github.com:spotify/apollo-metrics.git,Metrics module for Apollo using the semantic-metrics library,http://spotify.github.io/apollo-metrics/maven/project-reports.html,,False,public,False,True,False,False,2016-03-17T19:02:53Z,2023-01-28T18:29:23Z,2016-08-02T10:07:36Z,114,,master,0,0,2,0,,,cf23a2f7b99805876b4ea57fae38aac1543c1b65,2016-08-02T10:07:36Z,Merge pull request #2 from pettermahlen/deprecate,Petter Måhlén
