project,technologies
AdGuardHome,"['codecov', 'docker', 'eslint', 'github', 'github issues', 'github-action', 'json', 'markdownlint', 'nodejs', 'npm', 'snapscraft', 'tsconfig', 'yaml']"
croc,"['dependabot', 'docker', 'github funding', 'github-action', 'goreleaser', 'travis']"
haystack,"['dependabot', 'github', 'github issues', 'github-action', 'poetry', 'pre-commit', 'toml', 'yaml']"
subquery_subql,"['chart testing', 'crowdin', 'dependabot', 'docker', 'docker-compose', 'github', 'github-action', 'gitpod', 'json', 'kubernetes', 'nodemon', 'npm', 'swagger', 'tsconfig', 'yaml', 'yarn']"
termux-app,"['android', 'dependabot', 'github funding', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'jitpack']"
immutable-js,"['github funding', 'github-action', 'json', 'nodejs', 'npm', 'prettier', 'tsconfig']"
syncthing,"['buf', 'codecov', 'deepsource', 'dependabot', 'docker', 'github', 'github funding', 'github issues', 'golangci-lint', 'json', 'yaml']"
bevy,"['cargo', 'clippy', 'dependabot', 'github', 'github funding', 'github issues', 'github-action', 'npm', 'rustfmt', 'toml', 'typos']"
redis,"['appveyor', 'cirrus', 'codecov', 'dependabot', 'github', 'github-action', 'json', 'lerna', 'redis', 'travis']"
OSX-KVM,['github funding']
apache_superset,"['babel', 'chart testing', 'codecov', 'configparser', 'cypress', 'dependabot', 'devcontainer', 'docker', 'docker-compose', 'eslint', 'github', 'github config', 'github issues', 'github-action', 'helm', 'json', 'kubernetes', 'lerna', 'markdownlint', 'nginx', 'nodejs', 'npm', 'poetry', 'pre-commit', 'prettier', 'tsconfig', 'yaml']"
gpt4free,"['docker', 'docker-compose', 'github', 'github funding', 'github-action', 'nodejs', 'npm']"
vue-pure-admin,"['docker', 'github issues', 'github-action', 'gitpod', 'json', 'markdownlint', 'npm', 'pnpm', 'tsconfig', 'vscode', 'yaml']"
mongodb_mongo,"['appveyor', 'codecov', 'configparser', 'cspell', 'devcontainer', 'django', 'docker', 'docker compose', 'docker-compose', 'github', 'github-action', 'json', 'mongodb', 'mypy', 'npm', 'pnpm', 'poetry', 'ruff', 'snapscraft', 'sonar-qube', 'toml', 'travis', 'vscode', 'yaml']"
nodejs_node,"['appveyor', 'bower', 'cargo', 'chart testing', 'codecov', 'dependabot', 'devcontainer', 'docker', 'github', 'github issues', 'github-action', 'gitpod', 'json', 'nodejs', 'npm', 'poetry', 'pyright', 'readthedocs', 'travis', 'tsconfig', 'tslint', 'yaml']"
typescript-go,"['codecov', 'dependabot', 'devcontainer', 'github', 'github-action', 'golangci-lint', 'json', 'nodejs', 'npm', 'tsconfig', 'vscode', 'yaml']"
spdlog,"['appveyor', 'github-action']"
MoneyPrinterTurbo,"['docker', 'docker-compose', 'github issues', 'json', 'streamlit', 'toml']"
layui,"['github funding', 'github issues', 'github-action', 'npm', 'yaml']"
shardeum,"['devcontainer', 'docker', 'eslint', 'github-action', 'json', 'nodejs', 'npm', 'tsconfig', 'vscode']"
egg,"['github funding', 'github issues', 'github-action', 'npm', 'tsconfig', 'vercel']"
gorhill_uBlock,"['eslint', 'github issues', 'github-action', 'json', 'nodejs', 'npm']"
caddy,"['dependabot', 'github funding', 'github-action', 'golangci-lint', 'goreleaser', 'pre-commit']"
halo,"['configparser', 'dependabot', 'devcontainer', 'docker', 'github', 'github funding', 'github issues', 'gitpod', 'gradle', 'gradle-wrapper', 'json', 'npm', 'pnpm', 'spring', 'toml', 'tsconfig', 'vscode', 'yaml']"
atuinsh_atuin,"['cargo', 'dependabot', 'docker', 'docker-compose', 'github', 'github funding', 'github issues', 'github-action', 'kubernetes', 'rust', 'rustfmt', 'toml']"
swoole-src,"['codecov', 'dependabot', 'docker', 'docker-compose', 'github-action', 'json']"
jenkinsci_jenkins,"['configparser', 'docker', 'github', 'github config', 'github funding', 'github-action', 'gitpod', 'json', 'maven', 'npm', 'prettier', 'renovate', 'yarn']"
goreplay,"['deepsource', 'dependabot', 'docker', 'github', 'github-action', 'jekyll', 'kubernetes', 'mkdocs', 'npm', 'snapscraft', 'yaml']"
nuxt,"['ansible-playbook', 'devcontainer', 'docker', 'github funding', 'github issues', 'github-action', 'gitpod', 'json', 'knip', 'lychee', 'markdownlint', 'npm', 'pnpm', 'renovate', 'tsconfig', 'vscode', 'yaml']"
mlx,"['circleci', 'github-action', 'poetry', 'pre-commit']"
swiftlang_swift,"['github issues', 'json', 'yaml']"
v2rayNG,"['android', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'toml']"
grapesjs,"['dependabot', 'github', 'github funding', 'github issues', 'github-action', 'npm', 'pnpm', 'tsconfig']"
eladmin,"['configparser', 'maven', 'spring']"
faiss,"['conda', 'docker', 'github', 'github-action', 'yaml']"
desktop,"['babel', 'cargo', 'crowdin', 'github', 'github issues', 'github-action', 'json', 'nodejs', 'npm', 'poetry', 'prettier', 'tsconfig', 'yaml']"
modular,"['github', 'github issues', 'github-action', 'markdownlint', 'nodejs', 'npm', 'pnpm', 'poetry', 'pre-commit', 'toml', 'yaml']"
storybookjs_storybook,"['angular', 'circleci', 'codecov', 'eslint', 'github', 'github funding', 'github issues', 'github-action', 'json', 'lerna', 'nodejs', 'npm', 'pnpm', 'tsconfig', 'verdaccio', 'vscode', 'yaml', 'yarn']"
commitlint,"['devcontainer', 'github issues', 'github-action', 'json', 'lerna', 'npm', 'pnpm', 'tsconfig', 'vscode', 'yaml']"
vercel_turborepo,"['cargo', 'clippy', 'dependabot', 'devcontainer', 'docker', 'github', 'github issues', 'github-action', 'json', 'nodejs', 'npm', 'pnpm', 'rust', 'rustfmt', 'taplo', 'toml', 'tsconfig', 'turborepo', 'vercel', 'vscode', 'yaml']"
aseprite,"['github funding', 'github-action', 'pre-commit']"
voice-changer,"['docker', 'github issues', 'github-action', 'json', 'nodejs', 'npm', 'tsconfig', 'vscode']"
dotenv,"['github funding', 'github-action', 'nodejs', 'npm', 'yaml']"
PHPMailer,"['codecov', 'dependabot', 'docker', 'github', 'github funding', 'github-action', 'json']"
agno,"['django', 'docker-compose', 'github issues', 'github-action', 'json', 'poetry']"
recommenders,"['codecov', 'conda', 'configparser', 'devcontainer', 'docker', 'github-action', 'poetry', 'yaml']"
micro,"['github', 'snapscraft', 'yaml']"
