technology,unique_options,avg_options_per_project,avg_files_per_project,num_projects
pnpm,461076,6933.16,3.96,150
npm,381149,7524.87,2.47,267
github-action,126728,181.46,8.67,983
swagger,58397,2807.45,3.14,29
nodejs,57775,205.87,18.25,603
maven,28511,560.74,35.03,66
cargo,22728,300.13,27.38,125
docker-compose,9469,58.16,3.69,198
docker compose,6317,130.22,3.02,51
circleci,5882,113.85,1.02,54
cspell,5119,152.73,1.46,37
poetry,4999,47.91,3.28,213
tsconfig,4596,34.47,19.23,413
spring,4527,135.31,8.28,36
mkdocs,4312,94.19,1.65,63
helm,4102,106.62,5.11,47
github,2803,14.15,1.57,286
vscode,2521,16.69,3.39,264
angular,2484,146.61,5.72,18
django,2342,43.42,3.13,62
eslint,2079,29.34,3.69,130
typos,2008,62.68,1.09,34
jekyll,1896,32.83,1.42,65
lerna,1790,42.33,3.91,57
turborepo,1783,47.59,3.95,44
kubernetes,1690,45.4,8.46,57
cirrus,1602,61.14,1.43,28
flutter,1028,86.45,7.9,20
snapscraft,856,32.38,1.06,34
renovate,855,16.68,1.24,88
rubocop,747,77.47,1.8,15
golangci-lint,646,31.72,4.16,82
nginx,590,23.83,1.33,46
triagebot,533,180.33,4.0,3
travis,500,16.52,7.35,71
cargo-make,493,74.57,13.57,7
azure pipelines,486,37.44,1.11,18
deno,484,48.7,1.5,10
ansible-playbook,480,21.66,1.16,32
chart testing,464,19.92,2.35,26
devcontainer,436,4.73,1.42,161
tox,386,19.25,1.59,32
gradle,365,8.82,4.85,91
fuel,361,26.07,2.86,14
mypy,327,19.63,1.26,27
vcpkg,309,34.91,3.18,11
stylelint,307,20.27,1.05,22
grafana,305,124.67,1.0,3
log4j,296,28.25,2.92,12
goreleaser,294,29.34,1.77,44
dependabot,294,6.6,1.03,386
appveyor,289,16.28,3.56,43
cmake,230,26.92,1.38,13
codecov,221,7.25,1.44,158
android,220,26.52,6.56,84
mockery,199,28.75,3.25,8
bower,184,23.07,2.79,14
markdownlint,181,10.76,1.18,49
changesets,179,10.65,1.09,46
apify,178,15.0,5.44,18
knip,144,18.88,1.0,8
wrangler,143,14.07,2.79,14
flyio,131,19.36,1.45,11
ruff,124,9.91,1.27,22
github config,122,6.93,1.0,27
redis,116,26.67,1.11,9
crowdin,110,7.56,1.06,32
prometheus,107,8.03,1.4,30
swiftlint,91,12.6,1.0,10
drone,86,20.17,1.0,6
netlify,85,6.71,1.43,49
buf,83,11.65,3.1,20
nodemon,80,6.58,1.42,19
hugoreleaser,80,80.0,2.0,1
vercel,71,4.12,1.4,58
yarn,61,3.91,1.2,64
prettier,57,5.28,1.62,94
rustfmt,56,5.33,1.26,72
babel,56,4.22,1.48,27
mocha,55,5.75,1.19,16
lefthook,54,7.11,1.0,9
pre-commit,53,8.58,1.12,145
readthedocs,53,6.89,1.31,61
firebase,42,9.0,1.18,11
clippy,42,2.97,1.53,38
codeclimate,40,9.0,1.0,10
kafka,35,24.5,2.0,2
cypress,32,9.14,1.14,7
github issues,32,12.3,2.86,644
postgresql,30,10.0,1.0,3
gitpod,29,5.63,1.02,60
kodiak,28,8.56,1.0,9
taoskeeper,23,23.0,1.0,1
cross,23,3.0,1.0,15
jest,23,5.0,2.2,5
lychee,23,6.71,1.0,7
mysql,21,10.5,1.5,2
stripe,20,20.0,1.0,1
gocrazy,19,19.0,3.0,1
taplo,19,4.82,1.0,11
deepsource,18,5.43,1.05,21
jazzy,18,12.0,1.0,2
hadoop-hbase,15,15.0,1.0,1
apache,15,15.0,1.0,1
docker,14,6.9,3.94,467
tsdoc,13,4.0,4.88,8
streamlit,13,3.4,1.4,5
github funding,13,1.66,1.01,412
ansible,13,4.4,1.0,5
trunk,12,4.33,12.67,3
mongodb,11,8.0,2.0,2
verdaccio,11,11.0,1.0,1
bundlemon,10,8.0,1.0,2
zookeeper,10,5.67,1.33,3
reuse,9,7.25,1.0,8
stylua,9,5.5,1.0,8
gradle-wrapper,8,6.0,3.73,95
elasticsearch,8,4.0,2.33,3
maven-wrapper,7,2.43,1.19,21
amplify,6,6.0,1.0,2
sourcery,6,6.0,1.0,1
buildkite,5,5.0,1.0,1
rust,4,2.24,2.29,42
nixpacks,4,4.0,1.0,1
jitpack,4,2.0,1.0,5
postcss,3,1.0,1.0,3
gitbook,3,2.67,1.0,3
logstash,2,2.0,1.0,1
heroku,2,1.25,1.0,4
graphql,2,2.0,1.0,1
codebeaver,2,2.0,1.0,1
bandit,1,1.0,1.0,1
