Concept,Option
configparser,spring.datasource.druid.initial-size
configparser,spring.datasource.druid.max-active
configparser,spring.datasource.druid.min-idle
configparser,spring.datasource.druid.stat-view-servlet.login-password
configparser,spring.datasource.druid.stat-view-servlet.login-username
configparser,spring.datasource.druid.web-stat-filter.exclusions
configparser,spring.datasource.password
configparser,spring.datasource.url
configparser,spring.datasource.username
configparser,distributionurl
configparser,jdbc.connectionurl
configparser,jdbc.driverclass
configparser,jdbc.password
configparser,jdbc.userid
configparser,logging.level.org.linlinjava.litemall
configparser,logging.level.org.linlinjava.litemall.db
configparser,logging.level.org.mybatis
configparser,logging.level.org.springframework
configparser,logging.level.root
configparser,pagehelper.helperdialect
configparser,pagehelper.params
configparser,pagehelper.reasonable
configparser,pagehelper.supportmethodsarguments
configparser,spring.datasource.druid.driver-class-name
configparser,spring.datasource.druid.filters
configparser,spring.datasource.druid.max-pool-prepared-statement-per-connection-size
configparser,spring.datasource.druid.max-wait
configparser,spring.datasource.druid.password
configparser,spring.datasource.druid.pool-prepared-statements
configparser,spring.datasource.druid.test-on-borrow
configparser,spring.datasource.druid.test-on-return
configparser,spring.datasource.druid.test-while-idle
configparser,spring.datasource.druid.time-between-eviction-runs-millis
configparser,spring.datasource.druid.url
configparser,spring.datasource.druid.username
configparser,spring.datasource.druid.validation-query
configparser,org.linlinjava.litemall.os.address
configparser,org.linlinjava.litemall.os.port
configparser,wx.app-id
configparser,wx.app-secret
configparser,swagger.enable
configparser,spring.mail.host
configparser,spring.mail.password
configparser,spring.mail.sendto
configparser,spring.mail.username
configparser,spring.notify.corepoolsize
configparser,spring.notify.maxpoolsize
configparser,spring.notify.queuecapacity
configparser,spring.sms.appid
configparser,spring.sms.appkey
configparser,spring.sms.enable
configparser,spring.sms.sign
configparser,spring.sms.template.captcha
configparser,spring.sms.template.pay.complated
configparser,spring.sms.template.paysucceed
configparser,spring.sms.template.verificationcode
configparser,sprint.mail.enable
configparser,aliyun.os.endpoint
configparser,tencent.os.bucketname
configparser,tencent.os.region
configparser,tencent.os.secretid
configparser,tencent.os.secretkey
