Concept,Option
json,info._postman_id
json,info.description
json,info.name
json,info.schema
json,item.request.url.path.path/cancelOrder
json,item.request.url.path.path/cart
json,item.request.url.path.path/paySuccess
json,item.request.url.path.path/quantity
json,item.request.url.path.path/update
json,compilerOptions.baseUrl
json,compilerOptions.paths.@/*.@/*/src/*
json,exclude.exclude/dist
json,exclude.exclude/node_modules
json,address-default.code
json,address-default.data.address
json,address-default.data.area_name
json,address-default.data.city
json,address-default.data.consignee
json,address-default.data.created_at
json,address-default.data.district
json,address-default.data.id
json,address-default.data.id_card
json,address-default.data.mobile
json,address-default.data.province
json,address-default.data.telphone
json,address-default.data.town
json,address-default.data.updated_at
json,address-default.data.user_id
json,address-default.data.zip_code
json,address-default.message
json,address-default.success
json,address.code
json,address.message
json,address.success
json,category.code
json,category.data.created_at
json,category.data.updated_at
json,category.message
json,category.success
json,details.code
json,details.data.approve_status
json,details.data.attention_matters
json,details.data.barcode
json,details.data.brand_id
json,details.data.brand_name
json,details.data.bulk
json,details.data.cat_name
json,details.data.cid
json,details.data.city
json,details.data.created_at
json,details.data.desc
json,details.data.features
json,details.data.fx_item_id
json,details.data.fx_profit
json,details.data.has_sku
json,details.data.id
json,details.data.input_pids
json,details.data.input_str
json,details.data.is_buy
json,details.data.is_collect
json,details.data.is_fenxiao
json,details.data.is_free_shipping
json,details.data.is_haitao
json,details.data.is_recommend
json,details.data.is_stars
json,details.data.is_virtual
json,details.data.is_zhuan
json,details.data.item_imgs.url
json,details.data.key_props
json,details.data.key_props_str
json,details.data.market_price
json,details.data.max_price
json,details.data.max_profit
json,details.data.miao_id
json,details.data.min_profit
json,details.data.mop_product_id
json,details.data.name
json,details.data.one_grate
json,details.data.outer_id
json,details.data.pic_url
json,details.data.postage_id
json,details.data.postage_name
json,details.data.product_id
json,details.data.props
json,details.data.props_str
json,details.data.province
json,details.data.purchase_price
json,details.data.quantity
json,details.data.recommend_time
json,details.data.sales_price
json,details.data.sell_point
json,details.data.ship_address.city
json,details.data.ship_address.city_code
json,details.data.shop_cids
json,details.data.shop_id
json,details.data.sold_quantity
json,details.data.sort_order
json,details.data.start_sale_time
json,details.data.status
json,details.data.sub_stock
json,details.data.tax_rate
json,details.data.two_grate
json,details.data.updated_at
json,details.data.use_end_time
json,details.data.use_start_time
json,details.data.user_id
json,details.data.version
json,details.data.video_id
