Concept,Option
maven,ExecutableName
maven,ExecutableNameNoVersion
maven,project.artifactId
maven,project.build.plugins.plugin.com.spotify:docker-maven-plugin.artifactId
maven,project.build.plugins.plugin.com.spotify:docker-maven-plugin.groupId
maven,project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.artifactId
maven,project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.configuration.baseImage
maven,project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.configuration.dockerHost
maven,project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.configuration.entryPoint
maven,project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.configuration.imageName
maven,project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.configuration.resources.resource.directory
maven,project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.configuration.resources.resource.include
maven,project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.configuration.resources.resource.targetPath
maven,project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.executions.execution.goals.goal
maven,project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.executions.execution.id
maven,project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.executions.execution.phase
maven,project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.groupId
maven,project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.version
maven,project.build.plugins.plugin.io.fabric8:docker-maven-plugin.artifactId
maven,project.build.plugins.plugin.io.fabric8:docker-maven-plugin.groupId
maven,project.build.plugins.plugin.org.springframework.boot:spring-boot-maven-plugin.artifactId
maven,project.build.plugins.plugin.org.springframework.boot:spring-boot-maven-plugin.groupId
maven,project.dependencies.dependency.com.alibaba:druid-spring-boot-starter:1.1.10.artifactId
maven,project.dependencies.dependency.com.alibaba:druid-spring-boot-starter:1.1.10.groupId
maven,project.dependencies.dependency.com.alibaba:druid-spring-boot-starter:1.1.10.version
maven,project.dependencies.dependency.com.aliyun.oss:aliyun-sdk-oss.artifactId
maven,project.dependencies.dependency.com.aliyun.oss:aliyun-sdk-oss.groupId
maven,project.dependencies.dependency.com.aliyun.oss:aliyun-sdk-oss:2.5.0.artifactId
maven,project.dependencies.dependency.com.aliyun.oss:aliyun-sdk-oss:2.5.0.groupId
maven,project.dependencies.dependency.com.aliyun.oss:aliyun-sdk-oss:2.5.0.version
maven,project.dependencies.dependency.com.github.pagehelper:pagehelper-spring-boot-starter:1.2.10.artifactId
maven,project.dependencies.dependency.com.github.pagehelper:pagehelper-spring-boot-starter:1.2.10.groupId
maven,project.dependencies.dependency.com.github.pagehelper:pagehelper-spring-boot-starter:1.2.10.version
maven,project.dependencies.dependency.com.github.pagehelper:pagehelper-spring-boot-starter:1.2.3.artifactId
maven,project.dependencies.dependency.com.github.pagehelper:pagehelper-spring-boot-starter:1.2.3.groupId
maven,project.dependencies.dependency.com.github.pagehelper:pagehelper-spring-boot-starter:1.2.3.version
maven,project.dependencies.dependency.com.macro.mall:mall-mbg.artifactId
maven,project.dependencies.dependency.com.macro.mall:mall-mbg.groupId
maven,project.dependencies.dependency.com.macro.mall:mall-mbg:1.0-SNAPSHOT.artifactId
maven,project.dependencies.dependency.com.macro.mall:mall-mbg:1.0-SNAPSHOT.groupId
maven,project.dependencies.dependency.com.macro.mall:mall-mbg:1.0-SNAPSHOT.version
maven,project.dependencies.dependency.com.macro.mall:mall-security.artifactId
maven,project.dependencies.dependency.com.macro.mall:mall-security.groupId
maven,project.dependencies.dependency.com.macro:mall-mbg:1.0-SNAPSHOT.artifactId
maven,project.dependencies.dependency.com.macro:mall-mbg:1.0-SNAPSHOT.groupId
maven,project.dependencies.dependency.com.macro:mall-mbg:1.0-SNAPSHOT.version
maven,project.dependencies.dependency.io.jsonwebtoken:jjwt.artifactId
maven,project.dependencies.dependency.io.jsonwebtoken:jjwt.groupId
maven,project.dependencies.dependency.io.jsonwebtoken:jjwt:0.9.0.artifactId
maven,project.dependencies.dependency.io.jsonwebtoken:jjwt:0.9.0.groupId
maven,project.dependencies.dependency.io.jsonwebtoken:jjwt:0.9.0.version
maven,project.dependencies.dependency.io.minio:minio.artifactId
maven,project.dependencies.dependency.io.minio:minio.groupId
maven,project.dependencies.dependency.io.springfox:springfox-swagger-ui:2.6.1.artifactId
maven,project.dependencies.dependency.io.springfox:springfox-swagger-ui:2.6.1.groupId
maven,project.dependencies.dependency.io.springfox:springfox-swagger-ui:2.6.1.version
maven,project.dependencies.dependency.io.springfox:springfox-swagger2:2.6.1.artifactId
maven,project.dependencies.dependency.io.springfox:springfox-swagger2:2.6.1.groupId
maven,project.dependencies.dependency.io.springfox:springfox-swagger2:2.6.1.version
maven,project.dependencies.dependency.jakarta.validation:jakarta.validation-api.artifactId
maven,project.dependencies.dependency.jakarta.validation:jakarta.validation-api.groupId
maven,project.dependencies.dependency.net.logstash.logback:logstash-logback-encoder.artifactId
maven,project.dependencies.dependency.net.logstash.logback:logstash-logback-encoder.groupId
maven,project.dependencies.dependency.net.logstash.logback:logstash-logback-encoder:4.8.artifactId
maven,project.dependencies.dependency.net.logstash.logback:logstash-logback-encoder:4.8.groupId
maven,project.dependencies.dependency.net.logstash.logback:logstash-logback-encoder:4.8.version
maven,project.dependencies.dependency.org.mybatis.spring.boot:mybatis-spring-boot-starter:1.2.0.artifactId
maven,project.dependencies.dependency.org.mybatis.spring.boot:mybatis-spring-boot-starter:1.2.0.groupId
maven,project.dependencies.dependency.org.mybatis.spring.boot:mybatis-spring-boot-starter:1.2.0.version
maven,project.dependencies.dependency.org.projectlombok:lombok.artifactId
maven,project.dependencies.dependency.org.projectlombok:lombok.groupId
maven,project.dependencies.dependency.org.projectlombok:lombok.optional
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-actuator.artifactId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-actuator.groupId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-aop.artifactId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-aop.groupId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-security.artifactId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-security.groupId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-test.artifactId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-test.groupId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-test.scope
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-thymeleaf.artifactId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-thymeleaf.groupId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-web.artifactId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-web.groupId
maven,project.description
maven,project.groupId
maven,project.modelVersion
maven,project.name
maven,project.packaging
maven,project.parent.artifactId
maven,project.parent.groupId
maven,project.parent.version
maven,project.properties.java.version
maven,project.properties.project.build.sourceEncoding
maven,project.properties.project.reporting.outputEncoding
maven,project.properties.skipTests
maven,project.url
maven,project.version
maven,project.dependencies.dependency.cn.hutool:hutool-all.artifactId
maven,project.dependencies.dependency.cn.hutool:hutool-all.groupId
maven,project.dependencies.dependency.cn.hutool:hutool-all:4.5.7.artifactId
maven,project.dependencies.dependency.cn.hutool:hutool-all:4.5.7.groupId
maven,project.dependencies.dependency.cn.hutool:hutool-all:4.5.7.version
maven,project.dependencies.dependency.com.github.pagehelper:pagehelper.artifactId
maven,project.dependencies.dependency.com.github.pagehelper:pagehelper.groupId
maven,project.dependencies.dependency.com.github.pagehelper:pagehelper:5.1.8.artifactId
maven,project.dependencies.dependency.com.github.pagehelper:pagehelper:5.1.8.groupId
maven,project.dependencies.dependency.com.github.pagehelper:pagehelper:5.1.8.version
maven,project.dependencies.dependency.io.springfox:springfox-boot-starter.artifactId
maven,project.dependencies.dependency.io.springfox:springfox-boot-starter.groupId
maven,project.dependencies.dependency.io.springfox:springfox-swagger-ui.artifactId
maven,project.dependencies.dependency.io.springfox:springfox-swagger-ui.groupId
maven,project.dependencies.dependency.io.springfox:springfox-swagger-ui:2.7.0.artifactId
maven,project.dependencies.dependency.io.springfox:springfox-swagger-ui:2.7.0.groupId
maven,project.dependencies.dependency.io.springfox:springfox-swagger-ui:2.7.0.version
maven,project.dependencies.dependency.io.springfox:springfox-swagger2.artifactId
maven,project.dependencies.dependency.io.springfox:springfox-swagger2.groupId
maven,project.dependencies.dependency.io.springfox:springfox-swagger2:2.7.0.artifactId
maven,project.dependencies.dependency.io.springfox:springfox-swagger2:2.7.0.groupId
maven,project.dependencies.dependency.io.springfox:springfox-swagger2:2.7.0.version
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-data-redis.artifactId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-data-redis.groupId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-validation.artifactId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-validation.groupId
maven,project.dependencies.dependency.org.springframework.data:spring-data-commons.artifactId
maven,project.dependencies.dependency.org.springframework.data:spring-data-commons.groupId
maven,project.dependencies.dependency.org.springframework.data:spring-data-commons:2.1.5.RELEASE.artifactId
maven,project.dependencies.dependency.org.springframework.data:spring-data-commons:2.1.5.RELEASE.groupId
maven,project.dependencies.dependency.org.springframework.data:spring-data-commons:2.1.5.RELEASE.scope
maven,project.dependencies.dependency.org.springframework.data:spring-data-commons:2.1.5.RELEASE.version
maven,project.dependencies.dependency.com.alibaba:druid-spring-boot-starter.artifactId
maven,project.dependencies.dependency.com.alibaba:druid-spring-boot-starter.groupId
maven,project.dependencies.dependency.com.github.pagehelper:pagehelper-spring-boot-starter.artifactId
maven,project.dependencies.dependency.com.github.pagehelper:pagehelper-spring-boot-starter.groupId
maven,project.dependencies.dependency.com.macro.mall:mall-common.artifactId
maven,project.dependencies.dependency.com.macro.mall:mall-common.groupId
maven,project.dependencies.dependency.com.macro.mall:mall-common:1.0-SNAPSHOT.artifactId
maven,project.dependencies.dependency.com.macro.mall:mall-common:1.0-SNAPSHOT.groupId
maven,project.dependencies.dependency.com.macro.mall:mall-common:1.0-SNAPSHOT.version
maven,project.dependencies.dependency.mysql:mysql-connector-java.artifactId
maven,project.dependencies.dependency.mysql:mysql-connector-java.groupId
maven,project.dependencies.dependency.mysql:mysql-connector-java:5.1.42.artifactId
maven,project.dependencies.dependency.mysql:mysql-connector-java:5.1.42.groupId
maven,project.dependencies.dependency.mysql:mysql-connector-java:5.1.42.version
maven,project.dependencies.dependency.mysql:mysql-connector-java:5.1.46.artifactId
maven,project.dependencies.dependency.mysql:mysql-connector-java:5.1.46.groupId
maven,project.dependencies.dependency.mysql:mysql-connector-java:5.1.46.version
maven,project.dependencies.dependency.mysql:mysql-connector-java:8.0.15.artifactId
maven,project.dependencies.dependency.mysql:mysql-connector-java:8.0.15.groupId
maven,project.dependencies.dependency.mysql:mysql-connector-java:8.0.15.version
maven,project.dependencies.dependency.org.mybatis.generator:mybatis-generator-core.artifactId
maven,project.dependencies.dependency.org.mybatis.generator:mybatis-generator-core.groupId
maven,project.dependencies.dependency.org.mybatis.generator:mybatis-generator-core:1.3.3.artifactId
maven,project.dependencies.dependency.org.mybatis.generator:mybatis-generator-core:1.3.3.groupId
maven,project.dependencies.dependency.org.mybatis.generator:mybatis-generator-core:1.3.3.version
maven,project.dependencies.dependency.org.mybatis.generator:mybatis-generator-core:1.3.7.artifactId
maven,project.dependencies.dependency.org.mybatis.generator:mybatis-generator-core:1.3.7.groupId
maven,project.dependencies.dependency.org.mybatis.generator:mybatis-generator-core:1.3.7.version
maven,project.dependencies.dependency.org.mybatis:mybatis:3.4.2.artifactId
maven,project.dependencies.dependency.org.mybatis:mybatis:3.4.2.groupId
maven,project.dependencies.dependency.org.mybatis:mybatis:3.4.2.version
maven,project.dependencies.dependency.org.mybatis:mybatis:3.4.6.artifactId
maven,project.dependencies.dependency.org.mybatis:mybatis:3.4.6.groupId
maven,project.dependencies.dependency.org.mybatis:mybatis:3.4.6.version
maven,project.dependencies.dependency.com.alipay.sdk:alipay-sdk-java:${alipay-sdk.version}.artifactId
maven,project.dependencies.dependency.com.alipay.sdk:alipay-sdk-java:${alipay-sdk.version}.groupId
maven,project.dependencies.dependency.com.alipay.sdk:alipay-sdk-java:${alipay-sdk.version}.version
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-amqp.artifactId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-amqp.groupId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-cache.artifactId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-cache.groupId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-data-mongodb.artifactId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-data-mongodb.groupId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-redis:1.3.8.RELEASE.artifactId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-redis:1.3.8.RELEASE.groupId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-redis:1.3.8.RELEASE.version
maven,project.dependencies.dependency.com.macro.mall:mall-mbg.exclusions.exclusion.artifactId
maven,project.dependencies.dependency.com.macro.mall:mall-mbg.exclusions.exclusion.groupId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-data-elasticsearch.artifactId
maven,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-data-elasticsearch.groupId
maven,project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.artifactId
maven,project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.configuration.baseImage
maven,project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.configuration.dockerHost
maven,project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.configuration.entryPoint
maven,project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.configuration.imageName
maven,project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.configuration.resources.resource.directory
maven,project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.configuration.resources.resource.include
maven,project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.configuration.resources.resource.targetPath
maven,project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.groupId
maven,project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.version
maven,project.build.pluginManagement.plugins.plugin.io.fabric8:docker-maven-plugin:${docker.maven.plugin.version}.artifactId
maven,project.build.pluginManagement.plugins.plugin.io.fabric8:docker-maven-plugin:${docker.maven.plugin.version}.configuration.dockerHost
maven,project.build.pluginManagement.plugins.plugin.io.fabric8:docker-maven-plugin:${docker.maven.plugin.version}.configuration.images.image.build.args.JAR_FILE
