Concept,Option
spring,spring.datasource.druid.initial-size
spring,spring.datasource.druid.max-active
spring,spring.datasource.druid.min-idle
spring,spring.datasource.druid.stat-view-servlet.login-password
spring,spring.datasource.druid.stat-view-servlet.login-username
spring,spring.datasource.druid.web-stat-filter.exclusions
spring,spring.datasource.password
spring,spring.datasource.url
spring,spring.datasource.username
spring,logging.level.com.macro.mall
spring,logging.level.root
spring,logstash.enableInnerLog
spring,logstash.host
spring,minio.accessKey
spring,minio.bucketName
spring,minio.endpoint
spring,minio.secretKey
spring,spring.redis.database
spring,spring.redis.host
spring,spring.redis.password
spring,spring.redis.port
spring,spring.redis.timeout
spring,logging.path
spring,logging.file.path
spring,aliyun.oss.accesskeyid
spring,aliyun.oss.accesskeysecret
spring,aliyun.oss.bucketname
spring,aliyun.oss.callback
spring,aliyun.oss.dir.prefix
spring,aliyun.oss.endpoint
spring,aliyun.oss.maxsize
spring,aliyun.oss.policy.expire
spring,jwt.expiration
spring,jwt.secret
spring,jwt.tokenhead
spring,jwt.tokenheader
spring,mybatis.mapper-locations
spring,spring.profiles.active
spring,spring.thymeleaf.cache
spring,spring.thymeleaf.content-type
spring,spring.thymeleaf.encoding
spring,spring.thymeleaf.mode
spring,spring.thymeleaf.server.content-type
spring,aliyun.oss.accessKeyId
spring,aliyun.oss.accessKeySecret
spring,aliyun.oss.bucketName
spring,aliyun.oss.maxSize
spring,ignored.urls
spring,jwt.tokenHead
spring,jwt.tokenHeader
spring,redis.database
spring,redis.expire.common
spring,redis.key.admin
spring,redis.key.resourceList
spring,secure.ignored.urls
spring,spring.application.name
spring,spring.mvc.pathmatch.matching-strategy
spring,spring.servlet.multipart.enabled
spring,spring.servlet.multipart.max-file-size
spring,host.mall.admin
spring,server.port
spring,spring.thymeleaf.servlet.content-type
spring,logging.level.com.macro.mall.mapper
spring,logging.level.com.macro.mall.portal.dao
spring,logging.level.org.springframework.data.mongodb.core
spring,server.ssl.key-alias
spring,server.ssl.key-store
spring,server.ssl.key-store-password
spring,server.ssl.key-store-type
spring,spring.data.mongodb.database
spring,spring.data.mongodb.host
spring,spring.data.mongodb.port
spring,spring.rabbitmq.host
spring,spring.rabbitmq.password
spring,spring.rabbitmq.port
spring,spring.rabbitmq.publisher-confirms
spring,spring.rabbitmq.username
spring,spring.rabbitmq.virtual-host
spring,spring.redis.jedis.pool.max-active
spring,spring.redis.jedis.pool.max-idle
spring,spring.redis.jedis.pool.max-wait
spring,spring.redis.jedis.pool.min-idle
spring,spring.redis.pool.max-active
spring,spring.redis.pool.max-idle
spring,spring.redis.pool.max-wait
spring,spring.redis.pool.min-idle
spring,alipay.alipayPublicKey
spring,alipay.appId
spring,alipay.appPrivateKey
spring,alipay.gatewayUrl
spring,alipay.notifyUrl
spring,alipay.returnUrl
spring,mongo.insert.sqlEnable
spring,authcode.expire.seconds
spring,http.port
spring,rabbitmq.queue.name.cancelorder
spring,redis.key.prefix.authcode
spring,redis.key.prefix.orderid
spring,rabbitmq.queue.name.cancelOrder
spring,redis.expire.authCode
spring,redis.key.authCode
spring,redis.key.expire.authCode
spring,redis.key.member
spring,redis.key.orderId
spring,redis.key.prefix.authCode
spring,redis.key.prefix.orderId
spring,spring.data.elasticsearch.cluster-nodes
spring,spring.data.elasticsearch.repositories.enabled
spring,spring.elasticsearch.rest.uris
spring,spring.elasticsearch.uris
spring,logging.level.org.linlinjava.litemall
spring,logging.level.org.mybatis
spring,logging.level.org.springframework
spring,spring.message.encoding
spring,logging.level.org.linlinjava.litemall.db
spring,pagehelper.helperdialect
spring,pagehelper.params
spring,pagehelper.reasonable
spring,pagehelper.supportmethodsarguments
spring,spring.datasource.druid.driver-class-name
spring,spring.datasource.druid.filters
spring,spring.datasource.druid.max-pool-prepared-statement-per-connection-size
spring,spring.datasource.druid.max-wait
spring,spring.datasource.druid.password
spring,spring.datasource.druid.pool-prepared-statements
spring,spring.datasource.druid.test-on-borrow
spring,spring.datasource.druid.test-on-return
spring,spring.datasource.druid.test-while-idle
spring,spring.datasource.druid.time-between-eviction-runs-millis
spring,spring.datasource.druid.url
spring,spring.datasource.druid.username
spring,spring.datasource.druid.validation-query
spring,logging.level.org.linlinjava.litemall.admin.application
spring,spring.messages.encoding
spring,swagger.production
spring,logging.config
spring,spring.servlet.multipart.max-request-size
spring,org.linlinjava.litemall.os.address
spring,org.linlinjava.litemall.os.port
spring,wx.app-id
spring,wx.app-secret
spring,server.compression.enabled
spring,server.compression.mime-types
spring,server.compression.min-response-size
spring,swagger.enable
spring,logging.level.org.linlinjava.litemall.core
spring,activestorage
spring,logging.level.org.linlinjava.litemall.os.application
spring,logging.level.org.linlinjava.litemall.wx.application
spring,minio.access-key
spring,minio.bucket-name
spring,minio.secret-key
spring,spring.datasource.driver-class-name
spring,logging.level.org.springframework.boot.autoconfigure
spring,mybatis.mapperlocations
spring,mybatis.typealiasespackage
spring,spring.devtools.restart.additional-paths
spring,spring.devtools.restart.enabled
spring,spring.devtools.restart.exclude
spring,spring.jackson.date-format
spring,spring.jackson.serialization.indent-output
spring,spring.jackson.time-zone
spring,spring.jpa.database
spring,spring.jpa.hibernate.ddl-auto
spring,spring.jpa.show-sql
spring,spring.redis.lettuce.pool.max-active
spring,spring.redis.lettuce.pool.max-idle
spring,spring.redis.lettuce.pool.max-wait
spring,spring.redis.lettuce.pool.min-idle
spring,spring.server.maxfilesize
spring,spring.server.maxrequestsize
spring,mail.address
spring,mybatis-plus.configuration.log-impl
spring,spring.mail.host
spring,spring.mail.password
spring,spring.mail.port
spring,spring.mail.properties.mail.smtp.auth
spring,spring.mail.properties.mail.smtp.socketFactory.class
spring,spring.mail.properties.mail.smtp.starttls.enable
spring,spring.mail.username
spring,loader.path
spring,poleo.datasource-maximum-pool-size
spring,poleo.locale-language
spring,poleo.maximum-query-records
spring,poli.allow-multiple-query-statements
spring,poli.datasource-maximum-pool-size
spring,poli.export-server-url
spring,poli.locale-language
spring,poli.maximum-query-records
spring,spring.datasource.max-active
spring,spring.datasource.max-idle
spring,spring.datasource.min-idle
spring,spring.datasource.sql-script-encoding
spring,spring.datasource.test-while-idle
spring,spring.datasource.time-between-eviction-runs-millis
spring,spring.datasource.tomcat.max-wait
spring,spring.datasource.validation-query
spring,spring.jdbc.template.fetch-size
spring,spring.main.banner_mode
spring,file.local.base-path
spring,file.local.enable
spring,jasypt.encryptor.algorithm
spring,jasypt.encryptor.iv-generator-classname
spring,jasypt.encryptor.password
spring,security.encodeKey
spring,security.ignore-clients
spring,spring.cache.type
spring,spring.data.redis.host
spring,spring.data.redis.password
spring,spring.data.redis.port
spring,swagger.token-url
spring,feign.client.config.default.connectTimeout
spring,feign.client.config.default.readTimeout
spring,feign.compression.request.enabled
spring,feign.compression.response.enabled
spring,feign.httpclient.enabled
