Concept,Option
tsconfig,compilerOptions.allowSyntheticDefaultImports
tsconfig,compilerOptions.baseUrl
tsconfig,compilerOptions.esModuleInterop
tsconfig,compilerOptions.forceConsistentCasingInFileNames
tsconfig,compilerOptions.jsx
tsconfig,compilerOptions.lib.lib/dom
tsconfig,compilerOptions.lib.lib/dom.iterable
tsconfig,compilerOptions.lib.lib/esnext
tsconfig,compilerOptions.lib.lib/scripthost
tsconfig,compilerOptions.module
tsconfig,compilerOptions.moduleResolution
tsconfig,compilerOptions.noImplicitAny
tsconfig,compilerOptions.paths.@/*.@/*/src/*
tsconfig,compilerOptions.skipLibCheck
tsconfig,compilerOptions.sourceMap
tsconfig,compilerOptions.strict
tsconfig,compilerOptions.strictNullChecks
tsconfig,compilerOptions.target
tsconfig,compilerOptions.types.types/webpack-env
tsconfig,compilerOptions.useDefineForClassFields
tsconfig,exclude.exclude/node_modules
tsconfig,include.include/src/**/*.ts
tsconfig,include.include/src/**/*.tsx
tsconfig,include.include/src/**/*.vue
tsconfig,include.include/tests/**/*.ts
tsconfig,include.include/tests/**/*.tsx
