Concept,Option
yaml,logging.level.com.macro.mall.mapper
yaml,logging.level.com.macro.mall.portal.dao
yaml,logging.level.org.springframework.data.mongodb.core
yaml,server.port
yaml,server.ssl.key-alias
yaml,server.ssl.key-store
yaml,server.ssl.key-store-password
yaml,server.ssl.key-store-type
yaml,spring.data.mongodb.database
yaml,spring.data.mongodb.host
yaml,spring.data.mongodb.port
yaml,spring.datasource.druid.initial-size
yaml,spring.datasource.druid.max-active
yaml,spring.datasource.druid.min-idle
yaml,spring.datasource.druid.stat-view-servlet.login-password
yaml,spring.datasource.druid.stat-view-servlet.login-username
yaml,spring.datasource.druid.web-stat-filter.exclusions
yaml,spring.datasource.password
yaml,spring.datasource.url
yaml,spring.datasource.username
yaml,spring.rabbitmq.host
yaml,spring.rabbitmq.password
yaml,spring.rabbitmq.port
yaml,spring.rabbitmq.publisher-confirms
yaml,spring.rabbitmq.username
yaml,spring.rabbitmq.virtual-host
yaml,spring.redis.database
yaml,spring.redis.host
yaml,spring.redis.jedis.pool.max-active
yaml,spring.redis.jedis.pool.max-idle
yaml,spring.redis.jedis.pool.max-wait
yaml,spring.redis.jedis.pool.min-idle
yaml,spring.redis.port
yaml,spring.redis.timeout
yaml,structure.readme
yaml,structure.summary
yaml,deploy.stage
yaml,deploy.tags
yaml,stages
yaml,displayName
yaml,name
yaml,stages.steps.artifactName
yaml,stages.steps.artifacts.name
yaml,stages.steps.artifacts.path
yaml,stages.steps.autoIncrement
yaml,stages.steps.commands
yaml,stages.steps.dependsOn
yaml,stages.steps.jdkVersion
yaml,stages.steps.mavenVersion
yaml,stages.steps.version
yaml,triggers.push.branches.exclude
yaml,triggers.push.branches.include
yaml,version
yaml,stages.displayName
yaml,stages.name
yaml,stages.steps.artifactRepository
yaml,stages.steps.dependArtifact
yaml,triggers.pr.branches.include
yaml,litemall.express.appId
yaml,litemall.express.appKey
yaml,litemall.express.enable
yaml,litemall.notify.mail.enable
yaml,litemall.notify.mail.host
yaml,litemall.notify.mail.password
yaml,litemall.notify.mail.sendfrom
yaml,litemall.notify.mail.sendto
yaml,litemall.notify.mail.username
yaml,litemall.notify.sms.appid
yaml,litemall.notify.sms.appkey
yaml,litemall.notify.sms.enable
yaml,litemall.notify.wx.enable
yaml,litemall.storage.active
yaml,litemall.storage.aliyun.accessKeyId
yaml,litemall.storage.aliyun.accessKeySecret
yaml,litemall.storage.aliyun.bucketName
yaml,litemall.storage.aliyun.endpoint
yaml,litemall.storage.local.address
yaml,litemall.storage.local.port
yaml,litemall.storage.local.storagePath
yaml,litemall.storage.tencent.bucketName
yaml,litemall.storage.tencent.region
yaml,litemall.storage.tencent.secretId
yaml,litemall.storage.tencent.secretKey
yaml,litemall.wx.app-id
yaml,litemall.wx.app-secret
yaml,litemall.wx.mch-id
yaml,litemall.wx.mch-key
yaml,litemall.wx.notify-url
yaml,pagehelper.helperDialect
yaml,pagehelper.params
yaml,pagehelper.reasonable
