project,technologies
AdGuardHome,"['codecov', 'docker', 'eslint', 'github', 'github issues', 'github-action', 'markdownlint', 'npm', 'snapscraft', 'tsconfig']"
croc,"['dependabot', 'docker', 'github funding', 'github-action', 'goreleaser', 'travis']"
haystack,"['dependabot', 'github', 'github issues', 'github-action', 'poetry', 'pre-commit']"
subquery_subql,"['chart testing', 'crowdin', 'dependabot', 'docker', 'docker-compose', 'github-action', 'gitpod', 'kubernetes', 'nodemon', 'npm', 'swagger', 'tsconfig', 'yarn']"
termux-app,"['android', 'dependabot', 'github funding', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'jitpack']"
immutable-js,"['github funding', 'github-action', 'npm', 'prettier', 'tsconfig']"
syncthing,"['buf', 'codecov', 'deepsource', 'dependabot', 'docker', 'github', 'github funding', 'github issues', 'github-action', 'golangci-lint']"
bevy,"['cargo', 'clippy', 'dependabot', 'github funding', 'github issues', 'github-action', 'npm', 'rustfmt', 'typos']"
redis,"['appveyor', 'cirrus', 'codecov', 'dependabot', 'github', 'github-action', 'lerna', 'redis', 'travis']"
apache_superset,"['babel', 'chart testing', 'codecov', 'dependabot', 'devcontainer', 'docker', 'docker-compose', 'eslint', 'github', 'github config', 'github issues', 'github-action', 'helm', 'kubernetes', 'lerna', 'markdownlint', 'nginx', 'npm', 'poetry', 'pre-commit', 'prettier', 'tsconfig']"
gpt4free,"['docker', 'docker-compose', 'github funding', 'github-action', 'npm']"
vue-pure-admin,"['docker', 'github issues', 'github-action', 'gitpod', 'markdownlint', 'npm', 'pnpm', 'tsconfig', 'vscode']"
mongodb_mongo,"['appveyor', 'codecov', 'cspell', 'devcontainer', 'django', 'docker', 'docker compose', 'docker-compose', 'github', 'github-action', 'jekyll', 'mongodb', 'mypy', 'npm', 'pnpm', 'poetry', 'ruff', 'snapscraft', 'travis', 'vscode']"
nodejs_node,"['appveyor', 'bower', 'cargo', 'chart testing', 'codecov', 'dependabot', 'devcontainer', 'docker', 'github', 'github issues', 'github-action', 'gitpod', 'npm', 'poetry', 'readthedocs', 'travis', 'tsconfig']"
typescript-go,"['codecov', 'dependabot', 'devcontainer', 'github-action', 'golangci-lint', 'npm', 'tsconfig', 'vscode']"
spdlog,"['appveyor', 'github-action']"
MoneyPrinterTurbo,"['docker', 'docker-compose', 'github issues', 'streamlit']"
layui,"['github funding', 'github issues', 'github-action', 'npm']"
shardeum,"['devcontainer', 'docker', 'eslint', 'github-action', 'npm', 'tsconfig', 'vscode']"
egg,"['github funding', 'github issues', 'github-action', 'npm', 'tsconfig', 'vercel']"
gorhill_uBlock,"['eslint', 'github issues', 'github-action', 'npm']"
caddy,"['dependabot', 'github funding', 'github-action', 'golangci-lint', 'goreleaser', 'pre-commit']"
halo,"['dependabot', 'devcontainer', 'docker', 'github funding', 'github issues', 'github-action', 'gitpod', 'gradle', 'gradle-wrapper', 'npm', 'pnpm', 'spring', 'tsconfig', 'vscode']"
atuinsh_atuin,"['cargo', 'dependabot', 'docker', 'docker-compose', 'github funding', 'github issues', 'github-action', 'kubernetes', 'rust', 'rustfmt']"
swoole-src,"['codecov', 'dependabot', 'docker', 'docker-compose', 'github-action']"
jenkinsci_jenkins,"['docker', 'github', 'github config', 'github funding', 'github-action', 'gitpod', 'maven', 'npm', 'prettier', 'renovate', 'yarn']"
goreplay,"['deepsource', 'dependabot', 'docker', 'github-action', 'jekyll', 'kubernetes', 'mkdocs', 'npm', 'snapscraft']"
nuxt,"['ansible-playbook', 'devcontainer', 'docker', 'github funding', 'github issues', 'github-action', 'gitpod', 'knip', 'lychee', 'markdownlint', 'npm', 'pnpm', 'renovate', 'tsconfig', 'vscode']"
mlx,"['circleci', 'github-action', 'poetry', 'pre-commit']"
v2rayNG,"['android', 'github issues', 'github-action', 'gradle', 'gradle-wrapper']"
grapesjs,"['dependabot', 'github', 'github funding', 'github issues', 'github-action', 'npm', 'pnpm', 'tsconfig']"
eladmin,"['maven', 'spring']"
faiss,"['docker', 'github-action']"
desktop,"['babel', 'cargo', 'crowdin', 'github', 'github issues', 'github-action', 'npm', 'poetry', 'prettier', 'tsconfig']"
modular,"['github issues', 'github-action', 'markdownlint', 'npm', 'pnpm', 'poetry', 'pre-commit']"
storybookjs_storybook,"['angular', 'circleci', 'codecov', 'eslint', 'github funding', 'github issues', 'github-action', 'lerna', 'npm', 'pnpm', 'tsconfig', 'vscode', 'yarn']"
commitlint,"['devcontainer', 'github issues', 'github-action', 'lerna', 'npm', 'pnpm', 'tsconfig', 'vscode']"
vercel_turborepo,"['cargo', 'clippy', 'dependabot', 'devcontainer', 'docker', 'github', 'github issues', 'github-action', 'npm', 'pnpm', 'rust', 'rustfmt', 'taplo', 'tsconfig', 'turborepo', 'vercel', 'vscode']"
aseprite,"['github funding', 'github-action', 'pre-commit']"
voice-changer,"['docker', 'github issues', 'github-action', 'npm', 'tsconfig', 'vscode']"
dotenv,"['github funding', 'github-action', 'npm']"
PHPMailer,"['codecov', 'dependabot', 'docker', 'github funding', 'github-action']"
agno,"['django', 'docker-compose', 'github issues', 'github-action', 'poetry']"
recommenders,"['codecov', 'devcontainer', 'docker', 'github-action', 'poetry']"
micro,"['github-action', 'snapscraft']"
unocss,"['github', 'github funding', 'github issues', 'github-action', 'netlify', 'npm', 'pnpm', 'tsconfig', 'vscode']"
spleeter,"['github issues', 'github-action', 'poetry']"
keepassxc,"['codecov', 'github', 'github funding', 'github issues', 'github-action', 'snapscraft', 'vcpkg']"
go-gitea_gitea,"['crowdin', 'devcontainer', 'docker', 'github', 'github funding', 'github issues', 'github-action', 'gitpod', 'golangci-lint', 'markdownlint', 'npm', 'pnpm', 'poetry', 'snapscraft', 'spring', 'tsconfig']"
