project,technologies
mongoose,"['dependabot', 'eslint', 'github', 'github-action', 'json', 'nodejs', 'tsconfig', 'yaml']"
hugo,"['circleci', 'dependabot', 'docker', 'github', 'github-action', 'json', 'markdownlint', 'netlify', 'nodejs', 'toml', 'vscode', 'yaml']"
excelize,"['dependabot', 'github', 'github-action']"
ruff,"['cargo', 'clippy', 'devcontainer', 'docker', 'github', 'github-action', 'github-actions', 'json', 'markdownlint', 'nodejs', 'npm', 'poetry', 'rust', 'rustfmt', 'toml', 'tsconfig', 'vscode', 'yaml']"
gradio,"['devcontainer', 'github', 'github-action', 'json', 'nodejs', 'pnpm', 'poetry', 'prettier', 'renovate', 'toml', 'tsconfig', 'vercel', 'vscode', 'yaml']"
Scrapegraph-ai,"['docker', 'docker-compose', 'github', 'github-action', 'json', 'poetry', 'yaml']"
rails,"['devcontainer', 'docker', 'github', 'github-action', 'nodejs', 'yaml']"
relay,"['cargo', 'clippy', 'github', 'github-action', 'json', 'nodejs', 'rustfmt', 'tsconfig', 'vscode', 'yaml']"
acme.sh,"['docker', 'github', 'github-action']"
rustdesk,"['android', 'appveyor', 'cargo', 'dependabot', 'docker', 'flutter', 'github', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'rustfmt', 'travis', 'vscode', 'yaml']"
AnotherRedisDesktopManager,"['eslint', 'github', 'github-action', 'github-actions', 'json', 'nodejs', 'npm']"
mimikatz,['appveyor']
fastapi,"['dependabot', 'github', 'github-action', 'mkdocs', 'poetry', 'yaml']"
keras,"['codecov', 'dependabot', 'devcontainer', 'github-action', 'github-actions', 'json', 'poetry', 'yaml']"
SmartTube,"['android', 'configparser', 'github', 'gradle', 'gradle-wrapper', 'json']"
leetcode,"['docker', 'github', 'github-action', 'json', 'nodejs', 'npm']"
vscodium,"['dependabot', 'github-action', 'json', 'yaml']"
winutil,"['dependabot', 'github', 'github-actions', 'json']"
apollo,"['configparser', 'docker', 'github', 'github-action', 'json', 'maven', 'maven-wrapper', 'spring', 'yaml']"
playwright,"['android', 'dependabot', 'github', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'maven', 'nodejs', 'npm', 'tsconfig', 'yaml']"
