project,android,angular,ansible,ansible-playbook,apache,cargo,circleci,cypress,django,docker,docker-compose,elasticsearch,flutter,github-action,gradle,gradle-wrapper,hadoop-hbase,heroku,kafka,kubernetes,maven,maven-wrapper,mongodb,mysql,netlify,nginx,nodejs,poetry,postgresql,redis,spring,travis,tsconfig,zookeeper
AdGuardHome,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
croc,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
haystack,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
subql,0,0,0,0,0,0,0,0,0,3,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,10,0
termux-app,4,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
immutable-js,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
syncthing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bevy,2,0,0,0,0,71,0,0,0,0,0,0,0,13,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
redis,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
OSX-KVM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
superset,0,0,0,0,0,0,0,0,0,3,3,0,0,41,0,0,0,0,0,4,0,0,0,0,0,1,33,3,0,0,0,0,30,0
gpt4free,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
vue-pure-admin,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
mongo,0,0,0,0,0,0,0,0,2,13,1,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,1,0,0
node,0,0,0,0,0,1,0,0,0,5,2,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,271,4,0,0,0,4,2,0
typescript-go,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0
spdlog,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MoneyPrinterTurbo,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layui,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
shardeum,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0
egg,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0
uBlock,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
caddy,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halo,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0
atuin,0,0,0,0,0,13,0,0,0,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swoole-src,0,0,0,0,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jenkins,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0
goreplay,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
nuxt,0,0,0,1,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0
mlx,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
swift,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v2rayNG,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grapesjs,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0
