project,android,angular,ansible,ansible-playbook,apache,cargo,circleci,cypress,django,docker,docker-compose,elasticsearch,flutter,github-action,gradle,gradle-wrapper,hadoop-hbase,heroku,kafka,kubernetes,maven,maven-wrapper,mongodb,mysql,netlify,nginx,nodejs,poetry,postgresql,redis,spring,travis,tsconfig,zookeeper
AdGuardHome,0,0,0,0,0,0,0,0,0,9,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0
croc,0,0,0,0,0,0,0,0,0,8,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
haystack,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0
subql,0,0,0,0,0,0,0,0,0,9,13,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,51,0
termux-app,63,0,0,0,0,0,0,0,0,0,0,0,0,36,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
immutable-js,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,33,0
syncthing,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bevy,13,0,0,0,0,1942,0,0,0,0,0,0,0,521,3,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
redis,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,31,0,0
OSX-KVM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
superset,0,0,0,0,0,0,0,0,0,9,282,0,0,833,0,0,0,0,0,1,0,0,0,0,0,21,627,148,0,0,0,0,32,0
gpt4free,0,0,0,0,0,0,0,0,0,9,26,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
vue-pure-admin,0,0,0,0,0,0,0,0,0,6,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,37,0
mongo,0,0,0,0,0,0,0,0,7,9,19,0,0,35,0,0,0,0,0,0,0,0,7,0,0,0,12,197,0,0,0,8,0,0
node,0,0,0,0,0,10,0,0,0,7,58,0,0,714,0,0,0,0,0,0,0,0,0,0,0,0,1330,27,0,0,0,37,141,0
typescript-go,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,26,0
spdlog,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MoneyPrinterTurbo,0,0,0,0,0,0,0,0,0,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layui,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
shardeum,0,0,0,0,0,0,0,0,0,7,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,21,0
egg,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,23,0
uBlock,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
caddy,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halo,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,21,0
atuin,0,0,0,0,0,230,0,0,0,7,17,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swoole-src,0,0,0,0,0,0,0,0,0,5,47,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jenkins,0,0,0,0,0,0,0,0,0,3,0,0,0,154,0,0,0,0,0,0,701,0,0,0,0,0,54,0,0,0,0,0,0,0
goreplay,0,0,0,0,0,0,0,0,0,5,0,0,0,18,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0
nuxt,0,0,0,11,0,0,0,0,0,2,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,1,0
mlx,0,0,0,0,0,0,147,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
swift,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v2rayNG,69,0,0,0,0,0,0,0,0,0,0,0,0,34,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grapesjs,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,30,0
eladmin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,89,0,0,0
faiss,0,0,0,0,0,0,0,0,0,2,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desktop,0,0,0,0,0,6,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0,50,4,0,0,0,0,0,0
modular,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,1,0,0,0,0,0,0,2,70,0,0,0,0,0,0
storybook,0,29,0,0,0,0,398,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,851,0,0,0,0,0,72,0
commitlint,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,16,0
turborepo,0,94,0,0,0,503,0,0,0,8,26,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,663,0,0,0,0,0,74,0
aseprite,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
voice-changer,0,0,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
dotenv,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
PHPMailer,0,0,0,0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agno,0,0,0,0,0,0,0,0,1,0,7,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0
recommenders,0,0,0,0,0,0,0,0,0,9,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
micro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unocss,0,30,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,9,0,513,0,0,0,0,0,135,0
spleeter,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
keepassxc,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
