technology,unique_options,avg_options_per_project,avg_files_per_project,num_projects
github-action,109577,164.74,7.55,931
nodejs,57775,205.87,18.25,603
maven,28511,560.74,35.03,66
cargo,22586,297.82,26.66,125
docker-compose,9469,58.16,3.69,198
circleci,5882,113.85,1.02,54
poetry,4995,47.87,3.24,213
tsconfig,4049,30.49,14.5,412
angular,2484,146.61,5.72,18
django,2342,43.42,3.13,62
spring,1498,51.32,6.82,34
flutter,1028,86.45,7.9,20
nginx,590,23.83,1.33,46
travis,500,16.52,7.35,71
ansible-playbook,480,21.66,1.16,32
kubernetes,387,16.76,7.27,51
gradle,365,8.82,4.85,91
android,220,26.52,6.56,84
redis,116,26.67,1.11,9
netlify,85,6.71,1.43,49
kafka,35,24.5,2.0,2
cypress,32,9.14,1.14,7
postgresql,30,10.0,1.0,3
mysql,21,10.5,1.5,2
hadoop-hbase,15,15.0,1.0,1
apache,15,15.0,1.0,1
docker,14,6.9,3.94,467
ansible,13,4.4,1.0,5
mongodb,11,8.0,2.0,2
zookeeper,10,5.67,1.33,3
gradle-wrapper,8,6.0,3.73,95
elasticsearch,8,4.0,2.33,3
maven-wrapper,7,2.43,1.19,21
heroku,2,1.25,1.0,4
