Technology,Total Options,With Defaults
spring,1779,948
alluxio,803,688
nginx,785,0
apache_webserver,722,410
kubernetes,670,0
elastisearch,636,0
hadoop_hdfs,634,534
postgresql,405,0
kafka,403,372
php,393,344
maven,362,101
mysql,315,275
travis,269,15
hadoop_common,251,202
android,246,70
docker-compose,237,42
hadoop_hbase,234,212
django,229,207
mapreduce,217,188
yarn,211,179
ansible,207,206
zookeeper,186,0
mongodb,152,94
tsconfig,129,40
cargo,113,61
github_action,83,0
angular,80,43
redis,72,0
cypress,49,45
rabbitmq,49,0
poetry,42,0
nodejs,42,2
gradle,24,18
pyproject,20,0
docker,18,0
heroku,15,0
flutter,12,0
maven-wrapper,11,0
gradle-wrapper,5,0
netlify,0,0
